Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
Bradly Nadeau,CAR,LW,19,2005-05-05,,,CAN,,70,161,2023,CAR,1,30,30
Brady Skjei,CAR,D,31,1994-03-26,Lakeville,MN,USA,USA,75,210,2012,NYR,1,28,28
Brady Tkachuk,OTT,LW,25,1999-09-16,Scottsdale,AZ,USA,USA,76,221,2018,OTT,1,4,4
Brandon Biro,BUF,LW,27,1998-03-11,Sherwood Park,AB,CAN,CAN,71,170,-,-,-,-,-
Brandon Carlo,BOS,D,28,1996-11-26,Colorado Springs,CO,USA,USA,78,218,2015,BOS,2,7,37
Brandon Duhaime,"COL, MIN",RW,27,1997-05-22,Coral Springs,FL,USA,USA,74,200,2016,MIN,4,15,106
Brandon Gignac,MTL,C,27,1997-11-07,Repentigny,QC,CAN,CAN,71,170,2016,N.J,3,19,80
Brandon Hagel,TBL,LW,26,1998-08-27,Saskatoon,SK,CAN,CAN,74,179,2016,BUF,6,8,159
Brandon Montour,FLA,D,30,1994-04-11,Brantford,ON,CAN,CAN,72,194,2014,ANA,2,25,55
Brandon Saad,STL,LW,32,1992-10-27,Pittsburgh,PA,USA,USA,73,215,2011,CHI,2,13,43
Brandon Scanlin,NYR,D,25,1999-06-02,Hamilton,ON,CAN,CAN,75,223,-,-,-,-,-
Brandon Tanev,SEA,LW,33,1991-12-31,Toronto,ON,CAN,CAN,72,189,-,-,-,-,-
Brandt Clarke,LAK,D,22,2003-02-09,Nepean,ON,CAN,CAN,74,185,2021,L.A,1,8,8
Brayden McNabb,VGK,D,34,1991-01-21,Davidson,SK,CAN,CAN,76,215,2009,BUF,3,5,66
Brayden Pachal,"CGY, VGK",D,25,1999-08-23,Estevan,SK,CAN,CAN,74,203,-,-,-,-,-
Brayden Point,TBL,C,29,1996-03-13,Calgary,AB,CAN,CAN,71,180,2014,T.B,3,19,79
Brayden Schenn,STL,C,33,1991-08-22,Saskatoon,SK,CAN,CAN,73,199,2009,L.A,1,5,5
Brendan Brisson,VGK,C,23,2001-10-22,,,USA,,72,191,2020,VGK,1,29,29
Brendan Gallagher,MTL,RW,32,1992-05-06,Edmonton,AB,CAN,CAN,69,186,2010,MTL,5,27,147
Brendan Gaunce,CBJ,C,31,1994-03-25,Sudbury,ON,CAN,CAN,75,219,2012,VAN,1,26,26
Brendan Lemieux,CAR,LW,29,1996-03-15,Denver,CO,USA,USA,73,215,2014,BUF,2,1,31
Brendan Smith,NJD,D,36,1989-02-08,Mimico,ON,CAN,CAN,74,200,2007,DET,1,27,27
Brenden Dillon,WPG,D,34,1990-11-13,New Westminster,BC,CAN,CAN,76,224,-,-,-,-,-
Brennan Othmann,NYR,LW,22,2003-01-05,Scarborough,ON,CAN,CAN,72,188,2021,NYR,1,16,16
Brent Burns,CAR,D,40,1985-03-09,Barrie,ON,CAN,CAN,77,230,2003,MIN,1,20,20
Brett Howden,VGK,C,27,1998-03-29,Calgary,AB,CAN,CAN,74,203,2016,T.B,1,27,27
Brett Kulak,EDM,D,31,1994-01-06,Edmonton,AB,CAN,CAN,73,197,2012,CGY,4,14,105
Brett Leason,ANA,RW,25,1999-04-30,Calgary,AB,CAN,CAN,77,218,2019,WSH,2,25,56
Brett Murray,BUF,LW,26,1998-07-20,Bolton,ON,CAN,CAN,77,228,2016,BUF,4,8,99
Brett Pesce,CAR,D,30,1994-11-15,Tarrytown,NY,USA,USA,75,206,2013,CAR,3,5,66
Brett Seney,CHI,LW,29,1996-02-28,London,ON,CAN,CAN,69,156,2015,N.J,6,6,157
Brian Dumoulin,SEA,D,33,1991-09-06,Biddeford,ME,USA,USA,76,207,2009,CAR,2,21,51
Brian Halonen,NJD,LW,26,1999-01-11,,,USA,,72,207,-,-,-,-,-
Brock Boeser,VAN,RW,28,1997-02-25,Burnsville,MN,USA,USA,73,208,2015,VAN,1,23,23
Brock Faber,MIN,D,22,2002-08-22,Maple Grove,MN,USA,USA,73,200,2020,L.A,2,14,45
Brock McGinn,ANA,LW,31,1994-02-02,Fergus,ON,CAN,CAN,72,187,2012,CAR,2,17,47
Brock Nelson,NYI,C,33,1991-10-15,Warroad,MN,USA,USA,76,210,2010,NYI,1,30,30
Bryan Rust,PIT,RW,32,1992-05-11,Pontiac,MI,USA,USA,71,192,2010,PIT,3,20,80
Byron Froese,VGK,C,34,1991-03-12,Winkler,MB,CAN,CAN,73,202,2009,CHI,4,28,119
Cal Clutterbuck,NYI,RW,37,1987-11-18,Welland,ON,CAN,CAN,72,212,2006,MIN,3,9,72
Cal Foote,NJD,D,26,1998-12-13,Denver,CO,USA,USA,77,224,2017,T.B,1,14,14
Cale Fleury,SEA,D,26,1998-11-19,Carlyle,SK,CAN,CAN,73,204,2017,MTL,3,25,87
Cale Makar,COL,D,26,1998-10-30,Calgary,AB,CAN,CAN,71,187,2017,COL,1,4,4
Caleb Jones,COL,D,27,1997-06-06,Arlington,TX,USA,USA,73,194,2015,EDM,4,26,117
Calen Addison,"MIN, SJS",D,24,2000-04-11,Brandon,MB,CAN,CAN,71,173,2018,PIT,2,22,53
Callahan Burke,CAR,C,28,1997-03-19,Boxborough,MA,USA,USA,70,183,-,-,-,-,-
Calle Jarnkrok,TOR,C,33,1991-09-25,Gavle,,SWE,SWE,72,192,2010,DET,2,21,51
Calle Rosen,STL,D,31,1994-02-02,Vaxjo,,SWE,SWE,73,188,-,-,-,-,-
Calvin de Haan,TBL,D,33,1991-05-09,Carp,ON,CAN,CAN,73,195,2009,NYI,1,12,12
Cam Atkinson,PHI,RW,35,1989-06-05,Riverside,CT,USA,USA,68,176,2008,CBJ,6,6,157
Cam Fowler,ANA,D,33,1991-12-05,Windsor,ON,CAN,USA,74,215,2010,ANA,1,12,12
Cam York,PHI,D,24,2001-01-05,Anaheim,CA,USA,USA,71,175,2019,PHI,1,14,14
Cameron Butler,CBJ,RW,22,2002-06-09,,,CAN,,76,210,-,-,-,-,-
Cameron Crotty,ARI,D,25,1999-05-05,Ottawa,ON,CAN,CAN,75,188,2017,ARI,3,20,82
Carl Grundstrom,LAK,RW,27,1997-12-01,Umea,,SWE,SWE,72,195,2016,TOR,2,27,57
Carson Meyer,CBJ,RW,27,1997-08-18,Powell,OH,USA,USA,71,184,-,-,-,-,-
Carson Soucy,VAN,D,30,1994-07-27,Viking,AB,CAN,CAN,77,208,2013,MIN,5,16,137
Carter Verhaeghe,FLA,C,29,1995-08-14,Toronto,ON,CAN,CAN,74,180,2013,TOR,3,21,82
Casey Cizikas,NYI,C,34,1991-02-27,Toronto,ON,CAN,CAN,71,190,2009,NYI,4,1,92
Casey Mittelstadt,"BUF, COL",C,26,1998-11-22,Edina,MN,USA,USA,73,195,2017,BUF,1,8,8
Chad Ruhwedel,"NYR, PIT",D,34,1990-05-07,San Diego,CA,USA,USA,71,191,-,-,-,-,-
Chandler Stephenson,VGK,C,30,1994-04-22,Saskatoon,SK,CAN,CAN,72,209,2012,WSH,3,16,77
Charlie Coyle,BOS,C,33,1992-03-02,E. Weymouth,MA,USA,USA,75,223,2010,S.J,1,28,28
Charlie McAvoy,BOS,D,27,1997-12-21,Long Beach,NY,USA,USA,73,209,2016,BOS,1,14,14
Chris Kreider,NYR,LW,33,1991-04-30,Boxford,MA,USA,USA,75,230,2009,NYR,1,19,19
Chris Tanev,"CGY, DAL",D,35,1989-12-20,Toronto,ON,CAN,CAN,74,193,-,-,-,-,-
Chris Tierney,NJD,C,30,1994-07-01,Keswick,ON,CAN,CAN,73,191,2012,S.J,2,25,55
Chris Wagner,COL,RW,33,1991-05-27,Walpole,MA,USA,USA,72,192,2010,ANA,5,2,122
Christian Dvorak,MTL,C,29,1996-02-02,Palos,IL,USA,USA,73,193,2014,ARI,2,28,58
Christian Fischer,DET,RW,27,1997-04-15,Chicago,IL,USA,USA,74,212,2015,ARI,2,2,32
Claude Giroux,OTT,RW,37,1988-01-12,Hearst,ON,CAN,CAN,71,190,2006,PHI,1,22,22
Clayton Keller,ARI,RW,26,1998-07-29,Chesterfield,MO,USA,USA,70,178,2016,ARI,1,7,7
Cody Ceci,EDM,D,31,1993-12-21,Ottawa,ON,CAN,CAN,74,210,2012,OTT,1,15,15
Cody Glass,NSH,C,26,1999-04-01,Winnipeg,MB,CAN,CAN,75,206,2017,VGK,1,6,6
Cole Caufield,MTL,RW,24,2001-01-02,Mosinee,WI,USA,USA,67,174,2019,MTL,1,15,15
Cole Guttman,CHI,C,26,1999-04-06,Northridge,CA,USA,USA,69,167,2017,T.B,6,25,180
Cole Koepke,TBL,LW,26,1998-05-17,Two Harbors,MN,USA,USA,73,196,2018,T.B,6,28,183
Cole McWard,VAN,D,23,2001-06-09,Fenton,MO,USA,USA,73,192,-,-,-,-,-
Cole Perfetti,WPG,C,23,2002-01-01,Whitby,ON,CAN,CAN,71,184,2020,WPG,1,10,10
Cole Schwindt,CGY,RW,23,2001-04-25,Kitchener,ON,CAN,CAN,74,182,2019,FLA,3,19,81
Cole Sillinger,CBJ,C,21,2003-05-16,Columbus,OH,USA,USA,73,201,2021,CBJ,1,12,12
Cole Smith,NSH,LW,29,1995-10-28,Brainerd,MN,USA,USA,75,195,-,-,-,-,-
Colin Blackwell,CHI,C,32,1993-03-28,Lawrence,MA,USA,USA,69,190,2011,S.J,7,13,193
Colin Miller,"NJD, WPG",D,32,1992-10-29,Sault Ste. Marie,ON,CAN,CAN,73,200,2012,L.A,5,30,151
Colin White,"MTL, PIT",C,28,1997-01-30,Boston,MA,USA,USA,73,194,2015,OTT,1,21,21
Collin Graf,SJS,RW,22,2002-09-21,,,USA,,73,194,-,-,-,-,-
Colton Parayko,STL,D,31,1993-05-12,St. Albert,AB,CAN,CAN,78,228,2012,STL,3,25,86
Colton Sissons,NSH,C,31,1993-11-05,North Vancouver,BC,CAN,CAN,73,200,2012,NSH,2,20,50
Connor Bedard,CHI,C,19,2005-07-17,,,CAN,,70,185,2023,CHI,1,1,1
Connor Brown,EDM,RW,31,1994-01-14,Toronto,ON,CAN,CAN,72,181,2012,TOR,6,5,156
Connor Clifton,BUF,D,29,1995-04-28,Long Branch,NJ,USA,USA,71,190,2013,PHX,5,12,133
Connor Dewar,"MIN, TOR",C,25,1999-06-26,Gilbert Plains,MB,CAN,CAN,70,183,2018,MIN,3,30,92
Connor Mackey,NYR,D,28,1996-09-12,Tower Lakes,IL,USA,USA,74,197,-,-,-,-,-
Connor McDavid,EDM,C,28,1997-01-13,Richmond Hill,ON,CAN,CAN,73,193,2015,EDM,1,1,1
Connor McMichael,WSH,C,24,2001-01-15,Ajax,ON,CAN,CAN,72,180,2019,WSH,1,25,25
Connor Murphy,CHI,D,32,1993-03-26,Dublin,OH,USA,USA,76,212,2011,PHX,1,20,20
Connor Zary,CGY,C,23,2001-09-25,Saskatoon,SK,CAN,CAN,72,178,2020,CGY,1,24,24
Conor Garland,VAN,RW,29,1996-03-11,Scituate,MA,USA,USA,70,165,2015,ARI,5,2,123
Conor Sheary,TBL,LW,32,1992-06-08,Winchester,MA,USA,USA,69,179,-,-,-,-,-
Conor Timmins,TOR,D,26,1998-09-18,St. Catharines,ON,CAN,CAN,74,202,2017,COL,2,1,32
Corey Perry,"CHI, EDM",RW,39,1985-05-16,Peterborough,ON,CAN,CAN,75,208,2003,ANA,1,28,28
Craig Smith,DAL,C,35,1989-09-05,Madison,WI,USA,USA,72,204,2009,NSH,4,7,98
Curtis Lazar,NJD,C,30,1995-02-02,Salmon Arm,BC,CAN,CAN,72,203,2013,OTT,1,17,17
Cutter Gauthier,ANA,LW,21,2004-01-19,,,SWE,,74,189,2022,PHI,1,5,5
Daemon Hunt,MIN,D,22,2002-05-15,,,CAN,,73,201,2020,MIN,3,3,65
Dakota Joshua,VAN,C,28,1996-05-15,Dearborn,MI,USA,USA,75,206,2014,TOR,5,8,128
Dakota Mermis,MIN,D,31,1994-01-05,Alton,IL,USA,USA,72,195,-,-,-,-,-
Damon Severson,CBJ,D,30,1994-08-07,Melville,SK,CAN,CAN,74,205,2012,N.J,2,30,60
Daniel Sprong,DET,RW,28,1997-03-17,Amsterdam,,NLD,NLD,72,202,2015,PIT,2,16,46
Daniil Miromanov,"CGY, VGK",D,27,1997-07-11,Moscow,,RUS,RUS,76,200,-,-,-,-,-
Danil Gushchin,SJS,LW,23,2002-02-06,Yekaterinburg,,RUS,RUS,68,165,2020,S.J,3,14,76
Dante Fabbro,NSH,D,26,1998-06-20,Coquitlam,BC,CAN,CAN,72,189,2016,NSH,1,17,17
Danton Heinen,BOS,LW,29,1995-07-05,Langley,BC,CAN,CAN,73,188,2014,BOS,4,26,116
Darnell Nurse,EDM,D,30,1995-02-04,Hamilton,ON,CAN,CAN,76,221,2013,EDM,1,7,7
Darren Raddysh,TBL,D,29,1996-02-28,Toronto,ON,CAN,CAN,73,200,-,-,-,-,-
David Gustafsson,WPG,C,24,2000-04-11,Tingsryd,,SWE,SWE,74,212,2018,WPG,2,29,60
David Jiricek,CBJ,D,21,2003-11-28,Klatovy,,CZE,CZE,76,199,2022,CBJ,1,6,6
David Kampf,TOR,C,30,1995-01-12,Chomutov,,CZE,CZE,74,197,-,-,-,-,-
David Pastrnak,BOS,RW,28,1996-05-25,Havirov,,CZE,CZE,73,195,2014,BOS,1,25,25
David Perron,DET,LW,36,1988-05-28,Sherbrooke,QC,CAN,CAN,73,196,2007,STL,1,26,26
David Savard,MTL,D,34,1990-10-22,St. Hyacinthe,QC,CAN,CAN,73,235,2009,CBJ,4,3,94
Dawson Mercer,NJD,C,23,2001-10-27,Carbonear,NL,CAN,CAN,72,180,2020,N.J,1,18,18
Declan Carlile,TBL,D,24,2000-05-18,,,USA,,75,192,-,-,-,-,-
Declan Chisholm,"MIN, WPG",D,25,2000-01-12,Bowmanville,ON,CAN,CAN,73,185,2018,WPG,5,26,150
Denis Gurianov,"NSH, PHI",RW,27,1997-06-07,Togliatti,,RUS,RUS,75,205,2015,DAL,1,12,12
Dennis Gilbert,CGY,D,28,1996-10-30,Buffalo,NY,USA,USA,74,216,2015,CHI,3,30,91
Derek Forbort,BOS,D,33,1992-03-04,Duluth,MN,USA,USA,76,208,2010,L.A,1,15,15
Derek Ryan,EDM,C,38,1986-12-29,Spokane,WA,USA,USA,70,185,-,-,-,-,-
Derrick Pouliot,DAL,D,31,1994-01-16,Estevan,SK,CAN,CAN,72,196,2012,PIT,1,8,8
Devin Shore,SEA,C,30,1994-07-19,Ajax,ON,CAN,CAN,73,206,2012,DAL,2,31,61
Devon Toews,COL,D,31,1994-02-21,Abbotsford,BC,CAN,CAN,73,191,2014,NYI,4,18,108
Dillon Dube,CGY,C,26,1998-07-20,Golden,AB,CAN,CAN,71,185,2016,CGY,2,26,56
Dmitri Voronkov,CBJ,LW,24,2000-09-10,,,RUS,,77,240,2019,CBJ,4,21,114
Dmitry Kulikov,FLA,D,34,1990-10-29,Lipetsk,,RUS,RUS,73,201,2009,FLA,1,14,14
Dmitry Orlov,CAR,D,33,1991-07-23,Novokuznetsk,,RUS,RUS,71,214,2009,WSH,2,25,55
Dominic Toninato,WPG,C,31,1994-03-09,Duluth,MN,USA,USA,74,191,2012,TOR,5,5,126
Dominik Kubalik,OTT,LW,29,1995-08-21,Plzen,,CZE,CZE,74,190,2013,L.A,7,10,191
Dougie Hamilton,NJD,D,31,1993-06-17,Toronto,ON,CAN,CAN,78,230,2011,BOS,1,9,9
Drake Batherson,OTT,RW,26,1998-04-27,Fort Wayne,IN,USA,USA,75,200,2017,OTT,4,28,121
Drew Doughty,LAK,D,35,1989-12-08,London,ON,CAN,CAN,73,210,2008,L.A,1,2,2
Drew O'Connor,PIT,LW,26,1998-06-09,Chatham,NJ,USA,USA,75,200,-,-,-,-,-
Dryden Hunt,CGY,LW,29,1995-11-24,Cranbrook,BC,CAN,CAN,72,193,-,-,-,-,-
Dylan Coghlan,CAR,D,27,1998-02-19,Duncan,BC,CAN,CAN,74,208,-,-,-,-,-
Dylan Cozens,BUF,C,24,2001-02-09,Whitehorse,YT,CAN,CAN,75,195,2019,BUF,1,7,7
Dylan DeMelo,WPG,D,31,1993-05-01,London,ON,CAN,CAN,72,195,2011,S.J,6,28,179
Dylan Guenther,ARI,RW,21,2003-04-10,Edmonton,AB,CAN,CAN,74,175,2021,ARI,1,9,9
