Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
A.J. Greer,CGY,LW,28,1996-12-14,Joliette,QC,CAN,CAN,75,208,2015,COL,2,9,39
Aaron Ekblad,FLA,D,29,1996-02-07,Windsor,ON,CAN,CAN,76,215,2014,FLA,1,1,1
Adam Beckman,MIN,LW,23,2001-05-10,Saskatoon,SK,CAN,CAN,74,182,2019,MIN,3,13,75
Adam Boqvist,CBJ,D,24,2000-08-15,Falun,,SWE,SWE,72,182,2018,CHI,1,8,8
Adam Edstrom,NYR,C,24,2000-10-12,,,SWE,SWE,79,220,2019,NYR,6,6,161
Adam Erne,EDM,LW,29,1995-04-20,New Haven,CT,USA,USA,73,212,2013,T.B,2,3,33
Adam Fantilli,CBJ,C,20,2004-10-12,,,CAN,,74,194,2023,CBJ,1,3,3
Adam Fox,NYR,D,27,1998-02-17,Jericho,NY,USA,USA,71,182,2016,CGY,3,5,66
Adam Gaudette,STL,C,28,1996-10-03,Braintree,MA,USA,USA,73,194,2015,VAN,5,28,149
Adam Ginning,PHI,D,25,2000-01-13,Linkoping,,SWE,SWE,75,188,2018,PHI,2,19,50
Adam Henrique,"ANA, EDM",C,35,1990-02-06,Brantford,ON,CAN,CAN,72,195,2008,N.J,3,21,82
Adam Klapka,CGY,RW,24,2000-09-14,Praha,,CZE,CZE,80,235,-,-,-,-,-
Adam Larsson,SEA,D,32,1992-11-12,Skellefteå,,SWE,SWE,75,209,2011,N.J,1,4,4
Adam Lowry,WPG,C,32,1993-03-29,St. Louis,MO,USA,USA,78,208,2011,WPG,3,6,67
Adam Pelech,NYI,D,30,1994-08-16,Toronto,ON,CAN,CAN,75,210,2012,NYI,3,4,65
Adam Raska,MIN,RW,23,2001-09-25,Frydek-Mistek,,CZE,CZE,70,178,2020,S.J,7,15,201
Adam Ruzicka,"ARI, CGY",C,25,1999-05-11,Bratislava,,SVK,SVK,76,215,2017,CGY,4,16,109
Adrian Kempe,LAK,RW,28,1996-09-13,Kramfors,,SWE,SWE,74,200,2014,L.A,1,29,29
Akil Thomas,LAK,C,25,2000-01-02,Toronto,ON,CAN,CAN,72,171,2018,L.A,2,20,51
Akito Hirose,VAN,D,25,1999-04-09,CALGARY,AB,CAN,CAN,72,170,-,-,-,-,-
Aku Raty,ARI,RW,23,2001-07-05,,,FIN,,72,170,2019,ARI,5,27,151
Alec Martinez,VGK,D,37,1987-07-26,Rochester Hills,MI,USA,USA,73,210,2007,L.A,4,4,95
Aleksander Barkov,FLA,C,29,1995-09-02,Tampere,,FIN,FIN,75,215,2013,FLA,1,2,2
Alex Barre-Boulet,TBL,C,27,1997-05-21,Montmagny,QC,CAN,CAN,70,180,-,-,-,-,-
Alex DeBrincat,DET,RW,27,1997-12-18,Farmington Hills,MI,USA,USA,68,178,2016,CHI,2,9,39
Alex Goligoski,MIN,D,39,1985-07-30,Grand Rapids,MN,USA,USA,71,173,2004,PIT,2,31,61
Alex Iafallo,WPG,LW,31,1993-12-21,Eden,NY,USA,USA,72,200,-,-,-,-,-
Alex Kerfoot,ARI,C,30,1994-08-11,Vancouver,BC,CAN,CAN,71,186,2012,N.J,5,29,150
Alex Killorn,ANA,"C, LW",35,1989-09-14,Halifax,NS,CAN,CAN,73,194,2007,T.B,3,16,77
Alex Laferriere,LAK,RW,23,2001-10-28,Chatham,NJ,USA,USA,72,173,2020,L.A,3,21,83
Alex Newhook,MTL,C,24,2001-01-28,St. John's,NL,CAN,CAN,70,190,2019,COL,1,16,16
Alex Ovechkin,WSH,LW,39,1985-09-17,Moscow,,RUS,RUS,75,238,2004,WSH,1,1,1
Alex Petrovic,DAL,D,33,1992-03-03,Edmonton,AB,CAN,CAN,76,220,2010,FLA,2,6,36
Alex Pietrangelo,VGK,D,35,1990-01-18,King City,ON,CAN,CAN,75,215,2008,STL,1,4,4
Alex Steeves,TOR,C,25,1999-12-10,Bedford,NH,USA,USA,72,196,-,-,-,-,-
Alex Tuch,BUF,RW,28,1996-05-10,Syracuse,NY,USA,USA,76,219,2014,MIN,1,18,18
Alex Turcotte,LAK,C,24,2001-02-26,Elk Grove,IL,USA,USA,71,185,2019,L.A,1,5,5
Alex Vlasic,CHI,D,23,2001-06-05,Wilmette,IL,USA,USA,78,199,2019,CHI,2,12,43
Alexander Alexeyev,WSH,D,25,1999-11-15,St. Petersburg,,RUS,RUS,76,213,2018,WSH,1,31,31
Alexander Barabanov,SJS,LW,30,1994-06-17,St. Petersburg,,RUS,RUS,70,195,-,-,-,-,-
Alexander Holtz,NJD,RW,23,2002-01-23,Stockholm,,SWE,SWE,72,195,2020,N.J,1,7,7
Alexander Nylander,"CBJ, PIT",LW,27,1998-03-02,Calgary,AB,CAN,CAN,73,192,2016,BUF,1,8,8
Alexander Romanov,NYI,D,25,2000-01-06,Moscow,,RUS,RUS,73,215,2018,MTL,2,7,38
Alexander Wennberg,"NYR, SEA",C,30,1994-09-22,Stockholm,,SWE,SWE,74,190,2013,CBJ,1,14,14
Alexandre Carrier,NSH,D,28,1996-10-08,Quebec City,QC,CAN,CAN,71,174,2015,NSH,4,24,115
Alexandre Texier,CBJ,C,25,1999-09-13,St. Martin D'heres,,FRA,FRA,73,186,2017,CBJ,2,14,45
Alexey Toropchenko,STL,RW,25,1999-06-25,Moscow,,RUS,RUS,78,222,2017,STL,4,20,113
Alexis Lafreniere,NYR,LW,23,2001-10-11,St-Eustache,QC,CAN,CAN,73,195,2020,NYR,1,1,1
Aliaksei Protas,WSH,C,24,2001-01-06,VITEBSK,,BLR,BLR,78,225,2019,WSH,3,29,91
Anders Lee,NYI,LW,34,1990-07-03,Edina,MN,USA,USA,75,235,2009,NYI,6,1,152
Andre Burakovsky,SEA,LW,30,1995-02-09,Klagenfurt,,AUT,SWE,75,209,2013,WSH,1,23,23
Andreas Athanasiou,CHI,C,30,1994-08-06,London,ON,CAN,CAN,74,190,2012,DET,4,19,110
Andreas Englund,LAK,D,29,1996-01-21,Stockholm,,SWE,SWE,75,189,2014,OTT,2,10,40
Andrei Kuzmenko,"CGY, VAN",LW,29,1996-02-04,YAKUTSK,,RUS,RUS,71,194,-,-,-,-,-
Andrei Svechnikov,CAR,RW,25,2000-03-26,Barnual,,RUS,RUS,74,195,2018,CAR,1,2,2
Andrew Cogliano,COL,C,37,1987-06-14,Toronto,ON,CAN,CAN,70,179,2005,EDM,1,25,25
Andrew Copp,DET,C,30,1994-07-08,Ann Arbor,MI,USA,USA,73,199,2013,WPG,4,13,104
Andrew Mangiapane,CGY,LW,29,1996-04-04,Toronto,ON,CAN,CAN,70,184,2015,CGY,6,15,166
Andrew Peeke,"BOS, CBJ",D,27,1998-03-17,Parkland,FL,USA,USA,75,210,2016,CBJ,2,4,34
Andrew Poturalski,SEA,C,31,1994-01-14,Williamsville,NY,USA,USA,70,183,-,-,-,-,-
Angus Crookshank,OTT,LW,25,1999-10-02,North Vancouver,BC,CAN,CAN,70,181,2018,OTT,5,2,126
Anthony Beauvillier,"CHI, NSH, VAN",LW,27,1997-06-08,Sorel-Tracy,QC,CAN,CAN,71,180,2015,NYI,1,28,28
Anthony Cirelli,TBL,C,27,1997-07-15,Etobicoke,ON,CAN,CAN,72,189,2015,T.B,3,11,72
Anthony Duclair,"SJS, TBL",LW,29,1995-08-26,Pointe-Claire,QC,CAN,CAN,71,197,2013,NYR,3,19,80
Anthony Mantha,"VGK, WSH",RW,30,1994-09-16,Longueuil,QC,CAN,CAN,77,234,2013,DET,1,20,20
Anthony Richard,BOS,C,28,1996-12-20,Trois-Rivieres,QC,CAN,CAN,71,183,2015,NSH,4,9,100
Anton Blidh,NYR,LW,30,1995-03-14,Molnlycke,,SWE,SWE,73,197,2013,BOS,6,29,180
Anton Lundell,FLA,C,23,2001-10-03,Espoo,,FIN,FIN,73,185,2020,FLA,1,12,12
Anze Kopitar,LAK,C,37,1987-08-24,Jesenice,,SVN,SVN,75,225,2005,L.A,1,11,11
Arber Xhekaj,MTL,D,24,2001-01-30,Hamilton,ON,CAN,CAN,76,238,-,-,-,-,-
Arshdeep Bains,VAN,LW,24,2001-01-09,Surrey,BC,CAN,CAN,72,184,-,-,-,-,-
Artem Zub,OTT,D,29,1995-10-03,Khabarovsk,,RUS,RUS,74,200,-,-,-,-,-
Artemi Panarin,NYR,LW,33,1991-10-30,Korkino,,RUS,RUS,72,173,-,-,-,-,-
Arthur Kaliyev,LAK,RW,23,2001-06-26,New York City,,USA,USA,74,210,2019,L.A,2,2,33
Artturi Lehkonen,COL,LW,29,1995-07-04,Piikkio,,FIN,FIN,71,179,2013,MTL,2,25,55
Austin Czarnik,DET,C,32,1992-12-12,Detroit,MI,USA,USA,69,170,-,-,-,-,-
Austin Watson,TBL,LW,33,1992-01-13,Ann Arbor,MI,USA,USA,76,204,2010,NSH,1,18,18
Auston Matthews,TOR,C,27,1997-09-17,San Ramon,CA,USA,USA,75,208,2016,TOR,1,1,1
Axel Jonsson-Fjallby,WPG,LW,27,1998-02-10,Stockholm,,SWE,SWE,73,189,2016,WSH,5,26,147
Barclay Goodrow,NYR,C,32,1993-02-26,Toronto,ON,CAN,CAN,74,204,-,-,-,-,-
Barrett Hayton,ARI,C,24,2000-06-09,Peterborough,ON,CAN,CAN,73,207,2018,ARI,1,5,5
Beck Malenstyn,WSH,LW,27,1998-02-04,Delta,BC,CAN,CAN,75,200,2016,WSH,5,24,145
Ben Chiarot,DET,D,33,1991-05-09,Hamilton,ON,CAN,CAN,75,232,2009,ATL,4,29,120
Ben Hutton,VGK,D,31,1993-04-20,Brockville,ON,CAN,CAN,75,201,2012,VAN,5,26,147
Ben Meyers,"ANA, COL",C,26,1998-11-15,DELANO,MN,USA,USA,71,194,-,-,-,-,-
Blake Coleman,CGY,C,33,1991-11-28,Plano,TX,USA,USA,71,199,2011,N.J,3,14,75
Blake Lizotte,LAK,C,27,1997-12-13,Lindstrom,MN,USA,USA,69,170,-,-,-,-,-
Blake Wheeler,NYR,RW,38,1986-08-31,Plymouth,MN,USA,USA,77,220,2004,PHX,1,5,5
Bo Groulx,ANA,C,25,2000-02-06,Gatineau,QC,CAN,CAN,74,200,2018,ANA,2,23,54
Bo Horvat,NYI,C,30,1995-04-05,London,ON,CAN,CAN,72,215,2013,VAN,1,9,9
Bobby Brink,PHI,RW,23,2001-07-08,Minnetonka,MN,USA,USA,68,166,2019,PHI,2,3,34
Bobby McMann,TOR,C,28,1996-06-15,"Wainwright, AB",AB,CAN,CAN,74,208,-,-,-,-,-
Bokondji Imama,OTT,LW,28,1996-08-03,Montreal,QC,CAN,CAN,73,221,2015,T.B,6,29,180
Boone Jenner,CBJ,C,31,1993-06-15,Dorchester,ON,CAN,CAN,74,203,2011,CBJ,2,7,37
Boris Katchouk,"CHI, OTT",LW,26,1998-06-18,Waterloo,ON,CAN,CAN,74,206,2016,T.B,2,14,44
Bowen Byram,"BUF, COL",D,23,2001-06-13,Cranbrook,BC,CAN,CAN,73,190,2019,COL,1,4,4
Brad Lambert,WPG,C,21,2003-12-19,,,FIN,,73,173,2022,WPG,1,30,30
Brad Marchand,BOS,LW,36,1988-05-11,Halifax,NS,CAN,CAN,69,176,2006,BOS,3,8,71
Braden Schneider,NYR,D,23,2001-09-20,Prince Albert,SK,CAN,CAN,75,208,2020,NYR,1,19,19
