Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,zon_rank,plm_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Contract Years,Cap Hit
2020-2021,Aaron Ekblad,FLA,D,37.0,107.0,8.0,78.0,79.0,32.0,22.0,5.0,158.0,34.0,120.0,194.0,,20.0,First Pair,35,878.18333333333,11,5,29,1996-02-07,CAN,CAN,76,215,2014,1,1,1,,
2020-2021,Adam Boqvist,CHI,D,167.0,213.0,69.0,,168.0,212.0,136.0,81.0,34.0,105.0,2.0,160.0,,110.0,Third Pair,34,576.98333333333,2,2,24,2000-08-15,SWE,SWE,72,182,2018,1,8,8,,
2020-2021,Adam Fox,NYR,D,85.0,48.0,67.0,139.0,147.0,91.0,113.0,76.0,187.0,9.0,117.0,228.0,,19.0,First Pair,55,1358.85,5,19,27,1998-02-17,USA,USA,71,182,2016,3,5,66,,
2020-2021,Adam Larsson,EDM,D,198.0,32.0,,39.0,191.0,88.0,176.0,141.0,222.0,206.0,170.0,17.0,,106.0,Second Pair,56,1100.25,4,2,32,1992-11-12,SWE,SWE,75,209,2011,1,4,4,,
2020-2021,Adam Pelech,NYI,D,122.0,39.0,,54.0,95.0,42.0,128.0,134.0,225.0,157.0,107.0,75.0,,93.0,Second Pair,56,1178.35,4,5,30,1994-08-16,CAN,CAN,75,210,2012,3,4,65,,
2020-2021,Alec Martinez,VGK,D,46.0,31.0,23.0,33.0,15.0,153.0,124.0,40.0,51.0,81.0,74.0,177.0,,25.0,First Pair,53,1195.9833333333,9,9,37,1987-07-26,USA,USA,73,210,2007,4,4,95,,
2020-2021,Alex Goligoski,ARI,D,121.0,120.0,57.0,30.0,61.0,162.0,165.0,148.0,82.0,89.0,52.0,130.0,,55.0,First Pair,56,1288.3666666667,3,7,39,1985-07-30,USA,USA,71,173,2004,2,31,61,,
2020-2021,Alex Pietrangelo,VGK,D,5.0,57.0,31.0,13.0,29.0,127.0,5.0,8.0,58.0,39.0,21.0,208.0,,6.0,First Pair,41,1001.7333333333,7,7,35,1990-01-18,CAN,CAN,75,215,2008,1,4,4,,
2020-2021,Alexander Edler,VAN,D,73.0,95.0,81.0,44.0,99.0,203.0,57.0,142.0,230.0,63.0,206.0,62.0,,28.0,Second Pair,52,1087.1333333333,0,5,39,1986-04-21,SWE,SWE,76,210,2004,3,26,91,,
2020-2021,Alexander Romanov,MTL,D,164.0,169.0,,118.0,117.0,128.0,114.0,211.0,99.0,204.0,147.0,28.0,,200.0,Third Pair,54,931.83333333333,1,3,25,2000-01-06,RUS,RUS,73,215,2018,2,7,38,,
2020-2021,Alexandre Carrier,NSH,D,172.0,83.0,,,209.0,114.0,119.0,168.0,216.0,208.0,92.0,156.0,,128.0,Second Pair,19,380.9,1,1,28,1996-10-08,CAN,CAN,71,174,2015,4,24,115,,
2020-2021,Andrej Sekera,DAL,D,179.0,65.0,,107.0,158.0,37.0,181.0,127.0,81.0,193.0,69.0,150.0,,184.0,Third Pair,46,719.43333333333,3,1,39,1986-06-08,SVK,SVK,72,200,2004,3,6,71,,
2020-2021,Andy Greene,NYI,D,200.0,43.0,,5.0,161.0,158.0,199.0,186.0,111.0,174.0,63.0,192.0,,104.0,Third Pair,55,967.03333333333,1,2,42,1982-10-30,USA,USA,71,190,-,-,-,-,,
2020-2021,Anthony Bitetto,NYR,D,178.0,220.0,,166.0,203.0,225.0,147.0,140.0,24.0,153.0,186.0,9.0,,191.0,Third Pair,14,202.16666666667,1,1,34,1990-07-15,USA,USA,73,222,2010,6,18,168,,
2020-2021,Anton Stralman,FLA,D,125.0,160.0,,64.0,100.0,148.0,182.0,88.0,103.0,164.0,35.0,148.0,,131.0,Second Pair,38,720.08333333333,3,2,38,1986-08-01,SWE,SWE,71,193,2005,7,22,216,,
2020-2021,Artem Zub,OTT,D,170.0,175.0,,119.0,196.0,181.0,228.0,128.0,226.0,116.0,219.0,63.0,,151.0,Second Pair,47,863.96666666667,3,6,29,1995-10-03,RUS,RUS,74,200,-,-,-,-,,
2020-2021,Ben Chiarot,MTL,D,57.0,96.0,,80.0,39.0,52.0,72.0,115.0,88.0,140.0,210.0,42.0,,76.0,Second Pair,41,893.28333333333,1,4,34,1991-05-09,CAN,CAN,75,232,2009,4,29,120,,
2020-2021,Ben Harpur,NSH,D,221.0,208.0,,94.0,225.0,190.0,202.0,221.0,194.0,149.0,144.0,71.0,,202.0,Third Pair,33,541.13333333333,0,3,30,1995-01-12,CAN,CAN,78,231,2013,4,17,108,,
2020-2021,Ben Hutton,"ANA, TOR",D,109.0,174.0,93.0,45.0,88.0,174.0,83.0,146.0,209.0,185.0,83.0,143.0,,119.0,Second Pair,38,701.25,1,1,32,1993-04-20,CAN,CAN,75,201,2012,5,26,147,,
2020-2021,Bowen Byram,COL,D,206.0,138.0,,,114.0,82.0,185.0,232.0,29.0,205.0,234.0,56.0,,228.0,Third Pair,19,332.71666666667,0,1,24,2001-06-13,CAN,CAN,73,190,2019,1,4,4,,
2020-2021,Brady Skjei,CAR,D,53.0,164.0,,43.0,62.0,159.0,53.0,69.0,161.0,187.0,167.0,82.0,,77.0,Second Pair,52,1078.0833333333,3,2,31,1994-03-26,USA,USA,75,210,2012,1,28,28,,
2020-2021,Brandon Carlo,BOS,D,83.0,26.0,,10.0,97.0,11.0,87.0,65.0,66.0,222.0,106.0,65.0,,108.0,Second Pair,27,505.15,3,0,28,1996-11-26,USA,USA,78,218,2015,2,7,37,,
2020-2021,Brandon Montour,"BUF, FLA",D,61.0,148.0,96.0,88.0,157.0,151.0,70.0,30.0,68.0,83.0,177.0,122.0,,70.0,Second Pair,50,1024.4,7,7,31,1994-04-11,CAN,CAN,72,194,2014,2,25,55,,
2020-2021,Brayden McNabb,VGK,D,127.0,28.0,,34.0,26.0,62.0,193.0,159.0,72.0,201.0,100.0,22.0,,120.0,Second Pair,41,791.25,2,1,34,1991-01-21,CAN,CAN,76,215,2009,3,5,66,,
2020-2021,Braydon Coburn,"NYI, OTT",D,155.0,197.0,,130.0,94.0,191.0,122.0,204.0,105.0,191.0,228.0,45.0,,203.0,Third Pair,19,304.85,0,1,40,1985-02-27,CAN,CAN,77,224,2003,1,8,8,,
2020-2021,Brendan Smith,NYR,D,139.0,189.0,,42.0,222.0,171.0,127.0,36.0,52.0,144.0,76.0,23.0,,198.0,Third Pair,48,788.83333333333,5,3,36,1989-02-08,CAN,CAN,74,200,2007,1,27,27,,
