Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,zon_rank,plm_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Contract Years,Cap Hit
2017-2018,Aaron Ekblad,FLA,D,52.0,194.0,28.0,156.0,136.0,156.0,10.0,6.0,55.0,174.0,185.0,153.0,,37.0,First Pair,82,1917.9,16,6,29,1996-02-07,CAN,CAN,76,215,2014,1,1,1,,
2017-2018,Adam Larsson,EDM,D,164.0,63.0,,30.0,60.0,119.0,184.0,145.0,225.0,217.0,175.0,9.0,,85.0,Second Pair,63,1381.7333333333,4,2,32,1992-11-12,SWE,SWE,75,209,2011,1,4,4,,
2017-2018,Adam McQuaid,BOS,D,182.0,30.0,,1.0,59.0,45.0,198.0,200.0,10.0,235.0,222.0,21.0,,178.0,Third Pair,38,596.71666666667,1,0,38,1986-10-12,CAN,CAN,76,210,2005,2,25,55,,
2017-2018,Adam Pelech,NYI,D,174.0,173.0,,140.0,168.0,215.0,167.0,155.0,232.0,197.0,117.0,105.0,,132.0,Second Pair,78,1503.3833333333,3,6,30,1994-08-16,CAN,CAN,75,210,2012,3,4,65,,
2017-2018,Alec Martinez,LAK,D,134.0,52.0,11.0,5.0,78.0,116.0,116.0,37.0,63.0,70.0,138.0,103.0,,41.0,First Pair,77,1760.4166666667,9,10,37,1987-07-26,USA,USA,73,210,2007,4,4,95,,
2017-2018,Alex Biega,VAN,D,113.0,153.0,,,178.0,150.0,41.0,226.0,75.0,151.0,227.0,4.0,,187.0,Third Pair,44,660.9,1,4,37,1988-04-04,CAN,CAN,70,195,2006,5,24,147,,
2017-2018,Alex Goligoski,ARI,D,78.0,219.0,52.0,70.0,127.0,226.0,152.0,49.0,194.0,45.0,58.0,118.0,,47.0,First Pair,78,1813.85,12,16,39,1985-07-30,USA,USA,71,173,2004,2,31,61,,
2017-2018,Alex Petrovic,FLA,D,124.0,46.0,,145.0,111.0,36.0,171.0,196.0,104.0,93.0,233.0,15.0,,184.0,Third Pair,67,982.0,2,5,33,1992-03-03,CAN,CAN,76,220,2010,2,6,36,,
2017-2018,Alex Pietrangelo,STL,D,30.0,33.0,46.0,27.0,88.0,79.0,40.0,18.0,178.0,28.0,6.0,223.0,,8.0,First Pair,78,2007.45,15,19,35,1990-01-18,CAN,CAN,75,215,2008,1,4,4,,
2017-2018,Alexander Edler,VAN,D,146.0,93.0,41.0,26.0,205.0,184.0,45.0,82.0,186.0,76.0,207.0,74.0,,21.0,First Pair,70,1699.4166666667,6,16,39,1986-04-21,SWE,SWE,76,210,2004,3,26,91,,
2017-2018,Alexei Emelin,NSH,D,209.0,70.0,,56.0,155.0,58.0,208.0,222.0,149.0,205.0,187.0,10.0,,188.0,Third Pair,76,1282.9833333333,1,5,39,1986-04-25,RUS,RUS,74,218,2004,3,19,84,,
2017-2018,Andreas Borgman,TOR,D,121.0,217.0,,,115.0,186.0,151.0,87.0,64.0,172.0,235.0,13.0,,222.0,Third Pair,48,657.0,3,3,30,1995-06-18,SWE,SWE,72,200,-,-,-,-,,
2017-2018,Andrej Sekera,EDM,D,125.0,155.0,83.0,150.0,121.0,172.0,107.0,173.0,101.0,55.0,59.0,182.0,,77.0,Third Pair,36,587.9,0,4,39,1986-06-08,SVK,SVK,72,200,2004,3,6,71,,
2017-2018,Andrej Sustr,TBL,D,77.0,119.0,,147.0,125.0,63.0,133.0,117.0,227.0,96.0,215.0,213.0,,203.0,Fringe,44,564.91666666667,2,5,34,1990-11-29,CZE,CZE,79,217,-,-,-,-,,
2017-2018,Andrew MacDonald,PHI,D,166.0,42.0,,111.0,185.0,98.0,194.0,111.0,147.0,113.0,45.0,207.0,,76.0,Second Pair,66,1310.1833333333,6,2,38,1986-09-07,CAN,CAN,73,204,2006,6,7,160,,
2017-2018,Andy Greene,NJD,D,212.0,43.0,101.0,21.0,198.0,81.0,200.0,170.0,239.0,191.0,21.0,174.0,,109.0,Second Pair,81,1711.0333333333,3,5,42,1982-10-30,USA,USA,71,190,-,-,-,-,,
2017-2018,Anthony Bitetto,NSH,D,208.0,135.0,,,206.0,170.0,191.0,197.0,13.0,175.0,238.0,27.0,,225.0,Third Pair,32,430.06666666667,1,0,34,1990-07-15,USA,USA,73,222,2010,6,18,168,,
2017-2018,Anton Lindholm,COL,D,239.0,223.0,,118.0,235.0,228.0,238.0,229.0,233.0,213.0,203.0,30.0,,239.0,Third Pair,48,632.11666666667,0,2,30,1994-11-29,SWE,SWE,71,191,2014,5,24,144,,
2017-2018,Anton Stralman,TBL,D,70.0,57.0,95.0,61.0,25.0,24.0,108.0,115.0,44.0,129.0,27.0,126.0,,90.0,Second Pair,80,1718.95,4,7,38,1986-08-01,SWE,SWE,71,193,2005,7,22,216,,
2017-2018,Ben Chiarot,WPG,D,149.0,60.0,,112.0,177.0,66.0,163.0,174.0,49.0,94.0,213.0,41.0,,164.0,Third Pair,57,870.55,2,7,34,1991-05-09,CAN,CAN,75,232,2009,4,29,120,,
2017-2018,Ben Harpur,OTT,D,237.0,235.0,,121.0,220.0,233.0,231.0,230.0,230.0,239.0,195.0,61.0,,240.0,Third Pair,41,610.33333333333,0,1,30,1995-01-12,CAN,CAN,78,231,2013,4,17,108,,
2017-2018,Ben Hutton,VAN,D,198.0,132.0,92.0,128.0,212.0,127.0,61.0,212.0,69.0,183.0,38.0,194.0,,122.0,Second Pair,61,1123.2833333333,0,2,32,1993-04-20,CAN,CAN,75,201,2012,5,26,147,,
2017-2018,Ben Lovejoy,NJD,D,176.0,15.0,,11.0,152.0,10.0,153.0,192.0,236.0,223.0,152.0,77.0,,161.0,Third Pair,57,945.63333333333,2,2,41,1984-02-20,USA,USA,73,205,-,-,-,-,,
2017-2018,Brad Hunt,VGK,D,201.0,95.0,66.0,,214.0,108.0,58.0,109.0,36.0,51.0,183.0,227.0,,119.0,Third Pair,45,749.11666666667,3,7,36,1988-08-24,CAN,CAN,69,177,-,-,-,-,,
2017-2018,Brady Skjei,NYR,D,107.0,212.0,60.0,137.0,130.0,203.0,84.0,157.0,23.0,82.0,131.0,88.0,,84.0,Second Pair,82,1724.05,4,9,31,1994-03-26,USA,USA,75,210,2012,1,28,28,,
2017-2018,Brandon Carlo,BOS,D,197.0,141.0,,104.0,66.0,84.0,223.0,220.0,148.0,229.0,223.0,146.0,,214.0,Second Pair,76,1462.0166666667,0,3,28,1996-11-26,USA,USA,78,218,2015,2,7,37,,
2017-2018,Brandon Davidson,"EDM, MTL, NYI",D,128.0,18.0,,131.0,96.0,25.0,122.0,118.0,155.0,212.0,134.0,53.0,,148.0,Third Pair,51,857.73333333333,4,2,33,1991-08-21,CAN,CAN,74,204,2010,6,12,162,,
