Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,zon_rank,plm_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Contract Years,Cap Hit
2023-2024,Aaron Ekblad,FLA,D,13.0,120.0,10.0,50.0,4.0,42.0,12.0,28.0,90.0,53.0,180.0,119.0,,34.0,Second Pair,51,1064.0,4,6,29.0,1996-02-07,CAN,CAN,76.0,215.0,2014,1,1,1,,
2023-2024,Adam Boqvist,CBJ,D,82.0,247.0,31.0,,67.0,242.0,81.0,58.0,10.0,40.0,6.0,240.0,,92.0,Second Pair,35,639.91666666667,1,5,24.0,2000-08-15,SWE,SWE,72.0,182.0,2018,1,8,8,,
2023-2024,Adam Fox,NYR,D,26.0,27.0,7.0,7.0,50.0,45.0,66.0,9.0,45.0,8.0,13.0,237.0,,4.0,First Pair,72,1687.9333333333,17,25,27.0,1998-02-17,USA,USA,71.0,182.0,2016,3,5,66,,
2023-2024,Adam Larsson,SEA,D,81.0,31.0,,74.0,102.0,36.0,98.0,128.0,18.0,159.0,132.0,66.0,,63.0,First Pair,81,1858.55,4,5,32.0,1992-11-12,SWE,SWE,75.0,209.0,2011,1,4,4,,
2023-2024,Adam Pelech,NYI,D,86.0,108.0,,75.0,92.0,106.0,110.0,173.0,231.0,99.0,80.0,140.0,,75.0,Second Pair,58,1176.3333333333,1,8,30.0,1994-08-16,CAN,CAN,75.0,210.0,2012,3,4,65,,
2023-2024,Alec Martinez,VGK,D,126.0,20.0,,114.0,99.0,209.0,127.0,107.0,131.0,183.0,34.0,211.0,,51.0,Second Pair,55,1047.4333333333,4,5,37.0,1987-07-26,USA,USA,73.0,210.0,2007,4,4,95,,
2023-2024,Alex Goligoski,MIN,D,160.0,63.0,97.0,174.0,143.0,69.0,120.0,233.0,92.0,47.0,149.0,164.0,,154.0,Third Pair,36,533.1,0,7,39.0,1985-07-30,USA,USA,71.0,173.0,2004,2,31,61,,
2023-2024,Alex Pietrangelo,VGK,D,31.0,79.0,35.0,60.0,34.0,193.0,27.0,63.0,48.0,27.0,21.0,209.0,,13.0,First Pair,64,1508.2,4,16,35.0,1990-01-18,CAN,CAN,75.0,215.0,2008,1,4,4,,
2023-2024,Alex Vlasic,CHI,D,248.0,148.0,,131.0,241.0,215.0,239.0,235.0,217.0,228.0,204.0,218.0,,175.0,Second Pair,76,1632.3833333333,2,5,24.0,2001-06-05,USA,USA,78.0,199.0,2019,2,12,43,,
2023-2024,Alexander Alexeyev,WSH,D,244.0,21.0,,,233.0,68.0,223.0,229.0,225.0,237.0,168.0,111.0,,233.0,Third Pair,39,534.15,1,1,25.0,1999-11-15,RUS,RUS,76.0,213.0,2018,1,31,31,,
2023-2024,Alexander Romanov,NYI,D,104.0,195.0,,63.0,107.0,208.0,105.0,145.0,174.0,144.0,61.0,48.0,,83.0,Second Pair,81,1688.0666666667,7,7,25.0,2000-01-06,RUS,RUS,73.0,215.0,2018,2,7,38,,
