Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,zon_rank,plm_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Contract Years,Cap Hit
2019-2020,Aaron Ekblad,FLA,D,27.0,188.0,25.0,88.0,80.0,119.0,51.0,46.0,166.0,28.0,111.0,180.0,,35.0,First Pair,67,1537.9166666667,5,23,29,1996-02-07,CAN,CAN,76,215,2014,1,1,1,,
2019-2020,Aaron Ness,ARI,D,226.0,190.0,,,136.0,184.0,232.0,229.0,6.0,221.0,2.0,169.0,,,Fringe,24,300.83333333333,0,1,35,1990-05-18,USA,USA,70,184,2008,2,10,40,,
2019-2020,Adam Boqvist,CHI,D,82.0,230.0,83.0,,131.0,233.0,157.0,56.0,112.0,101.0,5.0,183.0,,163.0,Third Pair,41,665.11666666667,4,5,24,2000-08-15,SWE,SWE,72,182,2018,1,8,8,,
2019-2020,Adam Fox,NYR,D,53.0,116.0,81.0,,125.0,162.0,90.0,59.0,205.0,14.0,191.0,221.0,,68.0,Second Pair,70,1323.3,8,20,27,1998-02-17,USA,USA,71,182,2016,3,5,66,,
2019-2020,Adam Larsson,EDM,D,182.0,98.0,,31.0,118.0,125.0,168.0,199.0,213.0,201.0,189.0,21.0,,126.0,Second Pair,49,971.73333333333,1,2,32,1992-11-12,SWE,SWE,75,209,2011,1,4,4,,
2019-2020,Adam Pelech,NYI,D,165.0,49.0,,50.0,167.0,102.0,146.0,168.0,227.0,171.0,158.0,54.0,,92.0,Second Pair,38,803.01666666667,1,2,30,1994-08-16,CAN,CAN,75,210,2012,3,4,65,,
2019-2020,Alec Martinez,"LAK, VGK",D,152.0,62.0,44.0,34.0,61.0,156.0,158.0,117.0,118.0,138.0,50.0,152.0,,59.0,Second Pair,51,1096.9,3,4,37,1987-07-26,USA,USA,73,210,2007,4,4,95,,
2019-2020,Alex Biega,DET,D,119.0,167.0,,148.0,202.0,120.0,40.0,214.0,65.0,108.0,157.0,14.0,,148.0,Third Pair,49,804.63333333333,0,2,37,1988-04-04,CAN,CAN,70,195,2006,5,24,147,,
2019-2020,Alex Goligoski,ARI,D,132.0,133.0,58.0,9.0,68.0,174.0,166.0,131.0,184.0,77.0,75.0,142.0,,50.0,First Pair,70,1613.9833333333,4,7,39,1985-07-30,USA,USA,71,173,2004,2,31,61,,
2019-2020,Alex Pietrangelo,STL,D,20.0,37.0,16.0,27.0,66.0,58.0,7.0,6.0,85.0,34.0,11.0,205.0,,8.0,First Pair,70,1691.4833333333,16,18,35,1990-01-18,CAN,CAN,75,215,2008,1,4,4,,
2019-2020,Alexander Edler,VAN,D,66.0,53.0,20.0,26.0,124.0,193.0,47.0,49.0,214.0,27.0,220.0,60.0,,9.0,First Pair,59,1334.4166666667,5,11,39,1986-04-21,SWE,SWE,76,210,2004,3,26,91,,
2019-2020,Andreas Englund,OTT,D,214.0,213.0,,,231.0,220.0,231.0,228.0,30.0,46.0,3.0,7.0,,233.0,Fringe,24,261.75,0,3,29,1996-01-21,SWE,SWE,75,189,2014,2,10,40,,
2019-2020,Andrej Sekera,DAL,D,194.0,168.0,,142.0,149.0,94.0,162.0,219.0,161.0,152.0,102.0,182.0,,192.0,Second Pair,57,1026.0666666667,2,5,39,1986-06-08,SVK,SVK,72,200,2004,3,6,71,,
2019-2020,Andrew Peeke,CBJ,D,192.0,25.0,,,212.0,20.0,144.0,148.0,197.0,215.0,121.0,119.0,,222.0,Third Pair,22,304.83333333333,1,1,27,1998-03-17,USA,USA,75,210,2016,2,4,34,,
2019-2020,Andy Greene,"NJD, NYI",D,196.0,55.0,,4.0,174.0,183.0,206.0,169.0,231.0,133.0,49.0,196.0,,80.0,Second Pair,63,1231.4166666667,2,5,42,1982-10-30,USA,USA,71,190,-,-,-,-,,
2019-2020,Anthony Bitetto,WPG,D,212.0,144.0,,149.0,189.0,159.0,148.0,226.0,15.0,214.0,200.0,8.0,,221.0,Third Pair,51,773.21666666667,0,2,34,1990-07-15,USA,USA,73,222,2010,6,18,168,,
2019-2020,Anton Stralman,FLA,D,121.0,166.0,,71.0,87.0,178.0,179.0,137.0,176.0,139.0,38.0,145.0,,113.0,Second Pair,69,1453.5166666667,5,6,38,1986-08-01,SWE,SWE,71,193,2005,7,22,216,,
