Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,HDCF,HDCA,HDCF%,HDGF,HDGA,HDGF%,MDCF,MDCA,MDCF%,MDGF,MDGA,MDGF%,LDCF,LDCA,LDCF%,LDGF,LDGA,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts,Neu. Zone Starts,Def. Zone Starts,On The Fly Starts,Off. Zone Start %,Off. Zone Faceoffs,Neu. Zone Faceoffs,Def. Zone Faceoffs,Off. Zone Faceoff %
Alexander Nylander,"CBJ, PIT",LW,28,396.91666666667,9,4,2,2,13,56.52,55,16.36,7.42,103,78,58,26,1,18,6,3,3,0,0,3,6,6,12,22,12,8,6,57.14,452,439,50.73,312,325,48.98,216,251,46.25,23,24,48.94,21.32,23.03,48.07,208,215,49.17,73,92,44.24,10,10,50.00,135,123,52.33,6,8,42.86,275,246,52.78,7,5,58.33,10.65,90.44,1.011,76,80,54,265,58.46,138,107,125,52.47
Alexander Romanov,NYI,D,81,1519.3666666667,7,15,7,8,22,30.99,116,6.03,3.88,257,163,59,7,3,17,18,9,9,0,0,6,46,22,151,154,148,0,0,-,1471,1759,45.54,1068,1208,46.92,752,831,47.50,71,54,56.80,70.92,71.63,49.75,692,808,46.13,299,318,48.46,39,29,57.35,393,490,44.51,16,17,48.48,831,1025,44.77,15,8,65.22,9.44,93.50,1.029,138,290,217,1227,38.87,393,435,486,44.71
Alexander Wennberg,"NYR, SEA",C,79,1115.3333333333,6,17,10,7,23,46.94,64,9.38,6.87,113,85,67,36,4,10,12,6,6,0,0,14,19,38,44,70,60,431,480,47.31,1030,1124,47.82,721,796,47.53,504,544,48.09,49,48,50.52,44.14,47.46,48.19,471,503,48.36,185,204,47.56,20,27,42.55,286,299,48.89,15,11,57.69,620,706,46.76,13,9,59.09,9.72,91.18,1.009,200,225,231,774,46.40,332,315,421,44.09
Alexandre Carrier,NSH,D,73,1189.25,3,15,7,8,18,33.96,70,4.29,3.66,162,111,60,6,4,2,44,22,22,0,0,11,21,15,52,178,113,0,0,-,1139,1108,50.69,837,790,51.44,576,568,50.35,53,49,51.96,51.8,50.16,50.80,511,518,49.66,208,206,50.24,28,30,48.28,303,312,49.27,14,13,51.85,654,698,48.37,7,6,53.85,9.20,91.37,1.006,90,255,164,1004,35.43,253,404,397,38.92
Alexandre Texier,CBJ,C,78,1014.9333333333,10,16,11,5,26,57.78,99,10.10,9.61,216,143,97,41,8,22,36,18,18,0,0,11,15,20,54,31,31,4,9,30.77,1088,1146,48.70,763,848,47.36,515,590,46.61,45,52,46.39,45.62,60.81,42.87,476,568,45.59,171,245,41.11,20,32,38.46,305,323,48.57,14,14,50.00,642,639,50.12,11,6,64.71,8.74,91.19,0.999,159,227,158,721,50.16,291,300,312,48.26
Alexey Toropchenko,STL,RW,82,928.78333333333,12,7,5,2,19,76.00,104,11.54,13.26,166,134,111,69,9,18,30,15,15,0,0,18,13,21,163,101,50,0,2,0.00,702,1053,40.00,513,742,40.88,370,534,40.93,25,31,44.64,32.84,44.74,42.33,311,462,40.23,141,192,42.34,13,16,44.83,170,270,38.64,5,11,31.25,410,635,39.23,6,4,60.00,6.76,94.19,1.010,107,202,130,717,45.15,190,273,285,40.00
Alexis Lafreniere,NYR,LW,82,1307.2333333333,26,25,18,7,51,65.38,192,13.54,21.03,356,282,231,104,12,24,36,14,13,0,1,25,23,45,73,123,21,16,49,24.62,1548,1228,55.76,1111,924,54.59,751,661,53.19,78,73,51.66,67.96,67.37,50.22,773,599,56.34,297,246,54.70,33,44,42.86,476,353,57.42,26,22,54.17,882,583,60.20,17,4,80.95,10.39,88.96,0.993,257,221,69,1000,78.83,466,304,170,73.27
Aliaksei Protas,WSH,C,78,986.05,6,22,12,10,28,63.64,108,5.56,12.26,196,160,106,53,4,25,8,4,4,0,0,10,31,38,33,86,42,36,41,46.75,921,996,48.04,658,703,48.35,460,489,48.47,44,48,47.83,43.9,44.5,49.66,443,447,49.78,183,185,49.73,26,28,48.15,260,262,49.81,9,15,37.50,475,598,44.27,9,3,75.00,9.57,90.18,0.997,118,240,174,765,40.41,206,308,315,39.54
Anders Lee,NYI,LW,81,1120.3833333333,15,17,3,14,32,57.14,160,9.38,27.47,287,240,218,141,7,39,57,20,16,3,1,13,17,26,170,98,53,16,23,41.03,1277,1242,50.69,936,855,52.26,662,578,53.39,56,53,51.38,64.52,56.18,53.45,607,558,52.10,281,217,56.43,25,23,52.08,326,341,48.88,19,15,55.88,774,725,51.63,12,14,46.15,8.46,90.83,0.993,213,211,156,905,57.72,402,295,327,55.14
Andre Burakovsky,SEA,LW,49,601.8,2,5,3,2,7,46.67,70,2.86,5.69,157,95,77,23,6,14,14,6,6,0,0,8,8,23,12,50,13,3,2,60.00,650,628,50.86,420,442,48.72,293,303,49.16,15,28,34.88,23.61,28.32,45.46,287,282,50.44,99,104,48.77,4,13,23.53,188,178,51.37,3,9,25.00,391,363,51.86,8,3,72.73,5.12,90.76,0.959,104,117,72,501,59.09,189,150,159,54.31
