Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,HDCF,HDCA,HDCF%,HDGF,HDGA,HDGF%,MDCF,MDCA,MDCF%,MDGF,MDGA,MDGF%,LDCF,LDCA,LDCF%,LDGF,LDGA,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts,Neu. Zone Starts,Def. Zone Starts,On The Fly Starts,Off. Zone Start %,Off. Zone Faceoffs,Neu. Zone Faceoffs,Def. Zone Faceoffs,Off. Zone Faceoff %
A.J. Greer,FLA,LW,81,777.05,6,11,10,1,17,68.00,86,6.98,11.05,162,124,95,51,8,22,130,43,34,6,3,29,43,8,218,84,30,16,31,34.04,748,685,52.20,521,497,51.18,338,324,51.06,25,22,53.19,35.17,31.08,53.09,337,288,53.92,152,143,51.53,12,10,54.55,185,145,56.06,8,7,53.33,439,426,50.75,5,5,50.00,7.40,93.21,1.006,131,201,100,715,56.71,209,265,203,50.73
Aaron Ekblad,FLA,D,56,1316.7,3,30,14,16,33,39.76,106,2.83,5.87,291,178,77,14,8,30,53,25,24,1,0,16,57,23,89,53,64,0,0,-,1570,1232,56.03,1149,935,55.13,777,633,55.11,83,64,56.46,81.83,71.11,53.50,732,564,56.48,310,263,54.10,40,34,54.05,422,301,58.37,13,13,50.00,975,779,55.59,27,14,65.85,10.68,89.89,1.006,216,214,249,925,46.45,522,355,476,52.30
Aatu Raty,VAN,C,33,351.68333333333,7,4,2,2,11,68.75,34,20.59,3.68,60,47,36,19,0,8,14,7,7,0,0,5,8,2,80,20,7,191,142,57.36,324,301,51.84,215,227,48.64,137,135,50.37,16,16,50.00,13.31,13.2,50.19,148,123,54.61,64,54,54.24,9,7,56.25,84,69,54.90,3,6,33.33,218,188,53.69,4,3,57.14,11.68,88.15,0.998,77,89,72,306,51.68,131,108,123,51.57
Adam Boqvist,"FLA, NYI",D,35,492.51666666667,4,10,5,5,14,51.85,40,10.00,2.38,105,59,36,4,2,7,10,5,5,0,0,1,21,4,13,31,19,0,0,-,568,441,56.29,409,322,55.95,260,212,55.08,27,26,50.94,30.58,22.86,57.22,277,190,59.31,122,91,57.28,12,9,57.14,155,99,61.02,10,7,58.82,344,241,58.80,5,7,41.67,10.38,87.74,0.981,121,79,37,409,76.58,218,123,99,68.77
Adam Edstrom,NYR,C,51,472.95,5,4,3,1,9,60.00,40,12.50,6.93,72,59,59,38,3,4,27,8,6,1,1,10,19,7,94,34,34,0,4,0.00,377,462,44.93,271,324,45.55,180,218,45.23,15,20,42.86,17.19,21.32,44.64,186,199,48.31,89,91,49.44,13,10,56.52,97,108,47.32,2,7,22.22,176,301,36.90,0,3,0.00,8.33,90.83,0.992,41,111,119,419,25.63,70,157,214,24.65
Adam Fantilli,CBJ,C,82,1433.1833333333,31,23,14,9,54,67.50,191,16.23,19.01,394,280,174,67,18,32,18,9,9,0,0,20,89,23,113,100,56,420,599,41.22,1462,1413,50.85,1034,1028,50.15,691,671,50.73,80,69,53.69,70.41,73.27,49.01,634,654,49.22,259,274,48.59,41,29,58.57,375,380,49.67,19,21,47.50,903,778,53.72,19,14,57.58,11.58,89.72,1.013,286,285,105,934,73.15,532,413,288,64.88
Adam Fox,NYR,D,74,1720.4166666667,10,51,30,21,61,54.46,135,7.41,12.07,339,208,122,23,14,31,32,16,16,0,0,12,76,40,40,92,108,0,0,-,2086,1509,58.03,1517,1115,57.64,985,760,56.45,112,98,53.33,118.99,93.36,56.04,1019,742,57.86,410,330,55.41,49,51,49.00,609,412,59.65,38,28,57.58,1366,833,62.12,20,14,58.82,11.37,87.11,0.985,396,256,239,1042,62.36,865,448,476,64.50
Adam Gaudette,OTT,RW,81,844.21666666667,19,7,4,3,26,61.90,91,20.88,11.69,192,138,112,49,7,15,12,6,6,0,0,3,38,8,68,60,28,176,174,50.29,910,704,56.38,625,501,55.51,421,342,55.18,42,22,65.63,42.06,31.35,57.29,428,326,56.76,167,127,56.80,17,6,73.91,261,199,56.74,20,9,68.97,558,356,61.05,5,5,50.00,9.98,93.57,1.035,215,173,66,813,76.51,301,225,136,68.88
Adam Ginning,PHI,D,1,12.8,0,0,0,0,0,-,0,-,0,3,0,1,0,0,1,0,0,0,0,0,0,1,0,1,3,1,0,0,-,12,12,50.00,4,9,30.77,3,8,27.27,0,1,0.00,0.11,0.35,23.08,6,5,54.55,3,1,75.00,0,1,0.00,3,4,42.86,0,0,-,4,6,40.00,0,0,-,0.00,87.50,0.875,2,5,1,10,66.67,3,8,2,60.00
Adam Henrique,EDM,C,80,1186.1666666667,12,15,5,10,27,55.10,104,11.54,13.37,181,147,115,65,9,24,16,8,8,0,0,4,57,19,58,48,85,562,448,55.64,1008,1297,43.73,712,870,45.01,508,582,46.61,49,54,47.57,50.94,62.66,44.84,464,597,43.73,206,204,50.24,27,24,52.94,258,393,39.63,14,21,40.00,613,838,42.25,5,9,35.71,9.65,90.72,1.004,174,248,360,801,32.58,304,303,576,34.55
