Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,HDCF,HDCA,HDCF%,HDGF,HDGA,HDGF%,MDCF,MDCA,MDCF%,MDGF,MDGA,MDGF%,LDCF,LDCA,LDCF%,LDGF,LDGA,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts,Neu. Zone Starts,Def. Zone Starts,On The Fly Starts,Off. Zone Start %,Off. Zone Faceoffs,Neu. Zone Faceoffs,Def. Zone Faceoffs,Off. Zone Faceoff %
A.J. Greer,CGY,LW,59,5.75,1,0,0,0,1,100.00,1,100.00,0.28,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0.00,4,1,80.00,3,0,100.00,2,0,100.00,1,0,100.00,0.44,0,100.00,3,1,75.00,2,0,100.00,1,0,100.00,1,1,50.00,0,0,-,3,0,100.00,0,0,-,50.00,-,0.50,8,0,1,23,88.89,8,3,1,88.89
Aaron Ekblad,FLA,D,51,73.816666666667,1,3,1,2,4,40.00,19,5.26,2.57,36,31,11,4,0,3,2,1,1,0,0,0,3,0,1,1,0,0,0,-,146,14,91.25,116,14,89.23,82,13,86.32,10,2,83.33,12.77,1.01,92.66,79,7,91.86,44,4,91.67,7,1,87.50,35,3,92.11,1,1,50.00,91,2,97.85,2,0,100.00,12.20,84.62,0.968,33,8,3,64,91.67,52,14,3,94.55
Adam Beckman,MIN,LW,11,0.1,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,-,-,-,0,0,0,1,-,0,0,0,-
Adam Boqvist,CBJ,D,35,72.683333333333,0,4,4,0,4,80.00,11,0.00,1.28,32,16,15,3,0,3,0,0,0,0,0,0,3,0,0,2,1,0,0,-,143,15,90.51,92,14,86.79,59,11,84.29,5,1,83.33,8.71,1.1,88.82,75,8,90.36,30,4,88.24,3,1,75.00,45,4,91.84,2,0,100.00,107,7,93.86,0,0,-,8.47,90.91,0.994,35,8,1,11,97.22,75,11,3,96.15
Adam Edstrom,NYR,C,11,0.13333333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,-,-,-,0,0,0,1,-,0,0,0,-
Adam Erne,EDM,LW,24,1.95,0,0,0,0,0,-,0,-,0.33,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,3,0,100.00,3,0,100.00,0,0,-,0,0,-,0.53,0,100.00,3,0,100.00,2,0,100.00,0,0,-,1,0,100.00,0,0,-,0,0,-,0,0,-,-,-,-,0,0,0,4,-,0,0,0,-
Adam Fantilli,CBJ,C,49,111.3,1,2,1,1,3,60.00,23,4.35,3.28,49,35,28,4,1,5,2,1,1,0,0,1,1,1,2,7,0,16,16,50.00,207,31,86.97,145,30,82.86,87,23,79.09,5,2,71.43,12.79,2.34,84.55,108,14,88.52,33,7,82.50,2,1,66.67,75,7,91.46,2,1,66.67,136,4,97.14,1,0,100.00,5.75,91.30,0.971,36,8,1,54,97.30,79,15,3,96.34
Adam Fox,NYR,D,72,255.83333333333,6,27,9,18,33,64.71,35,17.14,3.5,73,47,25,3,0,6,8,4,4,0,0,3,6,4,1,4,6,0,0,-,592,61,90.66,448,54,89.24,310,43,87.82,51,4,92.73,47.29,5.34,89.86,328,23,93.45,146,11,92.99,26,3,89.66,182,12,93.81,13,0,100.00,416,16,96.30,12,1,92.31,16.45,90.70,1.071,121,17,1,15,99.18,264,39,9,96.70
Adam Ginning,PHI,D,9,0.88333333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,-,-,-,0,0,0,1,-,0,0,0,-
Adam Henrique,"ANA, EDM",C,82,153.66666666667,5,5,3,2,10,45.45,25,20.00,4.94,51,43,41,20,0,5,7,2,1,1,0,1,1,0,5,1,1,74,71,51.03,262,24,91.61,186,17,91.63,131,13,90.97,22,1,95.65,16.2,1.22,92.98,113,7,94.17,44,5,89.80,6,1,85.71,69,2,97.18,7,0,100.00,215,15,93.48,9,0,100.00,16.79,92.31,1.091,89,10,6,60,93.68,144,16,10,93.51
Adam Larsson,SEA,D,81,16.416666666667,0,0,0,0,0,0.00,1,0.00,0.06,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-,19,2,90.48,14,2,87.50,8,2,80.00,1,0,100.00,1.13,0.08,93.69,10,0,100.00,4,0,100.00,0,0,-,6,0,100.00,1,0,100.00,17,3,85.00,0,0,-,12.50,100.00,1.125,5,8,2,66,71.43,8,8,3,72.73
Adam Lowry,WPG,C,81,38.9,0,2,2,0,2,50.00,5,0.00,0.83,8,8,8,4,0,2,7,2,1,1,0,1,0,2,0,3,0,34,20,62.96,64,8,88.89,43,7,86.00,28,5,84.85,4,1,80.00,4.18,0.46,90.18,33,3,91.67,13,1,92.86,2,0,100.00,20,2,90.91,1,1,50.00,55,4,93.22,1,0,100.00,14.29,80.00,0.943,31,7,6,21,83.78,45,9,6,88.24
Adam Pelech,NYI,D,58,4.55,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,2,0.00,0,1,0.00,0,1,0.00,0,0,-,0,0.07,0.00,0,1,0.00,0,0,-,0,0,-,0,1,0.00,0,0,-,3,1,75.00,0,0,-,-,100.00,1.00,5,1,0,27,100.00,5,1,0,100.00
Adam Ruzicka,"ARI, CGY",C,42,63.5,0,4,3,1,4,100.00,7,0.00,0.84,16,10,8,2,0,4,2,1,1,0,0,1,1,0,0,2,1,6,4,60.00,103,14,88.03,74,11,87.06,48,9,84.21,4,0,100.00,6.82,0.61,91.84,52,5,91.23,21,2,91.30,4,0,100.00,31,3,91.18,0,0,-,64,9,87.67,0,0,-,8.33,100.00,1.083,24,6,3,43,88.89,42,13,5,89.36
Adrian Kempe,LAK,RW,77,239.21666666667,5,22,11,11,27,71.05,51,9.80,6.94,121,84,48,11,0,12,4,1,1,0,0,1,4,2,8,4,0,2,3,40.00,415,65,86.46,305,57,84.25,201,43,82.38,38,6,86.36,32.8,5.93,84.70,223,32,87.45,91,17,84.26,15,4,78.95,132,15,89.80,15,2,88.24,312,14,95.71,8,0,100.00,18.91,86.05,1.050,134,13,0,31,100.00,228,23,3,98.70
Akil Thomas,LAK,C,7,0.18333333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,-,-,-,0,0,0,2,-,0,0,0,-
Akito Hirose,VAN,D,3,2.45,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,2,0,100.00,2,0,100.00,1,0,100.00,0,0,-,0.19,0,100.00,2,0,100.00,1,0,100.00,0,0,-,1,0,100.00,0,0,-,3,0,100.00,0,0,-,0.00,-,0.00,1,1,0,0,100.00,4,1,0,100.00
