Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,HDCF,HDCA,HDCF%,HDGF,HDGA,HDGF%,MDCF,MDCA,MDCF%,MDGF,MDGA,MDGF%,LDCF,LDCA,LDCF%,LDGF,LDGA,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts,Neu. Zone Starts,Def. Zone Starts,On The Fly Starts,Off. Zone Start %,Off. Zone Faceoffs,Neu. Zone Faceoffs,Def. Zone Faceoffs,Off. Zone Faceoff %
A.J. Greer,CGY,LW,59,15.716666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,-,2,26,7.14,2,21,8.70,2,15,11.76,0,2,0.00,0.09,1.77,4.79,1,12,7.69,0,2,0.00,0,1,0.00,1,10,9.09,0,1,0.00,0,14,0.00,0,0,-,0.00,86.67,0.867,1,1,0,27,100.00,1,1,0,100.00
Aaron Ekblad,FLA,D,51,157.88333333333,0,0,0,0,0,0.00,5,0.00,0.13,7,6,1,0,2,0,4,2,2,0,0,3,7,2,19,3,12,0,0,-,41,235,14.86,35,174,16.75,29,135,17.68,3,11,21.43,2.15,19.37,10.00,18,127,12.41,6,61,8.96,1,6,14.29,12,66,15.38,2,2,50.00,12,171,6.56,0,3,0.00,10.34,91.85,1.022,1,16,101,71,0.98,9,29,157,5.42
Adam Boqvist,CBJ,D,35,2.2833333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-,0,2,0.00,0,0,-,0,0,-,0,0,-,0,0,-,0,1,0.00,0,0,-,0,0,-,0,1,0.00,0,0,-,0,1,0.00,0,0,-,-,-,-,0,1,1,10,0.00,0,1,1,0.00
Adam Erne,EDM,LW,24,4.5166666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,9,0.00,0,3,0.00,0,3,0.00,0,0,-,0,0.24,0.00,0,5,0.00,0,1,0.00,0,0,-,0,4,0.00,0,0,-,0,6,0.00,0,0,-,-,100.00,1.00,0,0,2,7,0.00,0,0,2,0.00
Adam Fantilli,CBJ,C,49,1.85,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.00,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,1,0.00,0,0,-,-,-,-,2,0,1,4,66.67,2,0,1,66.67
Adam Fox,NYR,D,72,114.1,1,1,1,0,2,66.67,9,11.11,0.42,11,9,3,2,3,0,0,0,0,0,0,3,1,6,1,0,18,0,0,-,45,157,22.28,40,108,27.03,26,71,26.80,3,11,21.43,3,9.47,24.05,23,78,22.77,9,30,23.08,2,4,33.33,14,48,22.58,0,7,0.00,18,110,14.06,1,0,100.00,11.54,84.51,0.960,3,9,55,99,5.17,4,13,78,4.88
Adam Ginning,PHI,D,9,7.1333333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,-,0,7,0.00,0,3,0.00,0,2,0.00,0,0,-,0,0.32,0.00,0,5,0.00,0,2,0.00,0,0,-,0,3,0.00,0,0,-,0,3,0.00,0,0,-,-,100.00,1.00,0,1,2,8,0.00,0,1,2,0.00
Adam Henrique,"ANA, EDM",C,82,174.4,2,3,3,0,5,100.00,9,22.22,1.49,14,13,6,2,1,0,0,0,0,0,0,2,0,8,4,1,22,93,102,47.69,47,380,11.01,43,270,13.74,35,185,15.91,5,22,18.52,3.42,26.01,11.63,16,200,7.41,9,73,10.98,3,7,30.00,7,127,5.22,1,6,14.29,17,278,5.76,1,8,11.11,14.29,88.11,1.024,2,20,136,107,1.45,7,28,190,3.55
Adam Larsson,SEA,D,81,235.46666666667,0,1,1,0,1,33.33,3,0.00,0,4,4,0,0,2,0,4,1,1,0,0,1,1,2,8,0,40,0,0,-,45,504,8.20,44,357,10.97,34,225,13.13,3,33,8.33,4.47,36.78,10.83,19,244,7.22,7,95,6.86,1,15,6.25,12,149,7.45,2,9,18.18,14,399,3.39,0,9,0.00,8.82,85.33,0.942,1,20,136,60,0.73,6,35,244,2.40
Adam Lowry,WPG,C,81,170.9,1,1,1,0,2,100.00,5,20.00,1.79,10,9,6,3,2,1,2,1,1,0,0,0,3,6,4,2,16,103,135,43.28,39,334,10.46,36,240,13.04,27,169,13.78,2,24,7.69,3.04,25.21,10.75,15,176,7.85,6,79,7.06,1,11,8.33,9,97,8.49,1,8,11.11,12,275,4.18,0,5,0.00,7.41,85.80,0.932,2,19,162,60,1.22,3,21,225,1.32
