Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,HDCF,HDCA,HDCF%,HDGF,HDGA,HDGF%,MDCF,MDCA,MDCF%,MDGF,MDGA,MDGF%,LDCF,LDCA,LDCF%,LDGF,LDGA,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts,Neu. Zone Starts,Def. Zone Starts,On The Fly Starts,Off. Zone Start %,Off. Zone Faceoffs,Neu. Zone Faceoffs,Def. Zone Faceoffs,Off. Zone Faceoff %
Thomas Chabot,OTT,D,80,150.88333333333,0,0,0,0,0,0.00,3,0.00,0.53,5,5,3,2,1,1,0,0,0,0,0,3,3,0,4,2,21,0,0,-,41,230,15.13,35,180,16.28,24,135,15.09,4,13,23.53,3.14,20.63,13.20,26,147,15.03,14,70,16.67,3,9,25.00,12,77,13.48,1,2,33.33,7,122,5.43,0,2,0.00,16.67,90.37,1.070,0,12,73,114,0.00,1,23,104,0.95
Thomas Harley,DAL,D,78,119.25,0,0,0,0,0,0.00,7,0.00,0.42,8,8,4,1,1,1,0,0,0,0,0,1,7,2,0,0,5,0,0,-,32,149,17.68,28,121,18.79,23,78,22.77,1,8,11.11,2.58,12.63,16.94,17,69,19.77,3,38,7.32,0,5,0.00,14,31,31.11,0,0,-,7,115,5.74,1,3,25.00,4.35,89.74,0.941,1,8,42,87,2.33,5,16,72,6.49
Tim Stutzle,OTT,C,82,3.1833333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,1,0,100.00,0,0,-,-,-,-,0,0,0,23,-,1,0,0,100.00
Timo Meier,NJD,RW,80,2.4666666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,1,0,100.00,0,0,-,-,-,-,0,1,0,8,-,1,1,0,100.00
Timothy Liljegren,"SJS, TOR",D,68,33.816666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,0,-,7,77,8.33,7,60,10.45,7,36,16.28,0,7,0.00,0.11,8.38,1.26,0,48,0.00,0,24,0.00,0,4,0.00,0,24,0.00,0,1,0.00,4,47,7.84,0,2,0.00,0.00,80.56,0.806,0,1,21,30,0.00,0,3,28,0.00
Tobias Bjornfot,FLA,D,14,7.2,0,0,0,0,0,0.00,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,4,9,30.77,4,6,40.00,2,6,25.00,1,2,33.33,0.43,1.11,28.06,2,6,25.00,1,4,20.00,0,2,0.00,1,2,33.33,0,0,-,2,3,40.00,1,0,100.00,50.00,66.67,1.167,0,0,1,12,0.00,0,1,1,0.00
Tom Wilson,WSH,RW,81,129.18333333333,2,3,3,0,5,100.00,8,25.00,1.01,16,14,8,6,1,0,16,4,3,0,1,2,5,3,9,1,9,1,5,16.67,40,193,17.17,35,139,20.11,26,94,21.67,5,16,23.81,2.01,15.27,11.63,18,104,14.75,10,40,20.00,3,6,33.33,8,64,11.11,1,5,16.67,14,110,11.29,1,5,16.67,19.23,82.98,1.022,1,11,40,169,2.44,5,16,50,9.09
Tomas Hertl,VGK,C,73,9.7333333333333,0,0,0,0,0,-,1,0.00,0.12,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,14,12,53.85,6,16,27.27,4,11,26.67,3,8,27.27,0,2,0.00,0.28,0.97,22.55,4,11,26.67,2,4,33.33,0,2,0.00,2,7,22.22,0,0,-,3,14,17.65,0,0,-,0.00,75.00,0.750,2,1,16,12,11.11,4,3,19,17.39
Tomas Nosek,FLA,LW,59,61.516666666667,0,1,1,0,1,100.00,1,0.00,0.1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,2,20,24,45.45,12,81,12.90,11,67,14.10,9,38,19.15,1,5,16.67,0.76,7.55,9.16,5,42,10.64,4,24,14.29,1,4,20.00,1,18,5.26,0,0,-,10,52,16.13,0,1,0.00,11.11,86.84,0.980,7,8,20,74,25.93,9,13,28,24.32
Tomas Tatar,NJD,LW,74,0.78333333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,1,0.00,0,1,0.00,0,1,0.00,0,1,0.00,0,0.85,0.00,0,1,0.00,0,0,-,0,0,-,0,1,0.00,0,1,0.00,0,0,-,0,0,-,-,0.00,0.00,0,0,1,4,-,0,0,0,-
Tommy Novak,"NSH, PIT",C,54,0.68333333333333,0,0,0,0,0,-,0,-,0.08,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,1,2,33.33,1,2,33.33,0,2,0.00,0,0,-,0.08,0.16,32.00,0,1,0.00,0,1,0.00,0,0,-,0,0,-,0,0,-,1,1,50.00,0,0,-,-,100.00,1.00,0,0,0,7,-,0,0,0,-
Tony DeAngelo,NYI,D,35,13.566666666667,0,0,0,0,0,-,1,0.00,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-,5,33,13.16,5,27,15.63,5,20,20.00,0,1,0.00,0.27,3.32,7.46,4,18,18.18,0,11,0.00,0,0,-,4,7,36.36,0,0,-,1,18,5.26,0,1,0.00,0.00,95.00,0.950,0,0,5,20,0.00,1,2,6,14.29
Travis Dermott,"EDM, MIN",D,19,7.2166666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-,1,4,20.00,1,3,25.00,1,3,25.00,0,0,-,0,0.1,0.80,0,1,0.00,0,0,-,0,0,-,0,1,0.00,0,0,-,0,5,0.00,0,0,-,0.00,100.00,1.000,0,0,1,10,0.00,0,0,3,0.00
Travis Hamonic,OTT,D,59,91.55,0,0,0,0,0,0.00,1,0.00,0.02,1,1,0,0,0,0,4,2,2,0,0,0,2,0,0,0,12,0,0,-,23,173,11.73,23,128,15.23,17,85,16.67,2,18,10.00,1.84,13.52,11.96,13,98,11.71,8,40,16.67,2,9,18.18,5,58,7.94,0,4,0.00,7,119,5.56,0,5,0.00,11.76,78.82,0.906,0,2,59,66,0.00,1,6,86,1.15
