Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,HDCF,HDCA,HDCF%,HDGF,HDGA,HDGF%,MDCF,MDCA,MDCF%,MDGF,MDGA,MDGF%,LDCF,LDCA,LDCF%,LDGF,LDGA,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts,Neu. Zone Starts,Def. Zone Starts,On The Fly Starts,Off. Zone Start %,Off. Zone Faceoffs,Neu. Zone Faceoffs,Def. Zone Faceoffs,Off. Zone Faceoff %
A.J. Greer,BOS,LW,61,4.9166666666667,0,0,0,0,0,0.00,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,1,1,50.00,1,1,50.00,1,0,100.00,1,0,100.00,0.16,0.06,72.56,1,1,50.00,1,0,100.00,1,0,100.00,0,1,0.00,0,0,-,0,0,-,0,0,-,100.00,-,1.00,2,2,0,11,100.00,3,2,0,100.00
Aaron Ekblad,FLA,D,71,233.6,8,11,6,5,19,50.00,63,12.70,7.46,112,83,48,15,0,16,0,0,0,0,0,0,11,1,8,4,3,0,0,-,429,59,87.91,346,48,87.82,255,36,87.63,38,4,90.48,39.37,2.95,93.04,255,21,92.39,140,10,93.33,25,4,86.21,115,11,91.27,10,0,100.00,182,13,93.33,3,0,100.00,14.90,88.89,1.038,126,19,3,27,97.67,257,30,5,98.09
Aatu Raty,"NYI, VAN",C,15,6.8833333333333,0,0,0,0,0,-,1,0.00,0.16,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,60.00,8,0,100.00,7,0,100.00,3,0,100.00,0,0,-,0.54,0,100.00,6,0,100.00,2,0,100.00,0,0,-,4,0,100.00,0,0,-,2,0,100.00,0,0,-,0.00,-,0.00,3,0,1,7,75.00,4,1,1,80.00
Adam Beckman,MIN,LW,9,6.45,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-,6,1,85.71,5,1,83.33,5,1,83.33,0,0,-,0.24,0.14,63.47,1,1,50.00,0,1,0.00,0,0,-,1,0,100.00,0,0,-,4,0,100.00,0,0,-,0.00,100.00,1.000,2,0,0,6,100.00,3,0,1,75.00
Adam Boqvist,CBJ,D,46,141.33333333333,0,9,6,3,9,64.29,21,0.00,1.46,41,30,8,0,0,3,2,1,1,0,0,0,0,0,2,4,2,0,0,-,266,44,85.81,209,40,83.94,144,33,81.36,14,3,82.35,19.83,3.01,86.84,136,24,85.00,52,14,78.79,5,2,71.43,84,10,89.36,5,1,83.33,138,8,94.52,4,0,100.00,9.72,90.91,1.006,69,13,1,12,98.57,152,16,4,97.44
Adam Erne,DET,LW,61,1.6333333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,1,0.00,0,1,0.00,0,1,0.00,0,1,0.00,0,0.15,0.00,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,-,0.00,0.00,6,2,0,14,100.00,6,2,1,85.71
Adam Fox,NYR,D,82,293.68333333333,1,28,14,14,29,58.00,41,2.44,3.73,95,62,40,5,1,7,6,3,3,0,0,1,8,10,0,6,6,0,0,-,657,57,92.02,518,48,91.52,343,39,89.79,50,5,90.91,54.9,4,93.21,399,26,93.88,177,16,91.71,21,3,87.50,222,10,95.69,18,1,94.74,267,14,95.02,10,0,100.00,14.58,87.18,1.018,118,21,1,11,99.16,298,37,5,98.35
Adam Henrique,ANA,C,62,158.53333333333,4,6,5,1,10,47.62,27,14.81,5.78,58,46,48,28,0,9,2,1,1,0,0,0,3,0,2,2,0,109,77,58.60,314,38,89.20,235,36,86.72,167,26,86.53,21,3,87.50,24.76,2.61,90.48,178,20,89.90,80,11,87.91,10,2,83.33,98,9,91.59,3,0,100.00,137,9,93.84,8,0,100.00,12.57,88.46,1.010,101,19,1,25,99.02,168,25,4,97.67
Adam Larsson,SEA,D,82,15.383333333333,0,0,0,0,0,0.00,1,0.00,0.06,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,-,13,6,68.42,10,6,62.50,7,6,53.85,1,1,50.00,0.78,0.09,90.07,7,2,77.78,2,1,66.67,1,1,50.00,5,1,83.33,0,0,-,6,2,75.00,0,0,-,14.29,83.33,0.976,10,4,4,50,71.43,10,5,4,71.43
Adam Lowry,WPG,C,82,111.71666666667,0,2,1,1,2,25.00,16,0.00,3.29,23,21,21,16,2,5,0,0,0,0,0,0,1,0,5,7,0,34,32,51.52,157,30,83.96,116,26,81.69,76,19,80.00,8,0,100.00,11.88,1.68,87.58,88,17,83.81,42,9,82.35,5,0,100.00,46,8,85.19,2,0,100.00,65,4,94.20,0,0,-,10.53,100.00,1.105,39,19,4,95,90.70,64,21,8,88.89
