Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,HDCF,HDCA,HDCF%,HDGF,HDGA,HDGF%,MDCF,MDCA,MDCF%,MDGF,MDGA,MDGF%,LDCF,LDCA,LDCF%,LDGF,LDGA,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts,Neu. Zone Starts,Def. Zone Starts,On The Fly Starts,Off. Zone Start %,Off. Zone Faceoffs,Neu. Zone Faceoffs,Def. Zone Faceoffs,Off. Zone Faceoff %
Mark Jankowski,"CAR, NSH","C, LW",60,14.7,0,0,0,0,0,0.00,1,0.00,0.35,3,2,3,2,0,0,14,3,2,0,1,1,0,1,0,0,0,5,3,62.50,21,3,87.50,15,3,83.33,11,3,78.57,1,0,100.00,1.51,0.11,93.21,13,1,92.86,5,0,100.00,0,0,-,8,1,88.89,0,0,-,13,0,100.00,1,0,100.00,9.09,100.00,1.091,7,3,0,16,100.00,9,3,0,100.00
Mark Kastelic,BOS,C,61,8.1166666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,40.00,4,3,57.14,1,3,25.00,0,2,0.00,0,0,-,0.25,0.22,53.63,2,2,50.00,0,0,-,0,0,-,2,2,50.00,0,0,-,5,3,62.50,0,0,-,-,100.00,1.00,6,1,3,15,66.67,7,1,3,70.00
Mark Scheifele,WPG,C,82,229.7,11,14,8,6,25,58.14,48,22.92,7.36,74,63,53,18,0,5,2,1,1,0,0,3,13,1,1,6,1,118,105,52.91,405,68,85.62,314,62,83.51,225,51,81.52,43,3,93.48,34.79,3.63,90.54,233,30,88.59,105,6,94.59,22,1,95.65,128,24,84.21,10,2,83.33,298,22,93.13,11,0,100.00,19.11,94.12,1.132,113,15,0,17,100.00,230,25,5,97.87
Mark Stone,VGK,RW,66,173.13333333333,5,20,15,5,25,60.98,19,26.32,4.28,32,30,28,21,0,2,0,0,0,0,0,1,3,1,1,8,1,0,0,-,328,39,89.37,259,29,89.93,196,21,90.32,41,1,97.62,27.22,2.42,91.82,201,21,90.54,84,9,90.32,14,1,93.33,117,12,90.70,15,0,100.00,240,7,97.17,12,0,100.00,20.92,95.24,1.162,96,8,0,6,100.00,190,21,4,97.94
Martin Fehervary,WSH,D,81,4.3833333333333,0,0,0,0,0,-,0,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,1,0,100.00,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,5,0,100.00,0,0,-,-,-,-,7,5,0,10,100.00,7,7,0,100.00
Martin Necas,"CAR, COL",C,79,284.5,12,25,12,13,37,69.81,54,22.22,5.52,83,67,31,9,0,6,0,0,0,0,0,1,12,1,0,7,1,7,10,41.18,513,67,88.45,399,54,88.08,264,40,86.84,53,3,94.64,39.93,3.82,91.28,272,26,91.28,90,14,86.54,19,1,95.00,182,12,93.81,17,0,100.00,382,22,94.55,17,2,89.47,20.08,92.50,1.126,112,28,0,15,100.00,255,42,4,98.46
Martin Pospisil,CGY,C,81,68.15,1,3,1,2,4,57.14,10,10.00,2.66,18,17,15,10,0,0,2,1,1,0,0,1,0,1,0,2,0,0,0,-,105,9,92.11,79,8,90.80,57,8,87.69,7,2,77.78,8.22,0.56,93.66,60,5,92.31,25,1,96.15,2,1,66.67,35,4,89.74,4,1,80.00,63,2,96.92,1,0,100.00,12.28,75.00,0.873,29,10,2,38,93.55,50,14,2,96.15
Mason Appleton,WPG,C,71,16.033333333333,0,1,1,0,1,50.00,1,0.00,0.03,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,-,23,4,85.19,19,3,86.36,10,3,76.92,2,1,66.67,2.13,0.14,93.67,12,2,85.71,9,0,100.00,0,0,-,3,2,60.00,0,0,-,16,3,84.21,2,1,66.67,20.00,66.67,0.867,7,1,1,27,87.50,10,3,1,90.91
Mason Lohrei,BOS,D,77,163.68333333333,1,15,5,10,16,72.73,19,5.26,1.52,45,28,12,2,0,3,2,1,1,0,0,0,8,4,2,1,3,0,0,-,263,58,81.93,201,55,78.52,144,41,77.84,22,8,73.33,23.11,5.15,81.79,142,30,82.56,73,17,81.11,15,4,78.95,69,13,84.15,5,2,71.43,183,15,92.42,2,1,66.67,15.28,80.49,0.958,70,11,3,70,95.89,126,15,9,93.33
Mason Marchment,DAL,LW,62,120.88333333333,5,5,3,2,10,62.50,26,19.23,5.83,56,45,42,23,0,6,4,2,2,0,0,0,6,1,2,7,0,1,4,20.00,216,28,88.52,162,27,85.71,100,21,82.64,16,2,88.89,17.27,1.63,91.36,123,13,90.44,57,6,90.48,4,1,80.00,66,7,90.41,7,1,87.50,124,12,91.18,5,0,100.00,16.00,90.48,1.065,50,13,3,91,94.34,74,20,8,90.24
