Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,HDCF,HDCA,HDCF%,HDGF,HDGA,HDGF%,MDCF,MDCA,MDCF%,MDGF,MDGA,MDGF%,LDCF,LDCA,LDCF%,LDGF,LDGA,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts,Neu. Zone Starts,Def. Zone Starts,On The Fly Starts,Off. Zone Start %,Off. Zone Faceoffs,Neu. Zone Faceoffs,Def. Zone Faceoffs,Off. Zone Faceoff %
A.J. Greer,NJD,LW,9,70.7,1,1,0,1,2,66.67,14,7.14,1.2,20,16,12,6,1,0,2,1,1,0,0,6,4,0,20,11,0,2,1,66.67,72,54,57.14,58,43,57.43,40,29,57.97,3,3,50.00,3.25,2.15,60.25,35,28,55.56,13,11,54.17,2,1,66.67,22,17,56.41,1,1,50.00,44,23,65.67,0,1,0.00,7.50,89.66,0.972,16,13,20,62,44.44,28,15,23,54.90
Aaron Ekblad,FLA,D,61,1519.7,15,42,13,29,57,45.60,180,8.33,10.78,317,233,101,26,8,25,26,13,13,0,0,9,73,43,62,54,66,0,0,-,1696,1251,57.55,1285,933,57.94,973,742,56.73,125,72,63.45,101.86,74.22,57.85,922,647,58.76,381,289,56.87,64,42,60.38,541,358,60.18,37,18,67.27,707,527,57.29,20,9,68.97,12.85,90.30,1.031,366,332,297,835,55.20,718,471,522,57.90
Adam Beckman,MIN,LW,3,31.233333333333,0,1,0,1,1,50.00,4,0.00,0.08,6,4,0,0,0,1,2,1,1,0,0,0,2,1,1,3,1,0,0,-,40,31,56.34,25,23,52.08,22,18,55.00,2,2,50.00,1.33,1.18,52.87,18,13,58.06,4,4,50.00,1,1,50.00,14,9,60.87,1,1,50.00,20,17,54.05,0,0,-,9.09,88.89,0.980,5,5,1,34,83.33,8,7,11,42.11
Adam Boqvist,CBJ,D,52,886.38333333333,11,11,4,7,22,44.00,64,17.19,5.14,130,91,56,11,2,6,12,6,6,0,0,7,28,11,26,51,47,0,0,-,882,851,50.89,667,681,49.48,484,510,48.69,50,53,48.54,41.38,48.6,45.99,439,428,50.63,135,182,42.59,19,25,43.18,304,246,55.27,20,15,57.14,414,373,52.60,11,11,50.00,10.33,89.61,0.999,187,162,92,675,67.03,359,229,201,64.11
Adam Brooks,"MTL, VGK, WPG",C,25,223.7,2,1,1,0,3,60.00,14,14.29,1.68,21,18,15,10,0,0,2,1,1,0,0,1,3,3,11,22,6,23,34,40.35,176,212,45.36,129,156,45.26,96,106,47.52,5,3,62.50,7.56,9.4,44.59,84,99,45.90,32,43,42.67,2,3,40.00,52,56,48.15,2,0,100.00,77,100,43.50,1,0,100.00,5.21,97.17,1.024,28,54,20,209,58.33,49,69,52,48.51
Adam Erne,DET,LW,79,1057.3666666667,6,13,9,4,19,54.29,108,5.56,9.97,176,139,110,50,1,12,34,14,12,2,0,15,20,24,161,73,36,34,31,52.31,818,1013,44.68,616,757,44.87,462,563,45.07,35,55,38.89,43.57,47.9,47.64,444,491,47.49,199,215,48.07,17,26,39.53,245,276,47.02,12,14,46.15,329,464,41.49,6,9,40.00,7.58,90.23,0.978,186,282,176,763,51.38,301,356,354,45.95
Adam Fox,NYR,D,78,1864.7666666667,11,63,33,30,74,58.27,158,6.96,8.36,275,197,88,13,4,18,26,13,13,0,0,18,58,78,30,107,118,0,0,-,1802,1641,52.34,1402,1230,53.27,1019,866,54.06,127,77,62.25,106.29,86.1,55.25,964,869,52.59,419,345,54.84,76,42,64.41,545,524,50.98,27,21,56.25,796,715,52.68,19,13,59.38,12.46,91.11,1.036,336,308,303,1244,52.58,744,475,566,56.79
Adam Gaudette,"CHI, OTT",C,58,656.53333333333,5,9,5,4,14,66.67,94,5.32,8.5,162,126,89,29,3,8,17,7,6,1,0,7,17,21,72,40,10,56,71,44.09,581,573,50.35,447,450,49.83,325,346,48.44,21,26,44.68,27.69,29.94,48.05,286,302,48.64,108,130,45.38,12,15,44.44,178,172,50.86,5,11,31.25,261,230,53.16,4,0,100.00,6.46,92.49,0.989,131,126,70,568,65.17,206,172,153,57.38
Adam Henrique,ANA,C,58,1010.3333333333,19,23,15,8,42,59.15,141,13.48,18.46,233,194,169,88,10,20,14,7,7,0,0,6,20,18,22,43,42,276,221,55.53,1067,879,54.83,796,687,53.67,575,492,53.89,71,54,56.80,59.19,47.08,55.70,554,435,56.02,226,164,57.95,36,27,57.14,328,271,54.76,17,16,51.52,466,385,54.76,15,9,62.50,12.35,89.02,1.014,226,231,197,651,53.43,372,302,345,51.88
Adam Larsson,SEA,D,82,1826.7833333333,8,17,10,7,25,37.31,119,6.72,4.4,260,174,68,9,2,11,55,25,24,1,0,8,35,23,183,88,128,0,0,-,1421,1764,44.62,1039,1338,43.71,725,961,43.00,67,121,35.64,61.13,91.31,40.10,657,910,41.93,252,375,40.19,31,64,32.63,405,535,43.09,20,40,33.33,669,800,45.54,14,17,45.16,9.24,87.41,0.967,183,358,358,1215,33.83,481,539,765,38.60
Adam Lowry,WPG,"C, LW",79,1222.95,13,8,6,2,21,52.50,115,11.30,17.13,194,163,138,78,2,17,59,15,7,7,1,23,23,39,231,100,37,564,500,53.01,1013,1274,44.29,778,986,44.10,558,731,43.29,40,63,38.83,57.1,68.17,45.58,533,645,45.25,221,268,45.19,21,35,37.50,312,377,45.28,10,13,43.48,421,575,42.27,4,15,21.05,7.17,91.38,0.986,155,295,332,962,31.83,271,385,535,33.62
Adam Pelech,NYI,D,78,1660.05,3,25,10,15,28,38.36,104,2.88,5.6,225,137,70,14,2,17,40,16,15,0,1,4,48,49,99,120,121,0,0,-,1385,1642,45.75,1058,1216,46.53,783,901,46.50,73,72,50.34,70.61,81.08,46.55,719,874,45.13,295,320,47.97,32,36,47.06,424,554,43.35,22,22,50.00,579,727,44.33,13,14,48.15,9.32,92.01,1.013,159,322,376,1230,29.72,390,479,680,36.45
Adam Raska,SJS,RW,5,40.283333333333,0,0,0,0,0,0.00,2,0.00,0.59,7,6,6,2,0,1,7,2,1,1,0,4,2,0,15,11,0,0,0,-,36,31,53.73,27,23,54.00,17,18,48.57,1,0,100.00,2.11,1.34,61.20,21,14,60.00,9,3,75.00,1,0,100.00,12,11,52.17,0,0,-,16,17,48.48,0,0,-,5.88,100.00,1.059,7,7,0,48,100.00,8,8,2,80.00
Adam Ruzicka,CGY,C,28,286.26666666667,5,5,4,1,10,71.43,33,15.15,3.22,58,45,37,16,2,5,8,4,4,0,0,3,11,6,24,23,8,103,120,46.19,289,227,56.01,224,182,55.17,160,123,56.54,14,6,70.00,11.09,11.46,49.17,127,105,54.74,42,46,47.73,5,4,55.56,85,59,59.03,6,1,85.71,149,104,58.89,3,0,100.00,8.75,95.12,1.039,59,46,34,305,63.44,108,69,67,61.71
Adrian Kempe,LAK,"C, LW",78,1449.5333333333,35,19,8,11,54,67.50,247,14.17,28.1,443,331,240,96,22,33,46,22,22,0,0,26,43,34,111,66,9,25,25,50.00,1625,1236,56.80,1227,945,56.49,908,702,56.40,80,74,51.95,90.09,75.8,54.30,827,680,54.88,318,295,51.88,39,42,48.15,509,385,56.94,19,20,48.72,941,604,60.91,16,9,64.00,8.81,89.46,0.983,333,254,284,1002,53.97,593,364,475,55.52
Alec Martinez,VGK,D,26,508.05,3,5,1,4,8,33.33,32,9.38,1.33,69,45,16,2,2,1,4,2,2,0,0,2,19,8,26,43,64,0,0,-,509,519,49.51,381,362,51.28,281,278,50.27,24,23,51.06,27.32,24.8,52.42,252,279,47.46,115,99,53.74,11,11,50.00,137,180,43.22,6,7,46.15,234,200,53.92,6,4,60.00,8.54,91.73,1.003,67,91,77,388,46.53,170,156,134,55.92
Alec Regula,CHI,D,15,268.18333333333,1,0,0,0,1,8.33,18,5.56,0.73,41,24,8,1,1,1,12,6,6,0,0,5,13,8,21,30,21,0,0,-,218,267,44.95,157,201,43.85,122,147,45.35,12,13,48.00,9.74,12.1,44.60,102,116,46.79,37,41,47.44,8,6,57.14,65,75,46.43,3,4,42.86,100,130,43.48,1,2,33.33,9.84,91.16,1.010,17,52,45,234,27.42,47,81,84,35.88
Aleksander Barkov,FLA,C,67,1360.3166666667,39,49,26,23,88,69.84,214,18.22,24.54,340,274,224,99,7,23,18,9,9,0,0,8,51,59,50,72,40,713,539,56.95,1615,1087,59.77,1239,851,59.28,942,635,59.73,126,66,65.63,97.73,66.49,59.51,898,573,61.05,359,244,59.54,64,31,67.37,539,329,62.10,37,22,62.71,654,450,59.24,25,10,71.43,13.38,89.61,1.030,281,284,268,726,51.18,595,413,493,54.69
Aleksi Heponiemi,FLA,C,6,84.166666666667,0,1,0,1,1,100.00,7,0.00,0.56,8,8,6,3,0,0,2,1,1,0,0,0,3,3,0,5,0,2,4,33.33,90,71,55.90,71,55,56.35,53,46,53.54,1,6,14.29,4.16,3.71,52.85,50,39,56.18,20,16,55.56,1,2,33.33,30,23,56.60,0,3,0.00,38,30,55.88,0,1,0.00,1.89,86.96,0.888,12,17,11,73,52.17,32,25,24,57.14
Alex Barre-Boulet,"SEA, TBL",C,16,176.03333333333,3,3,3,0,6,66.67,16,18.75,2,28,21,20,7,2,2,4,2,2,0,0,4,3,4,10,6,3,6,9,40.00,153,164,48.26,109,127,46.19,75,99,43.10,9,7,56.25,7.1,7.66,48.09,87,83,51.18,28,33,45.90,5,3,62.50,59,50,54.13,1,2,33.33,69,78,46.94,3,2,60.00,12.00,92.93,1.049,43,37,14,146,75.44,65,43,38,63.11
Alex Belzile,MTL,RW,11,114.31666666667,0,0,0,0,0,0.00,13,0.00,1.14,19,14,9,2,0,1,4,2,2,0,0,2,5,3,17,12,4,7,11,38.89,90,92,49.45,68,77,46.90,57,56,50.44,3,4,42.86,4.18,4.88,46.15,43,46,48.31,17,18,48.57,0,1,0.00,26,28,48.15,2,3,40.00,39,41,48.75,1,0,100.00,5.26,92.86,0.981,16,29,14,113,53.33,24,44,30,44.44
Alex Biega,TOR,D,2,26.233333333333,0,0,0,0,0,-,2,0.00,0.03,4,3,0,0,0,0,0,0,0,0,0,1,1,0,5,2,1,0,0,-,21,22,48.84,18,16,52.94,13,12,52.00,0,2,0.00,1.01,0.88,53.34,12,12,50.00,5,3,62.50,0,2,0.00,7,9,43.75,0,0,-,8,8,50.00,0,0,-,0.00,83.33,0.833,5,5,1,27,83.33,10,5,4,71.43
Alex Chiasson,VAN,RW,67,778.88333333333,13,9,7,2,22,48.89,98,13.27,11.91,140,117,101,56,5,12,24,8,7,0,1,10,10,7,68,81,18,10,13,43.48,821,622,56.90,609,468,56.55,448,340,56.85,45,24,65.22,41.8,31.02,57.40,417,318,56.73,146,131,52.71,24,14,63.16,271,187,59.17,15,5,75.00,361,254,58.70,6,3,66.67,10.04,92.94,1.030,192,148,96,652,66.67,315,198,187,62.75
Alex DeBrincat,CHI,LW,82,1710.2166666667,41,37,19,18,78,69.03,270,15.19,31.03,470,354,296,87,21,26,19,8,7,1,0,24,47,67,101,115,33,24,40,37.50,1772,1410,55.69,1320,1050,55.70,1024,779,56.79,113,94,54.59,97.21,74.61,56.58,920,711,56.41,337,247,57.71,58,38,60.42,583,464,55.68,36,36,50.00,792,611,56.45,17,12,58.62,11.04,87.93,0.990,384,258,113,1140,77.26,798,412,270,74.72
Alex Formenton,OTT,LW,79,1220.6833333333,18,14,8,6,32,76.19,162,11.11,19.18,256,209,173,93,13,20,59,21,17,3,1,20,25,44,101,69,24,8,12,40.00,1032,1270,44.83,798,973,45.06,586,711,45.18,42,72,36.84,54.81,70.98,43.57,538,696,43.60,224,281,44.36,27,36,42.86,314,415,43.07,10,27,27.03,436,514,45.89,3,9,25.00,7.17,89.87,0.970,199,210,192,1037,50.90,350,299,373,48.41
Alex Galchenyuk,ARI,C,60,789.21666666667,6,15,7,8,21,61.76,89,6.74,9.55,145,122,93,47,4,13,32,16,16,0,0,4,28,18,67,63,20,214,195,52.32,633,837,43.06,487,662,42.38,356,483,42.43,34,44,43.59,32.39,44.61,42.07,331,442,42.82,149,196,43.19,17,22,43.59,182,246,42.52,8,16,33.33,270,357,43.06,9,5,64.29,9.55,90.89,1.004,126,136,117,709,51.85,215,199,218,49.65
