Season,Player,Team,Position,all_rank,evs_rank,gpk_rank,ldg_rank,mdg_rank,hdg_rank,Role,GP,SV%,GAA,xG Against,Goals Against,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Contract Years,Cap Hit
2018-2019,Brian Elliott,PHI,G,34.0,22.0,61.0,18.0,35.0,50.0,Backup,26,0.907,2.96,65.7,69,40,1985-04-09,CAN,CAN,74,221,2003,9,30,291,,
2018-2019,Calvin Pickard,"ARI, PHI",G,66.0,65.0,65.0,39.0,64.0,66.0,Backup,17,0.875,3.86,34.88,48,33,1992-04-15,CAN,CAN,73,210,2010,2,19,49,,
2018-2019,Cam Talbot,"EDM, PHI",G,48.0,39.0,62.0,54.0,41.0,52.0,1B,35,0.892,3.4,88.06,108,38,1987-07-05,CAN,CAN,76,201,-,-,-,-,,
2018-2019,Cam Ward,CHI,G,49.0,27.0,64.0,49.0,48.0,37.0,1B,33,0.897,3.67,99.34,115,41,1984-02-29,CAN,CAN,73,194,2002,1,25,25,,
2018-2019,Carey Price,MTL,G,37.0,41.0,19.0,19.0,46.0,31.0,Starter,66,0.918,2.49,157.87,161,37,1987-08-16,CAN,CAN,75,217,2005,1,5,5,,
2018-2019,Carter Hart,PHI,G,52.0,62.0,28.0,52.0,58.0,41.0,Backup,31,0.917,2.83,75.94,81,26,1998-08-13,CAN,CAN,74,181,2016,2,18,48,,
2018-2019,Carter Hutton,BUF,G,19.0,29.0,7.0,1.0,29.0,30.0,Starter,50,0.908,3.0,123.41,142,39,1985-12-19,CAN,CAN,72,211,-,-,-,-,,
2018-2019,Casey DeSmith,PIT,G,44.0,36.0,47.0,26.0,55.0,51.0,1B,36,0.916,2.75,88.68,89,33,1991-08-13,USA,USA,72,181,-,-,-,-,,
2018-2019,Chad Johnson,"ANA, STL",G,65.0,66.0,34.0,16.0,63.0,63.0,Backup,19,0.879,3.63,35.96,49,39,1986-06-10,CAN,CAN,75,197,2006,5,2,125,,
2018-2019,Collin Delia,CHI,G,51.0,33.0,54.0,64.0,59.0,21.0,Backup,16,0.908,3.61,46.82,50,31,1994-06-20,USA,USA,74,208,-,-,-,-,,
2018-2019,Connor Hellebuyck,WPG,G,27.0,35.0,15.0,25.0,15.0,39.0,Starter,63,0.913,2.9,167.85,179,32,1993-05-19,USA,USA,76,216,2012,5,9,130,,
2018-2019,Corey Crawford,CHI,G,7.0,15.0,3.0,35.0,24.0,3.0,1B,39,0.908,2.93,106.04,108,40,1984-12-31,CAN,CAN,74,216,2003,2,22,52,,
2018-2019,Cory Schneider,NJD,G,47.0,51.0,16.0,38.0,45.0,35.0,Backup,26,0.903,3.11,59.39,70,39,1986-03-18,USA,USA,75,214,2004,1,26,26,,
2018-2019,Craig Anderson,OTT,G,55.0,61.0,26.0,29.0,56.0,48.0,Starter,50,0.903,3.51,136.83,163,44,1981-05-21,USA,USA,74,187,2001,3,10,73,,
2018-2019,Curtis McElhinney,CAR,G,5.0,3.0,44.0,5.0,18.0,12.0,1B,33,0.912,2.58,90.19,85,42,1983-05-23,CAN,CAN,74,210,2002,6,10,176,,
2018-2019,Darcy Kuemper,ARI,G,14.0,24.0,1.0,43.0,19.0,8.0,Starter,55,0.925,2.33,133.68,126,35,1990-05-05,CAN,CAN,77,215,2009,6,10,161,,
2018-2019,David Rittich,CGY,G,46.0,34.0,50.0,65.0,42.0,32.0,1A,45,0.911,2.61,105.48,109,32,1992-08-19,CZE,CZE,76,205,-,-,-,-,,
2018-2019,Devan Dubnyk,MIN,G,38.0,45.0,25.0,31.0,40.0,28.0,Starter,67,0.913,2.54,142.36,163,39,1986-05-04,CAN,CAN,78,224,2004,1,14,14,,
2018-2019,Frederik Andersen,TOR,G,15.0,11.0,21.0,4.0,9.0,46.0,Starter,60,0.917,2.77,165.69,162,35,1989-10-02,DNK,DNK,76,238,2012,3,26,87,,
2018-2019,Garret Sparks,TOR,G,64.0,63.0,53.0,66.0,62.0,45.0,Backup,20,0.902,3.15,46.96,58,32,1993-06-28,USA,USA,75,220,2011,7,9,190,,
2018-2019,Henrik Lundqvist,NYR,G,29.0,28.0,38.0,28.0,47.0,17.0,Starter,52,0.907,3.07,147.11,158,43,1982-03-02,SWE,SWE,73,182,2000,7,8,205,,
2018-2019,Jack Campbell,LAK,G,20.0,30.0,24.0,20.0,31.0,54.0,Backup,31,0.928,2.3,71.25,61,33,1992-01-09,USA,USA,75,207,2010,1,11,11,,
2018-2019,Jacob Markstrom,VAN,G,23.0,25.0,27.0,37.0,17.0,19.0,Starter,60,0.912,2.77,163.74,166,35,1990-01-31,SWE,SWE,78,207,2008,2,1,31,,
2018-2019,Jake Allen,STL,G,41.0,42.0,31.0,42.0,14.0,55.0,1A,46,0.905,2.83,109.65,121,34,1990-08-07,CAN,CAN,74,195,2008,2,4,34,,
2018-2019,James Reimer,FLA,G,42.0,46.0,30.0,9.0,34.0,58.0,1B,36,0.9,3.09,78.16,93,37,1988-03-15,CAN,CAN,75,205,2006,4,6,99,,
2018-2019,Jaroslav Halak,BOS,G,11.0,5.0,45.0,62.0,1.0,7.0,1B,40,0.922,2.34,98.95,90,40,1985-05-13,SVK,SVK,71,189,2003,9,10,271,,
2018-2019,Jimmy Howard,DET,G,22.0,20.0,36.0,58.0,11.0,23.0,Starter,55,0.909,3.07,153.99,156,41,1984-03-26,USA,USA,73,218,2003,2,34,64,,
2018-2019,John Gibson,ANA,G,1.0,1.0,4.0,2.0,8.0,4.0,Starter,58,0.917,2.84,177.71,153,31,1993-07-14,USA,USA,74,210,2011,2,9,39,,
2018-2019,Jonathan Bernier,DET,G,36.0,40.0,2.0,53.0,25.0,33.0,1B,35,0.904,3.16,89.33,98,36,1988-08-07,CAN,CAN,72,185,2006,1,11,11,,
2018-2019,Jonathan Quick,LAK,G,40.0,43.0,29.0,51.0,37.0,49.0,1A,46,0.888,3.38,116.64,149,39,1986-01-21,USA,USA,73,220,2005,3,11,72,,
2018-2019,Joonas Korpisalo,CBJ,G,56.0,57.0,35.0,57.0,38.0,53.0,Backup,27,0.897,2.95,54.21,67,31,1994-04-28,FIN,FIN,75,193,2012,3,1,62,,
2018-2019,Jordan Binnington,STL,G,21.0,17.0,49.0,61.0,21.0,20.0,Backup,32,0.927,1.89,66.6,59,31,1993-07-11,CAN,CAN,74,172,2011,3,27,88,,
2018-2019,Juuse Saros,NSH,G,3.0,7.0,10.0,45.0,5.0,6.0,Backup,31,0.915,2.62,77.26,74,30,1995-04-19,FIN,FIN,71,180,2013,4,8,99,,
2018-2019,Keith Kinkaid,NJD,G,50.0,53.0,18.0,63.0,16.0,57.0,1B,41,0.891,3.36,103.37,129,36,1989-07-04,USA,USA,74,195,-,-,-,-,,
2018-2019,Laurent Brossoit,WPG,G,25.0,10.0,46.0,44.0,51.0,11.0,Backup,21,0.925,2.52,58.85,49,32,1993-03-23,CAN,CAN,75,215,2011,6,13,164,,
2018-2019,Linus Ullmark,BUF,G,63.0,60.0,63.0,60.0,61.0,56.0,1B,37,0.905,3.11,89.73,109,31,1993-07-31,SWE,SWE,77,212,2012,6,12,163,,
2018-2019,Louis Domingue,TBL,G,53.0,49.0,43.0,30.0,52.0,40.0,Backup,26,0.908,2.88,64.45,75,33,1992-03-06,CAN,CAN,75,208,2010,5,18,138,,
2018-2019,Mackenzie Blackwood,NJD,G,45.0,47.0,42.0,8.0,44.0,62.0,Backup,23,0.918,2.61,54.56,55,28,1996-12-09,CAN,CAN,76,225,2015,2,12,42,,
2018-2019,Malcolm Subban,VGK,G,54.0,52.0,57.0,55.0,53.0,38.0,Backup,21,0.902,2.93,47.74,60,31,1993-12-21,CAN,CAN,74,215,2012,1,24,24,,
2018-2019,Marc-Andre Fleury,VGK,G,13.0,23.0,12.0,10.0,3.0,36.0,Starter,61,0.913,2.51,152.41,152,40,1984-11-28,CAN,CAN,74,185,2003,1,1,1,,
2018-2019,Martin Jones,SJS,G,32.0,55.0,5.0,40.0,23.0,34.0,Starter,62,0.896,2.95,155.42,176,35,1990-01-10,CAN,CAN,76,203,-,-,-,-,,
2018-2019,Matt Murray,PIT,G,18.0,16.0,37.0,13.0,36.0,9.0,Starter,50,0.919,2.69,129.49,129,31,1994-05-25,CAN,CAN,77,203,2012,3,22,83,,
2018-2019,Mike Smith,CGY,G,28.0,38.0,23.0,50.0,27.0,22.0,1A,42,0.898,2.72,97.12,109,43,1982-03-22,CAN,CAN,77,220,2001,5,30,161,,
2018-2019,Mikko Koskinen,EDM,G,59.0,56.0,59.0,59.0,54.0,59.0,Starter,55,0.906,2.93,136.01,146,36,1988-07-18,FIN,FIN,79,202,2009,2,1,31,,
2018-2019,Pekka Rinne,NSH,G,9.0,6.0,41.0,22.0,13.0,5.0,Starter,56,0.918,2.42,134.26,130,42,1982-11-03,FIN,FIN,77,217,2004,8,31,258,,
2018-2019,Petr Mrazek,CAR,G,35.0,21.0,55.0,48.0,20.0,44.0,1B,40,0.914,2.39,98.66,95,33,1992-02-14,CZE,CZE,74,188,2010,5,21,141,,
2018-2019,Pheonix Copley,WSH,G,58.0,54.0,52.0,33.0,65.0,43.0,Backup,27,0.905,2.9,70.05,74,33,1992-01-18,USA,USA,76,200,-,-,-,-,,
2018-2019,Philipp Grubauer,COL,G,6.0,4.0,11.0,17.0,6.0,14.0,1B,37,0.917,2.64,87.57,89,33,1991-11-25,DEU,DEU,73,188,2010,4,22,112,,
2018-2019,Roberto Luongo,FLA,G,30.0,44.0,9.0,21.0,39.0,27.0,1A,43,0.899,3.12,104.64,122,46,1979-04-04,CAN,CAN,75,215,1997,1,4,4,,
2018-2019,Robin Lehner,NYI,G,10.0,13.0,6.0,14.0,10.0,18.0,1A,46,0.93,2.13,113.91,93,33,1991-07-24,SWE,SWE,76,250,2009,2,16,46,,
2018-2019,Ryan Miller,ANA,G,4.0,2.0,33.0,24.0,4.0,10.0,Backup,20,0.912,2.76,52.91,51,44,1980-07-17,USA,USA,75,170,1999,5,12,138,,
2018-2019,Semyon Varlamov,COL,G,33.0,32.0,22.0,41.0,30.0,29.0,1A,49,0.909,2.87,125.14,136,37,1988-04-27,RUS,RUS,74,206,2006,1,23,23,,
2018-2019,Sergei Bobrovsky,CBJ,G,8.0,9.0,32.0,32.0,26.0,2.0,Starter,62,0.913,2.58,146.78,153,36,1988-09-20,RUS,RUS,74,182,-,-,-,-,,
2018-2019,Thomas Greiss,NYI,G,26.0,18.0,60.0,27.0,7.0,42.0,1A,43,0.927,2.28,99.19,87,39,1986-01-29,DEU,DEU,74,219,2004,3,29,94,,
2018-2019,Tuukka Rask,BOS,G,24.0,26.0,14.0,34.0,12.0,24.0,1A,46,0.912,2.48,101.86,109,38,1987-03-10,FIN,FIN,75,176,2005,1,21,21,,
