Season,Player,Team,Position,all_rank,evs_rank,gpk_rank,ldg_rank,mdg_rank,hdg_rank,Role,GP,SV%,GAA,xG Against,Goals Against,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Contract Years,Cap Hit
2018-2019,Aaron Dell,SJS,G,43.0,37.0,39.0,6.0,33.0,61.0,Backup,25,0.886,3.17,57.78,70,36,1989-05-04,CAN,CAN,72,213,-,-,-,-,,
2018-2019,Adin Hill,ARI,G,57.0,64.0,58.0,47.0,43.0,65.0,Backup,13,0.901,2.76,30.68,32,29,1996-05-11,CAN,CAN,76,215,2015,3,15,76,,
2018-2019,Alex Stalock,MIN,G,60.0,59.0,56.0,15.0,57.0,64.0,Backup,21,0.899,2.99,43.31,53,37,1987-07-28,USA,USA,71,170,2005,4,21,112,,
2018-2019,Alexandar Georgiev,NYR,G,31.0,50.0,13.0,46.0,50.0,25.0,1B,33,0.914,2.91,96.33,91,29,1996-02-10,RUS,RUS,73,178,-,-,-,-,,
2018-2019,Anders Nilsson,"OTT, VAN",G,39.0,31.0,48.0,11.0,49.0,26.0,1B,36,0.908,2.99,90.1,101,35,1990-03-19,SWE,SWE,78,232,2009,3,1,62,,
2018-2019,Andrei Vasilevskiy,TBL,G,12.0,14.0,17.0,12.0,2.0,15.0,Starter,53,0.925,2.4,132.93,128,30,1994-07-25,RUS,RUS,76,220,2012,1,19,19,,
2018-2019,Anthony Stolarz,"EDM, PHI",G,61.0,48.0,51.0,56.0,66.0,13.0,Backup,18,0.901,3.45,41.11,50,31,1994-01-20,USA,USA,78,243,2012,2,15,45,,
2018-2019,Anton Khudobin,DAL,G,16.0,19.0,20.0,7.0,28.0,16.0,1B,41,0.923,2.57,100.41,95,39,1986-05-07,KAZ,RUS,71,210,2004,7,13,206,,
2018-2019,Antti Niemi,MTL,G,62.0,58.0,66.0,23.0,60.0,60.0,Backup,17,0.887,3.78,42.93,61,41,1983-08-29,FIN,FIN,74,209,-,-,-,-,,
2018-2019,Ben Bishop,DAL,G,2.0,8.0,8.0,36.0,32.0,1.0,1A,46,0.934,1.98,108.12,87,38,1986-11-21,USA,USA,79,210,2005,3,24,85,,
2018-2019,Braden Holtby,WSH,G,17.0,12.0,40.0,3.0,22.0,47.0,Starter,59,0.911,2.82,166.87,160,35,1989-09-16,CAN,CAN,73,215,2008,4,2,93,,
