Season,Player,Team,Position,all_rank,evs_rank,gpk_rank,ldg_rank,mdg_rank,hdg_rank,Role,GP,SV%,GAA,xG Against,Goals Against,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Contract Years,Cap Hit
2015-2016,Al Montoya,FLA,G,46.0,55.0,22.0,12.0,60.0,38.0,Backup,25,0.919,2.18,52.32,49,40,1985-02-13,USA,USA,74,200,2004,1,6,6,,
2015-2016,Alex Stalock,SJS,G,62.0,64.0,39.0,28.0,58.0,56.0,Backup,13,0.884,2.94,24.41,33,37,1987-07-28,USA,USA,71,170,2005,4,21,112,,
2015-2016,Anders Lindback,ARI,G,67.0,63.0,60.0,67.0,33.0,59.0,Backup,19,0.894,3.11,36.8,47,37,1988-05-03,SWE,SWE,78,215,2008,7,26,207,,
2015-2016,Anders Nilsson,"EDM, STL",G,61.0,52.0,58.0,66.0,32.0,60.0,Backup,29,0.901,3.12,69.23,78,35,1990-03-19,SWE,SWE,78,232,2009,3,1,62,,
2015-2016,Andrei Vasilevskiy,TBL,G,52.0,41.0,57.0,68.0,66.0,6.0,Backup,24,0.91,2.76,50.18,58,30,1994-07-25,RUS,RUS,76,220,2012,1,19,19,,
2015-2016,Andrew Hammond,OTT,G,19.0,2.0,65.0,54.0,43.0,13.0,Backup,24,0.914,2.65,60.88,61,37,1988-02-11,CAN,CAN,74,215,-,-,-,-,,
2015-2016,Antti Niemi,DAL,G,42.0,34.0,46.0,34.0,30.0,48.0,1A,48,0.905,2.67,114.48,118,41,1983-08-29,FIN,FIN,74,209,-,-,-,-,,
2015-2016,Antti Raanta,NYR,G,5.0,9.0,8.0,10.0,52.0,1.0,Backup,25,0.919,2.24,49.42,43,36,1989-05-12,FIN,FIN,72,195,-,-,-,-,,
2015-2016,Ben Bishop,TBL,G,13.0,31.0,12.0,11.0,17.0,20.0,Starter,61,0.926,2.06,131.28,123,38,1986-11-21,USA,USA,79,210,2005,3,24,85,,
2015-2016,Ben Scrivens,MTL,G,65.0,44.0,47.0,26.0,16.0,66.0,Backup,15,0.906,3.07,36.07,42,38,1986-09-11,CAN,CAN,74,181,-,-,-,-,,
2015-2016,Braden Holtby,WSH,G,11.0,14.0,25.0,17.0,25.0,15.0,Starter,66,0.922,2.2,154.82,141,35,1989-09-16,CAN,CAN,73,215,2008,4,2,93,,
2015-2016,Brian Elliott,STL,G,1.0,8.0,7.0,49.0,1.0,7.0,1A,42,0.93,2.07,101.99,78,40,1985-04-09,CAN,CAN,74,221,2003,9,30,291,,
2015-2016,Calvin Pickard,COL,G,2.0,3.0,19.0,31.0,14.0,11.0,Backup,20,0.922,2.57,47.99,42,33,1992-04-15,CAN,CAN,73,210,2010,2,19,49,,
2015-2016,Cam Talbot,EDM,G,3.0,17.0,5.0,15.0,11.0,9.0,Starter,56,0.917,2.58,140.28,137,38,1987-07-05,CAN,CAN,76,201,-,-,-,-,,
2015-2016,Cam Ward,CAR,G,48.0,47.0,41.0,41.0,31.0,52.0,Starter,52,0.909,2.41,120.99,122,41,1984-02-29,CAN,CAN,73,194,2002,1,25,25,,
2015-2016,Carter Hutton,NSH,G,45.0,56.0,16.0,50.0,51.0,27.0,Backup,17,0.918,2.33,38.19,38,39,1985-12-19,CAN,CAN,72,211,-,-,-,-,,
2015-2016,Chad Johnson,BUF,G,43.0,45.0,50.0,23.0,49.0,41.0,1A,45,0.92,2.36,108.57,102,39,1986-06-10,CAN,CAN,75,197,2006,5,2,125,,
2015-2016,Connor Hellebuyck,WPG,G,31.0,10.0,67.0,60.0,47.0,36.0,Backup,26,0.918,2.34,62.67,56,32,1993-05-19,USA,USA,76,216,2012,5,9,130,,
2015-2016,Corey Crawford,CHI,G,8.0,7.0,28.0,8.0,24.0,8.0,Starter,58,0.924,2.37,148.83,131,40,1984-12-31,CAN,CAN,74,216,2003,2,22,52,,
2015-2016,Cory Schneider,NJD,G,6.0,13.0,10.0,29.0,19.0,4.0,Starter,58,0.924,2.15,137.23,122,39,1986-03-18,USA,USA,75,214,2004,1,26,26,,
2015-2016,Craig Anderson,OTT,G,36.0,26.0,49.0,7.0,38.0,44.0,Starter,60,0.916,2.78,154.52,161,44,1981-05-21,USA,USA,74,187,2001,3,10,73,,
2015-2016,Curtis McElhinney,CBJ,G,57.0,67.0,2.0,2.0,63.0,61.0,Backup,18,0.89,3.3,40.63,46,42,1983-05-23,CAN,CAN,74,210,2002,6,10,176,,
2015-2016,Darcy Kuemper,MIN,G,47.0,50.0,14.0,30.0,64.0,14.0,Backup,21,0.915,2.43,42.76,43,35,1990-05-05,CAN,CAN,77,215,2009,6,10,161,,
2015-2016,Devan Dubnyk,MIN,G,28.0,27.0,42.0,38.0,28.0,25.0,Starter,67,0.918,2.34,145.49,150,39,1986-05-04,CAN,CAN,78,224,2004,1,14,14,,
2015-2016,Eddie Lack,CAR,G,26.0,37.0,11.0,4.0,57.0,33.0,1B,34,0.901,2.81,86.29,90,37,1988-01-05,SWE,SWE,76,187,-,-,-,-,,
2015-2016,Frederik Andersen,ANA,G,16.0,21.0,15.0,44.0,8.0,28.0,1A,43,0.919,2.3,91.08,88,35,1989-10-02,DNK,DNK,76,238,2012,3,26,87,,
2015-2016,Garret Sparks,TOR,G,68.0,68.0,68.0,58.0,68.0,64.0,Backup,17,0.893,3.02,38.07,49,32,1993-06-28,USA,USA,75,220,2011,7,9,190,,
2015-2016,Henrik Lundqvist,NYR,G,4.0,1.0,45.0,5.0,10.0,29.0,Starter,65,0.92,2.48,179.18,156,43,1982-03-02,SWE,SWE,73,182,2000,7,8,205,,
2015-2016,Jacob Markstrom,VAN,G,55.0,61.0,24.0,61.0,61.0,40.0,Backup,32,0.915,2.73,88.27,84,35,1990-01-31,SWE,SWE,78,207,2008,2,1,31,,
2015-2016,Jake Allen,STL,G,33.0,39.0,27.0,53.0,7.0,46.0,1A,47,0.92,2.35,104.06,101,34,1990-08-07,CAN,CAN,74,195,2008,2,4,34,,
