Season,Player,Team,Position,all_rank,evs_rank,gpk_rank,ldg_rank,mdg_rank,hdg_rank,Role,GP,SV%,GAA,xG Against,Goals Against,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Contract Years,Cap Hit
2022-2023,Adin Hill,VGK,G,27.0,29.0,26.0,12.0,44.0,24.0,Backup,27,0.914,2.5,65.8,62,29,1996-05-11,CAN,CAN,76,215,2015,3,15,76,,
2022-2023,Akira Schmid,NJD,G,16.0,40.0,70.0,6.0,52.0,39.0,Backup,18,0.922,2.13,38.74,32,25,2000-05-12,CHE,CHE,77,205,2018,5,12,136,,
2022-2023,Alex Lyon,FLA,G,12.0,25.0,2.0,73.0,7.0,12.0,Backup,15,0.912,2.89,51.56,43,32,1992-12-09,USA,USA,73,201,-,-,-,-,,
2022-2023,Alex Nedeljkovic,DET,G,43.0,18.0,63.0,61.0,11.0,40.0,Backup,15,0.895,3.53,41.3,49,29,1996-01-07,USA,USA,72,208,2014,2,7,37,,
2022-2023,Alex Stalock,CHI,G,52.0,62.0,35.0,68.0,13.0,60.0,Backup,27,0.908,3.01,70.07,74,37,1987-07-28,USA,USA,71,170,2005,4,21,112,,
2022-2023,Alexandar Georgiev,COL,G,20.0,13.0,60.0,31.0,31.0,20.0,Starter,62,0.918,2.53,173.06,156,29,1996-02-10,RUS,RUS,73,178,-,-,-,-,,
2022-2023,Andrei Vasilevskiy,TBL,G,7.0,6.0,18.0,7.0,9.0,9.0,Starter,60,0.915,2.65,177.61,159,30,1994-07-25,RUS,RUS,76,220,2012,1,19,19,,
2022-2023,Anthony Stolarz,ANA,G,32.0,45.0,20.0,75.0,18.0,7.0,Backup,19,0.897,3.73,51.6,51,31,1994-01-20,USA,USA,78,243,2012,2,15,45,,
2022-2023,Anton Forsberg,OTT,G,34.0,42.0,25.0,47.0,34.0,43.0,Backup,28,0.902,3.26,81.63,80,32,1992-11-27,SWE,SWE,75,193,2011,7,7,188,,
2022-2023,Antti Raanta,CAR,G,13.0,10.0,19.0,13.0,35.0,14.0,Backup,27,0.910,2.23,60.8,58,36,1989-05-12,FIN,FIN,72,195,-,-,-,-,,
2022-2023,Arvid Soderblom,CHI,G,67.0,57.0,75.0,62.0,72.0,50.0,Backup,15,0.894,3.45,42.43,48,25,1999-08-19,SWE,SWE,75,180,-,-,-,-,,
2022-2023,Brian Elliott,TBL,G,51.0,50.0,65.0,55.0,49.0,38.0,Backup,22,0.891,3.4,67.12,75,40,1985-04-09,CAN,CAN,74,221,2003,9,30,291,,
2022-2023,Cam Talbot,OTT,G,40.0,53.0,27.0,25.0,39.0,48.0,1B,36,0.898,2.93,92.62,95,38,1987-07-05,CAN,CAN,76,201,-,-,-,-,,
2022-2023,Carter Hart,PHI,G,39.0,27.0,56.0,42.0,51.0,31.0,Starter,55,0.907,2.94,160.02,155,26,1998-08-13,CAN,CAN,74,181,2016,2,18,48,,
2022-2023,Casey DeSmith,PIT,G,17.0,17.0,43.0,30.0,24.0,22.0,1B,38,0.905,3.17,112.49,109,33,1991-08-13,USA,USA,72,181,-,-,-,-,,
2022-2023,Charlie Lindgren,WSH,G,61.0,67.0,36.0,71.0,22.0,67.0,Backup,31,0.899,3.05,80.5,86,31,1993-12-18,USA,USA,74,179,-,-,-,-,,
