Season,Player,Team,Position,all_rank,evs_rank,gpk_rank,ldg_rank,mdg_rank,hdg_rank,Role,GP,SV%,GAA,xG Against,Goals Against,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Contract Years,Cap Hit
2022-2023,Collin Delia,VAN,G,68.0,66.0,30.0,70.0,41.0,73.0,Backup,20,0.882,3.28,56.95,62,31,1994-06-20,USA,USA,74,208,-,-,-,-,,
2022-2023,Connor Hellebuyck,WPG,G,6.0,9.0,11.0,3.0,5.0,27.0,Starter,64,0.920,2.49,189.63,157,32,1993-05-19,USA,USA,76,216,2012,5,9,130,,
2022-2023,Connor Ingram,ARI,G,45.0,51.0,57.0,60.0,43.0,52.0,Backup,27,0.907,3.37,89.84,89,28,1997-03-31,CAN,CAN,74,196,2016,3,27,88,,
2022-2023,Craig Anderson,BUF,G,41.0,59.0,28.0,36.0,69.0,17.0,Backup,26,0.908,3.06,75.4,76,44,1981-05-21,USA,USA,74,187,2001,3,10,73,,
2022-2023,Dan Vladar,CGY,G,59.0,54.0,51.0,52.0,71.0,34.0,Backup,27,0.892,2.91,64.58,72,27,1997-08-20,CZE,CZE,77,209,2015,3,14,75,,
2022-2023,Daniil Tarasov,CBJ,G,72.0,71.0,66.0,66.0,62.0,72.0,Backup,17,0.892,3.91,48.93,57,26,1999-03-27,RUS,RUS,77,196,2017,3,24,86,,
2022-2023,Darcy Kuemper,WSH,G,11.0,20.0,5.0,22.0,15.0,25.0,Starter,57,0.908,2.87,163.61,154,35,1990-05-05,CAN,CAN,77,215,2009,6,10,161,,
2022-2023,David Rittich,WPG,G,60.0,49.0,55.0,67.0,28.0,51.0,Backup,21,0.901,2.67,45.75,50,32,1992-08-19,CZE,CZE,76,205,-,-,-,-,,
2022-2023,Elvis Merzlikins,CBJ,G,71.0,69.0,34.0,54.0,63.0,61.0,Backup,30,0.876,4.23,80.95,110,31,1994-04-13,LVA,LVA,75,183,2014,3,16,76,,
2022-2023,Eric Comrie,BUF,G,54.0,48.0,71.0,56.0,56.0,41.0,Backup,19,0.886,3.67,58.25,68,30,1995-07-06,CAN,CAN,73,183,2013,2,29,59,,
2022-2023,Felix Sandstrom,PHI,G,73.0,72.0,61.0,49.0,75.0,74.0,Backup,20,0.880,3.72,54.83,69,28,1997-01-12,SWE,SWE,74,191,2015,3,9,70,,
2022-2023,Filip Gustavsson,MIN,G,9.0,8.0,21.0,1.0,20.0,37.0,1B,39,0.931,2.1,102.82,81,27,1998-06-07,SWE,SWE,74,184,2016,2,25,55,,
2022-2023,Frederik Andersen,CAR,G,15.0,26.0,8.0,20.0,25.0,33.0,1B,34,0.903,2.48,80.78,82,35,1989-10-02,DNK,DNK,76,238,2012,3,26,87,,
2022-2023,Igor Shesterkin,NYR,G,2.0,1.0,10.0,11.0,12.0,1.0,Starter,58,0.916,2.48,167.43,144,29,1995-12-30,RUS,RUS,73,189,2014,4,28,118,,
2022-2023,Ilya Samsonov,TOR,G,23.0,22.0,15.0,23.0,55.0,11.0,1A,42,0.919,2.33,112.75,96,28,1997-02-22,RUS,RUS,75,214,2015,1,22,22,,
2022-2023,Ilya Sorokin,NYI,G,1.0,2.0,4.0,4.0,3.0,2.0,Starter,62,0.924,2.34,185.35,140,29,1995-08-04,RUS,RUS,75,195,2014,3,18,78,,
2022-2023,Jack Campbell,EDM,G,53.0,60.0,37.0,29.0,36.0,55.0,1B,36,0.888,3.41,93.33,115,33,1992-01-09,USA,USA,75,207,2010,1,11,11,,
2022-2023,Jacob Markstrom,CGY,G,30.0,37.0,14.0,19.0,50.0,23.0,Starter,59,0.892,2.92,155.78,166,35,1990-01-31,SWE,SWE,78,207,2008,2,1,31,,
2022-2023,Jake Allen,MTL,G,44.0,44.0,48.0,18.0,23.0,66.0,1A,42,0.891,3.55,133.08,145,34,1990-08-07,CAN,CAN,74,195,2008,2,4,34,,
2022-2023,Jake Oettinger,DAL,G,10.0,11.0,24.0,24.0,26.0,8.0,Starter,62,0.919,2.37,163.07,144,26,1998-12-18,USA,USA,77,220,2017,1,26,26,,
2022-2023,James Reimer,SJS,G,42.0,61.0,3.0,2.0,59.0,42.0,1A,43,0.890,3.48,131.53,147,37,1988-03-15,CAN,CAN,75,205,2006,4,6,99,,
2022-2023,Jaroslav Halak,NYR,G,31.0,36.0,17.0,35.0,33.0,28.0,Backup,25,0.903,2.72,68.44,66,40,1985-05-13,SVK,SVK,71,189,2003,9,10,271,,
2022-2023,Jeremy Swayman,BOS,G,5.0,5.0,13.0,5.0,27.0,3.0,1B,37,0.920,2.27,93.81,76,26,1998-11-24,USA,USA,74,194,2017,4,18,111,,
2022-2023,John Gibson,ANA,G,36.0,30.0,47.0,40.0,37.0,36.0,Starter,53,0.899,3.99,192.42,200,31,1993-07-14,USA,USA,74,210,2011,2,9,39,,
2022-2023,Jonathan Quick,"LAK, VGK",G,50.0,43.0,53.0,50.0,54.0,45.0,1B,41,0.882,3.41,104.81,127,39,1986-01-21,USA,USA,73,220,2005,3,11,72,,
2022-2023,Joonas Korpisalo,"CBJ, LAK",G,46.0,41.0,49.0,32.0,58.0,35.0,1B,39,0.914,2.85,114.16,104,31,1994-04-28,FIN,FIN,75,193,2012,3,1,62,,
2022-2023,Jordan Binnington,STL,G,38.0,32.0,52.0,45.0,29.0,47.0,Starter,61,0.894,3.3,184.93,194,31,1993-07-11,CAN,CAN,74,172,2011,3,27,88,,
2022-2023,Juuse Saros,NSH,G,4.0,3.0,7.0,14.0,4.0,5.0,Starter,64,0.919,2.69,206.55,171,30,1995-04-19,FIN,FIN,71,180,2013,4,8,99,,
2022-2023,Kaapo Kahkonen,SJS,G,65.0,64.0,33.0,21.0,65.0,56.0,1B,37,0.883,3.85,109.21,135,28,1996-08-16,FIN,FIN,74,217,2014,4,19,109,,
2022-2023,Karel Vejmelka,ARI,G,48.0,47.0,59.0,46.0,45.0,54.0,Starter,50,0.899,3.43,167.81,168,29,1996-05-25,CZE,CZE,76,224,2015,5,24,145,,
2022-2023,Kevin Lankinen,NSH,G,33.0,35.0,44.0,9.0,64.0,13.0,Backup,19,0.916,2.75,56.69,49,30,1995-04-28,FIN,FIN,74,190,-,-,-,-,,
2022-2023,Linus Ullmark,BOS,G,3.0,4.0,16.0,15.0,2.0,6.0,1A,49,0.938,1.89,126.68,91,31,1993-07-31,SWE,SWE,77,212,2012,6,12,163,,
2022-2023,Logan Thompson,VGK,G,29.0,28.0,50.0,51.0,38.0,15.0,1B,37,0.915,2.65,96.76,96,28,1997-02-25,CAN,CAN,76,205,-,-,-,-,,
2022-2023,Lukas Dostal,ANA,G,58.0,38.0,72.0,74.0,8.0,65.0,Backup,19,0.901,3.78,66.31,67,25,2000-06-22,CZE,CZE,74,174,2018,3,23,85,,
2022-2023,Mackenzie Blackwood,NJD,G,63.0,65.0,40.0,57.0,42.0,63.0,Backup,22,0.893,3.2,57.05,60,28,1996-12-09,CAN,CAN,76,225,2015,2,12,42,,
2022-2023,Mads Sogaard,OTT,G,69.0,74.0,23.0,59.0,73.0,58.0,Backup,19,0.889,3.32,50.34,58,24,2000-12-13,DNK,DNK,79,196,-,-,-,-,,
2022-2023,Magnus Hellberg,"DET, OTT",G,66.0,70.0,38.0,63.0,68.0,57.0,Backup,18,0.888,3.2,44.72,50,34,1991-04-04,SWE,SWE,78,220,2011,2,8,38,,
2022-2023,Marc-Andre Fleury,MIN,G,19.0,14.0,46.0,44.0,17.0,19.0,1A,46,0.908,2.85,125.35,126,40,1984-11-28,CAN,CAN,74,185,2003,1,1,1,,
2022-2023,Martin Jones,SEA,G,64.0,58.0,58.0,27.0,53.0,69.0,1A,48,0.886,2.99,114.92,131,35,1990-01-10,CAN,CAN,76,203,-,-,-,-,,
2022-2023,Matt Murray,TOR,G,37.0,39.0,32.0,8.0,61.0,32.0,Backup,26,0.903,3.01,71.93,74,31,1994-05-25,CAN,CAN,77,203,2012,3,22,83,,
2022-2023,Michael Hutchinson,CBJ,G,74.0,73.0,74.0,65.0,66.0,75.0,Backup,16,0.875,4.29,45.07,54,35,1990-03-02,CAN,CAN,75,201,2008,3,16,77,,
2022-2023,Pavel Francouz,COL,G,28.0,21.0,22.0,28.0,1.0,59.0,Backup,16,0.915,2.61,42.16,42,35,1990-06-03,CZE,CSK,72,179,-,-,-,-,,
2022-2023,Petr Mrazek,CHI,G,57.0,63.0,45.0,39.0,47.0,53.0,1B,39,0.894,3.66,120.95,132,33,1992-02-14,CZE,CZE,74,188,2010,5,21,141,,
2022-2023,Pheonix Copley,LAK,G,49.0,46.0,54.0,64.0,46.0,62.0,1B,37,0.903,2.64,95.05,92,33,1992-01-18,USA,USA,76,200,-,-,-,-,,
2022-2023,Philipp Grubauer,SEA,G,56.0,52.0,39.0,34.0,60.0,46.0,1B,39,0.895,2.85,95.44,98,33,1991-11-25,DEU,DEU,73,188,2010,4,22,112,,
2022-2023,Pyotr Kochetkov,CAR,G,26.0,55.0,1.0,53.0,67.0,4.0,Backup,24,0.909,2.44,64.26,57,26,1999-06-25,RUS,RUS,75,205,2019,2,5,36,,
2022-2023,Sam Montembeault,MTL,G,47.0,33.0,69.0,33.0,40.0,68.0,1B,40,0.901,3.42,141.3,133,28,1996-10-30,CAN,CAN,75,214,2015,3,16,77,,
2022-2023,Scott Wedgewood,DAL,G,14.0,15.0,29.0,43.0,10.0,18.0,Backup,21,0.915,2.72,55.12,51,32,1992-08-14,CAN,CAN,74,205,2010,3,24,84,,
2022-2023,Semyon Varlamov,NYI,G,8.0,12.0,6.0,17.0,16.0,10.0,Backup,23,0.913,2.7,65.78,60,37,1988-04-27,RUS,RUS,74,206,2006,1,23,23,,
2022-2023,Sergei Bobrovsky,FLA,G,24.0,16.0,41.0,58.0,19.0,16.0,Starter,50,0.901,3.07,142.49,145,36,1988-09-20,RUS,RUS,74,182,-,-,-,-,,
2022-2023,Spencer Knight,FLA,G,55.0,34.0,68.0,38.0,70.0,26.0,Backup,21,0.901,3.18,55.16,62,24,2001-04-19,USA,USA,75,192,2019,1,13,13,,
2022-2023,Spencer Martin,VAN,G,75.0,75.0,73.0,72.0,74.0,71.0,Backup,29,0.871,3.99,80.86,107,30,1995-06-08,CAN,CAN,75,191,2013,3,2,63,,
2022-2023,Stuart Skinner,EDM,G,18.0,23.0,31.0,37.0,30.0,29.0,Starter,50,0.913,2.75,147.79,133,26,1998-11-01,CAN,CAN,76,206,2017,3,16,78,,
2022-2023,Thatcher Demko,VAN,G,22.0,7.0,62.0,26.0,21.0,30.0,Backup,32,0.901,3.16,93.48,99,29,1995-12-08,USA,USA,76,192,2014,2,6,36,,
2022-2023,Thomas Greiss,STL,G,62.0,56.0,64.0,48.0,32.0,64.0,Backup,21,0.895,3.64,57.59,66,39,1986-01-29,DEU,DEU,74,219,2004,3,29,94,,
2022-2023,Tristan Jarry,PIT,G,21.0,24.0,12.0,10.0,6.0,44.0,1A,47,0.909,2.9,122.38,128,30,1995-04-29,CAN,CAN,74,194,2013,2,14,44,,
2022-2023,Ukko-Pekka Luukkonen,BUF,G,70.0,68.0,67.0,69.0,48.0,70.0,1B,33,0.891,3.61,100.49,115,26,1999-03-09,FIN,FIN,77,217,2017,2,23,54,,
2022-2023,Ville Husso,DET,G,35.0,31.0,42.0,41.0,57.0,21.0,Starter,56,0.896,3.11,149.34,167,30,1995-02-06,FIN,FIN,75,200,2014,4,4,94,,
2022-2023,Vitek Vanecek,NJD,G,25.0,19.0,9.0,16.0,14.0,49.0,Starter,52,0.911,2.45,127.72,119,29,1996-01-09,CZE,CZE,74,184,2014,2,9,39,,
