Season,Player,Team,Position,all_rank,evs_rank,gpk_rank,ldg_rank,mdg_rank,hdg_rank,Role,GP,SV%,GAA,xG Against,Goals Against,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Contract Years,Cap Hit
2019-2020,Elvis Merzlikins,CBJ,G,45.0,46.0,43.0,41.0,64.0,25.0,1B,33,0.923,2.27,69.23,71,31,1994-04-13,LVA,LVA,75,183,2014,3,16,76,,
2019-2020,Frederik Andersen,TOR,G,23.0,27.0,41.0,12.0,25.0,41.0,Starter,52,0.909,2.85,130.02,143,35,1989-10-02,DNK,DNK,76,238,2012,3,26,87,,
2019-2020,Henrik Lundqvist,NYR,G,27.0,23.0,59.0,37.0,62.0,14.0,Backup,30,0.905,3.16,85.4,84,43,1982-03-02,SWE,SWE,73,182,2000,7,8,205,,
2019-2020,Igor Shesterkin,NYR,G,5.0,28.0,17.0,8.0,35.0,19.0,Backup,12,0.932,2.52,36.39,29,29,1995-12-30,RUS,RUS,73,189,2014,4,28,118,,
2019-2020,Ilya Samsonov,WSH,G,51.0,41.0,55.0,31.0,44.0,59.0,Backup,26,0.913,2.55,58.7,60,28,1997-02-22,RUS,RUS,75,214,2015,1,22,22,,
2019-2020,Jack Campbell,"LAK, TOR",G,43.0,40.0,51.0,17.0,21.0,61.0,Backup,26,0.904,2.8,63.92,73,33,1992-01-09,USA,USA,75,207,2010,1,11,11,,
2019-2020,Jacob Markstrom,VAN,G,18.0,21.0,21.0,36.0,23.0,9.0,1A,43,0.918,2.75,119.93,117,35,1990-01-31,SWE,SWE,78,207,2008,2,1,31,,
2019-2020,Jake Allen,STL,G,17.0,19.0,16.0,64.0,3.0,6.0,Backup,24,0.927,2.15,54.82,48,34,1990-08-07,CAN,CAN,74,195,2008,2,4,34,,
2019-2020,James Reimer,CAR,G,29.0,35.0,14.0,4.0,8.0,60.0,Backup,25,0.914,2.66,64.7,61,37,1988-03-15,CAN,CAN,75,205,2006,4,6,99,,
2019-2020,Jaroslav Halak,BOS,G,9.0,11.0,35.0,49.0,6.0,12.0,Backup,31,0.919,2.39,74.82,73,40,1985-05-13,SVK,SVK,71,189,2003,9,10,271,,
2019-2020,Jimmy Howard,DET,G,63.0,58.0,61.0,62.0,27.0,63.0,Backup,27,0.882,4.2,67.28,96,41,1984-03-26,USA,USA,73,218,2003,2,34,64,,
2019-2020,John Gibson,ANA,G,11.0,9.0,25.0,9.0,36.0,15.0,Starter,51,0.904,3.0,137.48,149,31,1993-07-14,USA,USA,74,210,2011,2,9,39,,
2019-2020,Jonathan Bernier,DET,G,39.0,33.0,8.0,52.0,22.0,39.0,1A,46,0.907,2.97,120.96,126,36,1988-08-07,CAN,CAN,72,185,2006,1,11,11,,
2019-2020,Jonathan Quick,LAK,G,55.0,50.0,57.0,59.0,53.0,38.0,1A,42,0.904,2.79,107.69,117,39,1986-01-21,USA,USA,73,220,2005,3,11,72,,
2019-2020,Joonas Korpisalo,CBJ,G,56.0,48.0,30.0,42.0,43.0,42.0,1B,37,0.911,2.6,80.92,92,31,1994-04-28,FIN,FIN,75,193,2012,3,1,62,,
2019-2020,Jordan Binnington,STL,G,19.0,18.0,52.0,63.0,37.0,3.0,Starter,50,0.912,2.58,127.41,126,31,1993-07-11,CAN,CAN,74,172,2011,3,27,88,,
2019-2020,Juuse Saros,NSH,G,13.0,20.0,5.0,22.0,9.0,24.0,1B,40,0.914,2.7,94.99,98,30,1995-04-19,FIN,FIN,71,180,2013,4,8,99,,
2019-2020,Laurent Brossoit,WPG,G,33.0,17.0,58.0,20.0,31.0,45.0,Backup,19,0.895,3.28,47.25,54,32,1993-03-23,CAN,CAN,75,215,2011,6,13,164,,
2019-2020,Linus Ullmark,BUF,G,52.0,39.0,62.0,27.0,28.0,54.0,1B,34,0.915,2.69,83.97,91,31,1993-07-31,SWE,SWE,77,212,2012,6,12,163,,
2019-2020,Louis Domingue,"NJD, VAN",G,64.0,65.0,36.0,57.0,26.0,66.0,Backup,17,0.882,3.81,36.18,51,33,1992-03-06,CAN,CAN,75,208,2010,5,18,138,,
2019-2020,Mackenzie Blackwood,NJD,G,34.0,29.0,45.0,45.0,40.0,35.0,1A,47,0.915,2.77,118.99,124,28,1996-12-09,CAN,CAN,76,225,2015,2,12,42,,
2019-2020,Malcolm Subban,"CHI, VGK",G,57.0,53.0,53.0,65.0,24.0,37.0,Backup,21,0.89,3.17,51.86,60,31,1993-12-21,CAN,CAN,74,215,2012,1,24,24,,
2019-2020,Marc-Andre Fleury,VGK,G,25.0,34.0,33.0,32.0,13.0,43.0,1A,49,0.905,2.79,118.19,133,40,1984-11-28,CAN,CAN,74,185,2003,1,1,1,,
2019-2020,Marcus Hogberg,OTT,G,61.0,57.0,66.0,46.0,59.0,64.0,Backup,24,0.904,3.12,61.38,70,30,1994-11-25,SWE,SWE,77,222,2013,3,17,78,,
2019-2020,Martin Jones,SJS,G,48.0,63.0,2.0,58.0,50.0,27.0,1B,41,0.896,3.03,106.29,118,35,1990-01-10,CAN,CAN,76,203,-,-,-,-,,
2019-2020,Matt Murray,PIT,G,37.0,38.0,20.0,21.0,51.0,21.0,1B,38,0.899,2.87,87.96,107,31,1994-05-25,CAN,CAN,77,203,2012,3,22,83,,
2019-2020,Michael Hutchinson,"COL, TOR",G,65.0,64.0,60.0,26.0,65.0,65.0,Backup,16,0.888,3.47,39.23,49,35,1990-03-02,CAN,CAN,75,201,2008,3,16,77,,
2019-2020,Mike Smith,EDM,G,50.0,59.0,4.0,38.0,55.0,40.0,1B,39,0.902,2.95,91.57,106,43,1982-03-22,CAN,CAN,77,220,2001,5,30,161,,
2019-2020,Mikko Koskinen,EDM,G,24.0,31.0,29.0,34.0,39.0,30.0,1B,38,0.917,2.78,102.31,97,36,1988-07-18,FIN,FIN,79,202,2009,2,1,31,,
2019-2020,Pavel Francouz,COL,G,42.0,56.0,9.0,56.0,15.0,51.0,1B,34,0.923,2.46,76.89,77,35,1990-06-03,CZE,CSK,72,179,-,-,-,-,,
2019-2020,Pekka Rinne,NSH,G,36.0,12.0,64.0,47.0,46.0,16.0,1B,36,0.895,3.17,84.09,105,42,1982-11-03,FIN,FIN,77,217,2004,8,31,258,,
2019-2020,Petr Mrazek,CAR,G,28.0,26.0,49.0,48.0,33.0,29.0,1B,40,0.905,2.69,102.15,104,33,1992-02-14,CZE,CZE,74,188,2010,5,21,141,,
2019-2020,Philipp Grubauer,COL,G,16.0,3.0,27.0,25.0,12.0,18.0,1B,36,0.916,2.63,87.81,90,33,1991-11-25,DEU,DEU,73,188,2010,4,22,112,,
2019-2020,Robin Lehner,"CHI, VGK",G,4.0,5.0,1.0,13.0,1.0,20.0,1B,36,0.92,2.89,101.81,99,33,1991-07-24,SWE,SWE,76,250,2009,2,16,46,,
2019-2020,Ryan Miller,ANA,G,14.0,4.0,34.0,28.0,29.0,8.0,Backup,23,0.906,3.15,61.86,64,44,1980-07-17,USA,USA,75,170,1999,5,12,138,,
2019-2020,Sam Montembeault,FLA,G,66.0,66.0,65.0,66.0,66.0,28.0,Backup,14,0.89,3.34,27.32,39,28,1996-10-30,CAN,CAN,75,214,2015,3,16,77,,
2019-2020,Semyon Varlamov,NYI,G,22.0,22.0,10.0,43.0,14.0,31.0,1A,45,0.914,2.6,110.72,110,37,1988-04-27,RUS,RUS,74,206,2006,1,23,23,,
2019-2020,Sergei Bobrovsky,FLA,G,31.0,32.0,31.0,60.0,54.0,4.0,Starter,50,0.9,3.25,134.9,151,36,1988-09-20,RUS,RUS,74,182,-,-,-,-,,
2019-2020,Thatcher Demko,VAN,G,53.0,62.0,15.0,61.0,16.0,58.0,Backup,27,0.905,3.06,75.06,78,29,1995-12-08,USA,USA,76,192,2014,2,6,36,,
2019-2020,Thomas Greiss,NYI,G,20.0,16.0,54.0,51.0,2.0,22.0,Backup,31,0.913,2.78,67.86,73,39,1986-01-29,DEU,DEU,74,219,2004,3,29,94,,
2019-2020,Tristan Jarry,PIT,G,32.0,49.0,50.0,1.0,34.0,52.0,1B,33,0.921,2.43,77.48,78,30,1995-04-29,CAN,CAN,74,194,2013,2,14,44,,
2019-2020,Tuukka Rask,BOS,G,12.0,6.0,13.0,23.0,18.0,10.0,1B,41,0.929,2.12,93.52,85,38,1987-03-10,FIN,FIN,75,176,2005,1,21,21,,
