Season,Player,Team,Position,all_rank,evs_rank,gpk_rank,ldg_rank,mdg_rank,hdg_rank,Role,GP,SV%,GAA,xG Against,Goals Against,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Contract Years,Cap Hit
2019-2020,Aaron Dell,SJS,G,47.0,47.0,28.0,10.0,41.0,53.0,1B,33,0.907,3.01,87.67,92,36,1989-05-04,CAN,CAN,72,213,-,-,-,-,,
2019-2020,Adin Hill,ARI,G,30.0,24.0,63.0,5.0,11.0,62.0,Backup,13,0.918,2.62,29.1,28,29,1996-05-11,CAN,CAN,76,215,2015,3,15,76,,
2019-2020,Alex Stalock,MIN,G,58.0,54.0,39.0,16.0,60.0,57.0,1B,38,0.91,2.67,80.66,97,37,1987-07-28,USA,USA,71,170,2005,4,21,112,,
2019-2020,Alexandar Georgiev,NYR,G,26.0,44.0,7.0,33.0,58.0,23.0,1B,34,0.91,3.04,96.54,96,29,1996-02-10,RUS,RUS,73,178,-,-,-,-,,
2019-2020,Anders Nilsson,OTT,G,54.0,52.0,26.0,15.0,48.0,46.0,Backup,20,0.908,3.18,49.55,58,35,1990-03-19,SWE,SWE,78,232,2009,3,1,62,,
2019-2020,Andrei Vasilevskiy,TBL,G,15.0,15.0,22.0,11.0,7.0,17.0,Starter,52,0.917,2.55,124.43,133,30,1994-07-25,RUS,RUS,76,220,2012,1,19,19,,
2019-2020,Anton Khudobin,DAL,G,6.0,2.0,46.0,19.0,10.0,11.0,Backup,30,0.93,2.22,65.45,62,39,1986-05-07,KAZ,RUS,71,210,2004,7,13,206,,
2019-2020,Antti Raanta,ARI,G,10.0,25.0,11.0,2.0,4.0,49.0,1B,33,0.921,2.63,85.19,80,36,1989-05-12,FIN,FIN,72,195,-,-,-,-,,
2019-2020,Ben Bishop,DAL,G,2.0,8.0,3.0,40.0,20.0,1.0,1A,44,0.92,2.5,107.11,103,38,1986-11-21,USA,USA,79,210,2005,3,24,85,,
2019-2020,Braden Holtby,WSH,G,41.0,43.0,44.0,18.0,42.0,48.0,1A,48,0.897,3.11,122.96,142,35,1989-09-16,CAN,CAN,73,215,2008,4,2,93,,
2019-2020,Brian Elliott,PHI,G,46.0,45.0,56.0,54.0,45.0,36.0,Backup,31,0.899,2.87,69.93,80,40,1985-04-09,CAN,CAN,74,221,2003,9,30,291,,
2019-2020,Cam Talbot,CGY,G,44.0,36.0,47.0,35.0,30.0,47.0,Backup,26,0.919,2.67,62.34,63,38,1987-07-05,CAN,CAN,76,201,-,-,-,-,,
2019-2020,Carey Price,MTL,G,40.0,42.0,19.0,30.0,52.0,26.0,Starter,58,0.909,2.79,141.29,160,37,1987-08-16,CAN,CAN,75,217,2005,1,5,5,,
2019-2020,Carter Hart,PHI,G,35.0,51.0,42.0,50.0,49.0,32.0,1A,43,0.914,2.42,96.64,95,26,1998-08-13,CAN,CAN,74,181,2016,2,18,48,,
2019-2020,Carter Hutton,BUF,G,49.0,37.0,32.0,3.0,47.0,50.0,Backup,31,0.898,3.18,78.2,94,39,1985-12-19,CAN,CAN,72,211,-,-,-,-,,
2019-2020,Chris Driedger,FLA,G,1.0,1.0,12.0,6.0,32.0,5.0,Backup,12,0.938,2.05,29.85,22,31,1994-05-18,CAN,CAN,76,208,2012,3,15,76,,
2019-2020,Connor Hellebuyck,WPG,G,8.0,13.0,24.0,14.0,5.0,33.0,Starter,58,0.922,2.57,157.28,140,32,1993-05-19,USA,USA,76,216,2012,5,9,130,,
2019-2020,Corey Crawford,CHI,G,7.0,7.0,18.0,24.0,38.0,2.0,1B,40,0.917,2.77,109.53,108,40,1984-12-31,CAN,CAN,74,216,2003,2,22,52,,
2019-2020,Cory Schneider,NJD,G,60.0,60.0,38.0,53.0,57.0,55.0,Backup,13,0.887,3.53,31.07,40,39,1986-03-18,USA,USA,75,214,2004,1,26,26,,
2019-2020,Craig Anderson,OTT,G,59.0,55.0,40.0,44.0,63.0,44.0,1B,34,0.901,3.29,86.77,100,44,1981-05-21,USA,USA,74,187,2001,3,10,73,,
2019-2020,Curtis McElhinney,TBL,G,21.0,14.0,37.0,39.0,17.0,34.0,Backup,18,0.906,2.89,47.65,52,42,1983-05-23,CAN,CAN,74,210,2002,6,10,176,,
2019-2020,Darcy Kuemper,ARI,G,3.0,10.0,6.0,7.0,19.0,7.0,Backup,29,0.928,2.22,72.85,65,35,1990-05-05,CAN,CAN,77,215,2009,6,10,161,,
2019-2020,David Rittich,CGY,G,38.0,30.0,23.0,55.0,56.0,13.0,1A,48,0.907,2.97,125.33,138,32,1992-08-19,CZE,CZE,76,205,-,-,-,-,,
2019-2020,Devan Dubnyk,MIN,G,62.0,61.0,48.0,29.0,61.0,56.0,Backup,30,0.89,3.35,64.06,93,39,1986-05-04,CAN,CAN,78,224,2004,1,14,14,,
