Season,Player,Team,Position,all_rank,evs_rank,gpk_rank,ldg_rank,mdg_rank,hdg_rank,Role,GP,SV%,GAA,xG Against,Goals Against,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Contract Years,Cap Hit
2023-2024,Adin Hill,VGK,G,20.0,37.0,5.0,16.0,50.0,11.0,1B,35,0.909,2.71,94.14,89,29,1996-05-11,CAN,CAN,76,215,2015,3,15,76,,
2023-2024,Akira Schmid,NJD,G,51.0,57.0,58.0,24.0,60.0,48.0,Backup,19,0.895,3.15,43.77,48,25,2000-05-12,CHE,CHE,77,205,2018,5,12,136,,
2023-2024,Alex Lyon,DET,G,33.0,44.0,16.0,28.0,28.0,51.0,1A,44,0.904,3.05,122.67,127,32,1992-12-09,USA,USA,73,201,-,-,-,-,,
2023-2024,Alex Nedeljkovic,PIT,G,60.0,42.0,54.0,66.0,1.0,65.0,1B,38,0.902,2.97,98.0,102,29,1996-01-07,USA,USA,72,208,2014,2,7,37,,
2023-2024,Alexandar Georgiev,COL,G,27.0,30.0,49.0,39.0,36.0,26.0,Starter,63,0.897,3.0,176.67,182,29,1996-02-10,RUS,RUS,73,178,-,-,-,-,,
2023-2024,Andrei Vasilevskiy,TBL,G,18.0,34.0,12.0,22.0,32.0,14.0,Starter,52,0.9,2.9,141.46,148,30,1994-07-25,RUS,RUS,76,220,2012,1,19,19,,
2023-2024,Anthony Stolarz,FLA,G,3.0,1.0,14.0,65.0,2.0,1.0,Backup,27,0.925,2.03,72.53,51,31,1994-01-20,USA,USA,78,243,2012,2,15,45,,
2023-2024,Anton Forsberg,OTT,G,44.0,59.0,46.0,47.0,44.0,49.0,Backup,30,0.89,3.21,76.03,84,32,1992-11-27,SWE,SWE,75,193,2011,7,7,188,,
2023-2024,Antti Raanta,CAR,G,54.0,32.0,57.0,12.0,61.0,40.0,Backup,24,0.872,2.99,50.92,63,36,1989-05-12,FIN,FIN,72,195,-,-,-,-,,
2023-2024,Arvid Soderblom,CHI,G,71.0,70.0,68.0,71.0,54.0,70.0,Backup,32,0.879,3.92,93.56,114,25,1999-08-19,SWE,SWE,75,180,-,-,-,-,,
2023-2024,Calvin Pickard,EDM,G,55.0,36.0,71.0,21.0,65.0,37.0,Backup,24,0.909,2.34,53.47,53,33,1992-04-15,CAN,CAN,73,210,2010,2,19,49,,
2023-2024,Cam Talbot,LAK,G,28.0,49.0,6.0,20.0,31.0,45.0,Starter,54,0.913,2.5,140.93,130,38,1987-07-05,CAN,CAN,76,201,-,-,-,-,,
2023-2024,Carter Hart,PHI,G,30.0,39.0,22.0,37.0,42.0,22.0,Backup,26,0.906,2.8,66.94,68,26,1998-08-13,CAN,CAN,74,181,2016,2,18,48,,
2023-2024,Casey DeSmith,VAN,G,35.0,13.0,48.0,41.0,19.0,47.0,Backup,29,0.895,2.89,76.76,80,33,1991-08-13,USA,USA,72,181,-,-,-,-,,
2023-2024,Cayden Primeau,MTL,G,37.0,19.0,61.0,70.0,46.0,21.0,Backup,23,0.91,2.99,72.45,66,25,1999-08-11,USA,USA,74,199,2017,7,13,199,,
2023-2024,Charlie Lindgren,WSH,G,36.0,53.0,17.0,60.0,15.0,50.0,Starter,50,0.911,2.67,138.88,127,31,1993-12-18,USA,USA,74,179,-,-,-,-,,
2023-2024,Connor Hellebuyck,WPG,G,2.0,3.0,20.0,1.0,5.0,15.0,Starter,60,0.921,2.39,174.68,142,32,1993-05-19,USA,USA,76,216,2012,5,9,130,,
2023-2024,Connor Ingram,ARI,G,32.0,31.0,50.0,56.0,51.0,23.0,Starter,50,0.907,2.91,145.03,136,28,1997-03-31,CAN,CAN,74,196,2016,3,27,88,,
2023-2024,Dan Vladar,CGY,G,66.0,68.0,45.0,69.0,63.0,39.0,Backup,20,0.882,3.62,53.19,68,27,1997-08-20,CZE,CZE,77,209,2015,3,14,75,,
2023-2024,Daniil Tarasov,CBJ,G,62.0,51.0,59.0,54.0,70.0,16.0,Backup,24,0.908,3.18,71.15,73,26,1999-03-27,RUS,RUS,77,196,2017,3,24,86,,
2023-2024,Darcy Kuemper,WSH,G,38.0,43.0,40.0,46.0,41.0,42.0,1B,33,0.89,3.31,96.57,103,35,1990-05-05,CAN,CAN,77,215,2009,6,10,161,,
2023-2024,David Rittich,LAK,G,15.0,14.0,33.0,57.0,9.0,17.0,Backup,24,0.921,2.15,63.56,49,32,1992-08-19,CZE,CZE,76,205,-,-,-,-,,
2023-2024,Devon Levi,BUF,G,45.0,27.0,60.0,32.0,67.0,36.0,Backup,23,0.899,3.1,72.01,67,23,2001-12-27,CAN,CAN,72,184,2020,7,26,212,,
2023-2024,Dustin Wolf,CGY,G,70.0,71.0,69.0,63.0,69.0,62.0,Backup,17,0.893,3.16,39.61,50,24,2001-04-16,USA,USA,72,156,2019,7,28,214,,
2023-2024,Elvis Merzlikins,CBJ,G,67.0,67.0,28.0,61.0,52.0,66.0,1B,41,0.897,3.45,128.09,130,31,1994-04-13,LVA,LVA,75,183,2014,3,16,76,,
2023-2024,Filip Gustavsson,MIN,G,25.0,40.0,11.0,25.0,8.0,44.0,1A,45,0.899,3.06,117.56,129,27,1998-06-07,SWE,SWE,74,184,2016,2,25,55,,
2023-2024,Frederik Andersen,CAR,G,4.0,16.0,2.0,3.0,26.0,2.0,Backup,16,0.932,1.84,37.69,28,35,1989-10-02,DNK,DNK,76,238,2012,3,26,87,,
