Season,Player,Team,Position,all_rank,evs_rank,gpk_rank,ldg_rank,mdg_rank,hdg_rank,Role,GP,SV%,GAA,xG Against,Goals Against,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Contract Years,Cap Hit
2023-2024,Igor Shesterkin,NYR,G,6.0,6.0,19.0,9.0,6.0,7.0,Starter,55,0.912,2.58,152.47,141,29,1995-12-30,RUS,RUS,73,189,2014,4,28,118,,
2023-2024,Ilya Samsonov,TOR,G,39.0,24.0,42.0,31.0,56.0,24.0,1B,40,0.89,3.13,107.68,120,28,1997-02-22,RUS,RUS,75,214,2015,1,22,22,,
2023-2024,Ilya Sorokin,NYI,G,8.0,4.0,29.0,19.0,20.0,3.0,Starter,56,0.908,3.01,167.58,167,29,1995-08-04,RUS,RUS,75,195,2014,3,18,78,,
2023-2024,Jacob Markstrom,CGY,G,16.0,25.0,8.0,33.0,47.0,5.0,1A,48,0.905,2.78,147.43,131,35,1990-01-31,SWE,SWE,78,207,2008,2,1,31,,
2023-2024,Jake Allen,"MTL, NJD",G,49.0,45.0,38.0,53.0,24.0,59.0,1B,34,0.895,3.44,113.06,114,34,1990-08-07,CAN,CAN,74,195,2008,2,4,34,,
2023-2024,Jake Oettinger,DAL,G,17.0,35.0,21.0,11.0,27.0,28.0,Starter,54,0.905,2.72,137.28,140,26,1998-12-18,USA,USA,77,220,2017,1,26,26,,
2023-2024,James Reimer,DET,G,41.0,64.0,1.0,6.0,62.0,33.0,Backup,25,0.904,3.11,71.62,70,37,1988-03-15,CAN,CAN,75,205,2006,4,6,99,,
2023-2024,Jeremy Swayman,BOS,G,7.0,5.0,13.0,5.0,14.0,12.0,1A,44,0.916,2.53,126.5,108,26,1998-11-24,USA,USA,74,194,2017,4,18,111,,
2023-2024,Joel Hofer,STL,G,26.0,22.0,55.0,2.0,49.0,57.0,Backup,30,0.913,2.65,82.59,72,24,2000-07-30,CAN,CAN,77,179,2018,4,14,107,,
2023-2024,Joey Daccord,SEA,G,42.0,28.0,41.0,30.0,35.0,67.0,Starter,50,0.916,2.46,127.16,116,28,1996-08-19,USA,USA,74,201,2015,7,18,199,,
2023-2024,John Gibson,ANA,G,58.0,41.0,56.0,58.0,58.0,29.0,1A,46,0.888,3.54,142.24,151,31,1993-07-14,USA,USA,74,210,2011,2,9,39,,
2023-2024,Jonas Johansson,TBL,G,68.0,69.0,47.0,68.0,64.0,58.0,Backup,26,0.89,3.37,72.8,83,29,1995-09-19,SWE,SWE,77,220,2014,3,1,61,,
2023-2024,Jonathan Quick,NYR,G,31.0,46.0,26.0,43.0,45.0,25.0,Backup,27,0.911,2.62,79.15,69,39,1986-01-21,USA,USA,73,220,2005,3,11,72,,
2023-2024,Joonas Korpisalo,OTT,G,57.0,38.0,53.0,59.0,53.0,31.0,Starter,55,0.89,3.27,150.23,168,31,1994-04-28,FIN,FIN,75,193,2012,3,1,62,,
2023-2024,Jordan Binnington,STL,G,21.0,18.0,35.0,35.0,25.0,30.0,Starter,57,0.913,2.84,179.09,156,31,1993-07-11,CAN,CAN,74,172,2011,3,27,88,,
2023-2024,Joseph Woll,TOR,G,43.0,63.0,23.0,62.0,34.0,46.0,Backup,25,0.907,2.94,74.02,72,26,1998-07-12,USA,USA,75,203,2016,3,1,62,,
2023-2024,Justus Annunen,COL,G,5.0,29.0,3.0,8.0,17.0,20.0,Backup,14,0.928,2.25,42.02,30,25,2000-03-11,FIN,FIN,76,210,-,-,-,-,,
2023-2024,Juuse Saros,NSH,G,10.0,11.0,7.0,23.0,10.0,10.0,Starter,64,0.906,2.86,171.88,173,30,1995-04-19,FIN,FIN,71,180,2013,4,8,99,,
2023-2024,Kaapo Kahkonen,"NJD, SJS",G,63.0,60.0,51.0,49.0,68.0,35.0,1B,37,0.898,3.64,112.05,116,28,1996-08-16,FIN,FIN,74,217,2014,4,19,109,,
2023-2024,Karel Vejmelka,ARI,G,56.0,52.0,36.0,36.0,43.0,54.0,1B,38,0.895,3.35,105.61,114,29,1996-05-25,CZE,CZE,76,224,2015,5,24,145,,
2023-2024,Kevin Lankinen,NSH,G,19.0,9.0,66.0,44.0,30.0,13.0,Backup,24,0.908,2.82,58.78,56,30,1995-04-28,FIN,FIN,74,190,-,-,-,-,,
2023-2024,Laurent Brossoit,WPG,G,11.0,7.0,65.0,40.0,33.0,8.0,Backup,23,0.927,2.0,60.27,45,32,1993-03-23,CAN,CAN,75,215,2011,6,13,164,,
2023-2024,Linus Ullmark,BOS,G,1.0,2.0,10.0,4.0,3.0,4.0,1B,41,0.915,2.57,117.59,103,31,1993-07-31,SWE,SWE,77,212,2012,6,12,163,,
2023-2024,Logan Thompson,VGK,G,22.0,20.0,44.0,29.0,16.0,32.0,1A,46,0.908,2.7,119.82,119,28,1997-02-25,CAN,CAN,76,205,-,-,-,-,,
2023-2024,Lukas Dostal,ANA,G,59.0,50.0,63.0,67.0,22.0,56.0,1A,44,0.902,3.33,124.55,129,25,2000-06-22,CZE,CZE,74,174,2018,3,23,85,,
2023-2024,Mackenzie Blackwood,SJS,G,53.0,61.0,24.0,52.0,38.0,53.0,1A,44,0.899,3.45,141.4,140,28,1996-12-09,CAN,CAN,76,225,2015,2,12,42,,
2023-2024,Marc-Andre Fleury,MIN,G,47.0,21.0,64.0,51.0,39.0,41.0,1B,40,0.895,2.98,97.81,111,40,1984-11-28,CAN,CAN,74,185,2003,1,1,1,,
2023-2024,Martin Jones,TOR,G,46.0,33.0,62.0,38.0,40.0,55.0,Backup,22,0.902,2.87,59.49,56,35,1990-01-10,CAN,CAN,76,203,-,-,-,-,,
2023-2024,Nico Daws,NJD,G,64.0,62.0,70.0,50.0,59.0,64.0,Backup,21,0.894,3.15,57.34,60,24,2000-12-22,DEU,DEU,76,205,2020,3,22,84,,
2023-2024,Petr Mrazek,CHI,G,48.0,56.0,52.0,45.0,21.0,52.0,Starter,56,0.907,3.05,159.77,160,33,1992-02-14,CZE,CZE,74,188,2010,5,21,141,,
2023-2024,Philipp Grubauer,SEA,G,61.0,58.0,39.0,26.0,48.0,60.0,1B,36,0.899,2.85,91.02,95,33,1991-11-25,DEU,DEU,73,188,2010,4,22,112,,
2023-2024,Pyotr Kochetkov,CAR,G,23.0,55.0,4.0,17.0,55.0,9.0,1A,42,0.911,2.33,94.32,92,26,1999-06-25,RUS,RUS,75,205,2019,2,5,36,,
2023-2024,Sam Montembeault,MTL,G,29.0,15.0,37.0,7.0,37.0,61.0,1B,41,0.903,3.14,138.2,127,28,1996-10-30,CAN,CAN,75,214,2015,3,16,77,,
2023-2024,Samuel Ersson,PHI,G,65.0,65.0,31.0,34.0,66.0,69.0,Starter,51,0.89,2.82,125.24,132,25,1999-10-20,SWE,SWE,74,176,2018,5,19,143,,
2023-2024,Scott Wedgewood,DAL,G,34.0,26.0,43.0,27.0,29.0,34.0,Backup,32,0.899,2.85,74.9,85,32,1992-08-14,CAN,CAN,74,205,2010,3,24,84,,
2023-2024,Semyon Varlamov,NYI,G,9.0,8.0,25.0,15.0,13.0,6.0,Backup,28,0.917,2.6,80.52,69,37,1988-04-27,RUS,RUS,74,206,2006,1,23,23,,
2023-2024,Sergei Bobrovsky,FLA,G,14.0,12.0,27.0,42.0,11.0,18.0,Starter,58,0.915,2.37,145.52,135,36,1988-09-20,RUS,RUS,74,182,-,-,-,-,,
2023-2024,Spencer Martin,"CAR, CBJ",G,69.0,66.0,67.0,55.0,71.0,68.0,Backup,19,0.889,3.3,53.8,59,30,1995-06-08,CAN,CAN,75,191,2013,3,2,63,,
2023-2024,Stuart Skinner,EDM,G,13.0,17.0,32.0,18.0,12.0,27.0,Starter,59,0.905,2.62,152.67,147,26,1998-11-01,CAN,CAN,76,206,2017,3,16,78,,
2023-2024,Thatcher Demko,VAN,G,12.0,10.0,34.0,14.0,18.0,19.0,Starter,51,0.917,2.45,143.67,123,29,1995-12-08,USA,USA,76,192,2014,2,6,36,,
2023-2024,Tristan Jarry,PIT,G,24.0,23.0,18.0,10.0,4.0,63.0,Starter,51,0.903,2.91,137.38,133,30,1995-04-29,CAN,CAN,74,194,2013,2,14,44,,
2023-2024,Ukko-Pekka Luukkonen,BUF,G,40.0,54.0,30.0,64.0,23.0,43.0,Starter,54,0.91,2.57,144.66,132,26,1999-03-09,FIN,FIN,77,217,2017,2,23,54,,
2023-2024,Ville Husso,DET,G,50.0,47.0,9.0,48.0,57.0,38.0,Backup,19,0.892,3.55,58.37,60,30,1995-02-06,FIN,FIN,75,200,2014,4,4,94,,
2023-2024,Vitek Vanecek,NJD,G,52.0,48.0,15.0,13.0,7.0,71.0,Backup,32,0.89,3.18,81.83,95,29,1996-01-09,CZE,CZE,74,184,2014,2,9,39,,
