Season,Player,Team,Position,all_rank,evs_rank,gpk_rank,ldg_rank,mdg_rank,hdg_rank,Role,GP,SV%,GAA,xG Against,Goals Against,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Contract Years,Cap Hit
2020-2021,Adin Hill,ARI,G,15.0,18.0,28.0,5.0,5.0,44.0,Backup,19,0.913,2.74,46.17,46,29,1996-05-11,CAN,CAN,76,215,2015,3,15,76,,
2020-2021,Alex Nedeljkovic,CAR,G,9.0,8.0,18.0,20.0,31.0,21.0,Backup,23,0.932,1.9,54.73,44,29,1996-01-07,USA,USA,72,208,2014,2,7,37,,
2020-2021,Alexandar Georgiev,NYR,G,31.0,40.0,2.0,16.0,42.0,32.0,Backup,19,0.905,2.71,39.63,44,29,1996-02-10,RUS,RUS,73,178,-,-,-,-,,
2020-2021,Andrei Vasilevskiy,TBL,G,6.0,5.0,21.0,8.0,6.0,3.0,1A,42,0.925,2.21,99.37,93,30,1994-07-25,RUS,RUS,76,220,2012,1,19,19,,
2020-2021,Anton Khudobin,DAL,G,22.0,12.0,56.0,49.0,7.0,29.0,Backup,32,0.905,2.54,64.62,76,39,1986-05-07,KAZ,RUS,71,210,2004,7,13,206,,
2020-2021,Antti Raanta,ARI,G,33.0,31.0,8.0,42.0,19.0,50.0,Backup,12,0.905,3.36,35.12,38,36,1989-05-12,FIN,FIN,72,195,-,-,-,-,,
2020-2021,Braden Holtby,VAN,G,55.0,56.0,37.0,27.0,24.0,68.0,Backup,21,0.889,3.67,63.96,77,35,1989-09-16,CAN,CAN,73,215,2008,4,2,93,,
2020-2021,Brian Elliott,PHI,G,58.0,58.0,52.0,64.0,53.0,37.0,Backup,30,0.889,3.06,60.61,82,40,1985-04-09,CAN,CAN,74,221,2003,9,30,291,,
2020-2021,Cal Petersen,LAK,G,40.0,41.0,54.0,55.0,55.0,30.0,1B,35,0.911,2.88,94.98,97,30,1994-10-19,USA,USA,74,185,2013,5,8,129,,
2020-2021,Cam Talbot,MIN,G,35.0,32.0,34.0,14.0,37.0,39.0,1B,33,0.915,2.61,78.44,86,38,1987-07-05,CAN,CAN,76,201,-,-,-,-,,
2020-2021,Carey Price,MTL,G,41.0,28.0,50.0,47.0,56.0,13.0,Backup,25,0.901,2.64,57.2,65,37,1987-08-16,CAN,CAN,75,217,2005,1,5,5,,
2020-2021,Carter Hart,PHI,G,60.0,60.0,63.0,31.0,51.0,64.0,Backup,27,0.876,3.67,60.59,89,26,1998-08-13,CAN,CAN,74,181,2016,2,18,48,,
2020-2021,Carter Hutton,BUF,G,66.0,62.0,33.0,10.0,50.0,69.0,Backup,13,0.886,3.47,28.68,39,39,1985-12-19,CAN,CAN,72,211,-,-,-,-,,
2020-2021,Casey DeSmith,PIT,G,27.0,25.0,55.0,17.0,54.0,18.0,Backup,20,0.912,2.54,47.96,48,33,1991-08-13,USA,USA,72,181,-,-,-,-,,
2020-2021,Chris Driedger,FLA,G,1.0,3.0,27.0,11.0,11.0,11.0,Backup,23,0.927,2.07,51.05,47,31,1994-05-18,CAN,CAN,76,208,2012,3,15,76,,
2020-2021,Connor Hellebuyck,WPG,G,5.0,4.0,26.0,2.0,13.0,22.0,1A,45,0.916,2.58,123.1,112,32,1993-05-19,USA,USA,76,216,2012,5,9,130,,
2020-2021,Curtis McElhinney,TBL,G,62.0,66.0,32.0,59.0,65.0,41.0,Backup,12,0.875,3.09,22.39,37,42,1983-05-23,CAN,CAN,74,210,2002,6,10,176,,
2020-2021,Darcy Kuemper,ARI,G,14.0,29.0,15.0,3.0,33.0,27.0,Backup,27,0.907,2.56,63.38,66,35,1990-05-05,CAN,CAN,77,215,2009,6,10,161,,
2020-2021,David Rittich,"CGY, TOR",G,43.0,39.0,48.0,40.0,52.0,17.0,Backup,19,0.901,2.86,38.51,46,32,1992-08-19,CZE,CZE,76,205,-,-,-,-,,
2020-2021,Devan Dubnyk,"COL, SJS",G,67.0,61.0,42.0,52.0,61.0,65.0,Backup,22,0.895,3.2,49.45,63,39,1986-05-04,CAN,CAN,78,224,2004,1,14,14,,
2020-2021,Dustin Tokarski,BUF,G,64.0,59.0,45.0,69.0,59.0,48.0,Backup,13,0.904,3.54,36.58,43,35,1989-09-16,CAN,CAN,72,198,2008,5,1,122,,
2020-2021,Elvis Merzlikins,CBJ,G,37.0,45.0,14.0,32.0,46.0,28.0,Backup,28,0.916,2.77,61.92,69,31,1994-04-13,LVA,LVA,75,183,2014,3,16,76,,
2020-2021,Filip Gustavsson,OTT,G,17.0,9.0,43.0,1.0,63.0,31.0,Backup,9,0.933,2.16,20.18,17,27,1998-06-07,SWE,SWE,74,184,2016,2,25,55,,
2020-2021,Frederik Andersen,TOR,G,46.0,27.0,60.0,22.0,41.0,54.0,Backup,24,0.895,2.96,57.34,70,35,1989-10-02,DNK,DNK,76,238,2012,3,26,87,,
2020-2021,Igor Shesterkin,NYR,G,11.0,13.0,51.0,7.0,57.0,2.0,1B,35,0.916,2.62,84.76,83,29,1995-12-30,RUS,RUS,73,189,2014,4,28,118,,
2020-2021,Ilya Samsonov,WSH,G,49.0,46.0,44.0,36.0,47.0,59.0,Backup,19,0.902,2.69,41.19,49,28,1997-02-22,RUS,RUS,75,214,2015,1,22,22,,
2020-2021,Ilya Sorokin,NYI,G,34.0,51.0,31.0,28.0,32.0,62.0,Backup,22,0.918,2.17,47.52,46,29,1995-08-04,RUS,RUS,75,195,2014,3,18,78,,
2020-2021,Jack Campbell,TOR,G,18.0,21.0,5.0,13.0,4.0,45.0,Backup,22,0.921,2.15,49.05,46,33,1992-01-09,USA,USA,75,207,2010,1,11,11,,
2020-2021,Jacob Markstrom,CGY,G,30.0,30.0,29.0,25.0,35.0,20.0,1A,43,0.904,2.68,95.06,111,35,1990-01-31,SWE,SWE,78,207,2008,2,1,31,,
