Season,Player,Team,Position,all_rank,evs_rank,gpk_rank,ldg_rank,mdg_rank,hdg_rank,Role,GP,SV%,GAA,xG Against,Goals Against,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Contract Years,Cap Hit
2024-2025,Adin Hill,VGK,G,13.0,28.0,11.0,13.0,42.0,15.0,Starter,50,0.907,2.47,129.28,121,29,1996-05-11,CAN,CAN,76,215,2015,3,15,76,1,4.9
2024-2025,Aleksei Kolosov,PHI,G,68.0,66.0,65.0,65.0,56.0,,Backup,17,0.867,3.59,41.76,54,23,2002-01-04,BLR,,73,185,2021,3,14,78,2,0.925
2024-2025,Alex Lyon,DET,G,25.0,36.0,31.0,31.0,26.0,32.0,Backup,30,0.896,2.81,76.23,73,32,1992-12-09,USA,USA,73,201,-,-,-,-,1,0.9
2024-2025,Alex Nedeljkovic,PIT,G,52.0,46.0,46.0,51.0,8.0,61.0,1B,38,0.894,3.12,104.04,112,29,1996-01-07,USA,USA,72,208,2014,2,7,37,2,2.5
2024-2025,Alexandar Georgiev,"COL, SJS",G,56.0,55.0,57.0,64.0,33.0,44.0,1A,49,0.875,3.71,141.71,165,29,1996-02-10,RUS,RUS,73,178,-,-,-,-,1,3.4
2024-2025,Andrei Vasilevskiy,TBL,G,6.0,11.0,8.0,9.0,31.0,9.0,Starter,63,0.921,2.18,162.74,136,31,1994-07-25,RUS,RUS,76,220,2012,1,19,19,4,9.5
2024-2025,Anthony Stolarz,TOR,G,1.0,1.0,20.0,15.0,5.0,1.0,1B,34,0.926,2.14,100.09,71,31,1994-01-20,USA,USA,78,243,2012,2,15,45,2,2.5
2024-2025,Anton Forsberg,OTT,G,48.0,51.0,54.0,43.0,35.0,49.0,Backup,30,0.901,2.72,72.12,76,32,1992-11-27,SWE,SWE,75,193,2011,7,7,188,1,2.75
2024-2025,Arvid Soderblom,CHI,G,59.0,62.0,15.0,58.0,14.0,65.0,1B,36,0.898,3.18,110.12,111,25,1999-08-19,SWE,SWE,75,180,-,-,-,-,1,0.963
2024-2025,Calvin Pickard,EDM,G,53.0,47.0,66.0,27.0,61.0,35.0,1B,35,0.903,2.61,75.34,81,33,1992-04-15,CAN,CAN,73,210,2010,2,19,49,2,1.0
2024-2025,Cam Talbot,DET,G,31.0,17.0,44.0,17.0,37.0,38.0,1A,47,0.9,2.93,130.82,129,38,1987-07-05,CAN,CAN,76,201,-,-,-,-,2,2.5
2024-2025,Casey DeSmith,DAL,G,9.0,3.0,56.0,36.0,6.0,27.0,Backup,27,0.915,2.59,79.27,65,34,1991-08-13,USA,USA,72,181,-,-,-,-,3,1.0
2024-2025,Charlie Lindgren,WSH,G,34.0,53.0,7.0,30.0,1.0,63.0,1B,39,0.895,2.73,102.64,104,31,1993-12-18,USA,USA,74,179,-,-,-,-,3,1.1
2024-2025,Connor Hellebuyck,WPG,G,2.0,2.0,17.0,4.0,2.0,5.0,Starter,63,0.925,2.0,167.96,125,32,1993-05-19,USA,USA,76,216,2012,5,9,130,7,8.5
2024-2025,Connor Ingram,UTA,G,50.0,35.0,22.0,62.0,51.0,19.0,Backup,22,0.882,3.27,59.0,66,28,1997-03-31,CAN,CAN,74,196,2016,3,27,88,2,1.95
2024-2025,Dan Vladar,CGY,G,60.0,61.0,60.0,52.0,49.0,53.0,Backup,30,0.898,2.8,76.77,83,27,1997-08-20,CZE,CZE,77,209,2015,3,14,75,1,2.2
2024-2025,Daniil Tarasov,CBJ,G,57.0,60.0,16.0,20.0,64.0,39.0,Backup,20,0.881,3.54,59.04,65,26,1999-03-27,RUS,RUS,77,196,2017,3,24,86,1,1.05
2024-2025,Darcy Kuemper,LAK,G,10.0,12.0,12.0,28.0,20.0,13.0,Starter,50,0.921,2.02,127.28,100,35,1990-05-05,CAN,CAN,77,215,2009,6,10,161,3,5.25
2024-2025,David Rittich,LAK,G,35.0,23.0,52.0,48.0,28.0,23.0,1B,34,0.886,2.84,74.18,88,32,1992-08-19,CZE,CZE,76,205,-,-,-,-,1,1.0
2024-2025,Dustin Wolf,CGY,G,41.0,41.0,40.0,39.0,57.0,28.0,Starter,53,0.91,2.64,152.74,140,24,2001-04-16,USA,USA,72,156,2019,7,28,214,2,0.85
2024-2025,Elvis Merzlikins,CBJ,G,58.0,57.0,42.0,55.0,55.0,48.0,Starter,53,0.892,3.18,156.72,168,31,1994-04-13,LVA,LVA,75,183,2014,3,16,76,3,5.4
