Season,Player,Team,Position,all_rank,evs_rank,gpk_rank,ldg_rank,mdg_rank,hdg_rank,Role,GP,SV%,GAA,xG Against,Goals Against,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Contract Years,Cap Hit
2024-2025,Eric Comrie,WPG,G,42.0,42.0,62.0,34.0,45.0,34.0,Backup,20,0.914,2.39,50.1,47,30,1995-07-06,CAN,CAN,73,183,2013,2,29,59,2,0.825
2024-2025,Filip Gustavsson,MIN,G,14.0,22.0,23.0,21.0,18.0,11.0,Starter,58,0.914,2.56,155.23,146,27,1998-06-07,SWE,SWE,74,184,2016,2,25,55,2,3.75
2024-2025,Frederik Andersen,CAR,G,4.0,21.0,1.0,11.0,19.0,6.0,Backup,22,0.899,2.5,61.73,55,35,1989-10-02,DNK,DNK,76,238,2012,3,26,87,1,3.4
2024-2025,Igor Shesterkin,NYR,G,5.0,7.0,14.0,6.0,12.0,21.0,Starter,61,0.905,2.86,186.0,167,29,1995-12-30,RUS,RUS,73,189,2014,4,28,118,1,5.667
2024-2025,Ilya Samsonov,VGK,G,47.0,26.0,64.0,59.0,46.0,29.0,Backup,29,0.891,2.82,78.54,82,28,1997-02-22,RUS,RUS,75,214,2015,1,22,22,1,1.8
2024-2025,Ilya Sorokin,NYI,G,8.0,5.0,39.0,29.0,36.0,7.0,Starter,61,0.907,2.71,169.87,158,30,1995-08-04,RUS,RUS,75,195,2014,3,18,78,8,8.25
2024-2025,Ivan Fedotov,PHI,G,66.0,67.0,49.0,63.0,67.0,62.0,Backup,26,0.88,3.15,61.11,75,28,1996-11-28,RUS,RUS,78,188,2015,7,7,188,2,3.275
2024-2025,Jacob Markstrom,NJD,G,21.0,38.0,6.0,42.0,44.0,10.0,1A,49,0.9,2.5,122.93,121,35,1990-01-31,SWE,SWE,78,207,2008,2,1,31,2,6.0
2024-2025,Jake Allen,NJD,G,19.0,24.0,26.0,32.0,3.0,55.0,Backup,31,0.906,2.66,91.71,77,35,1990-08-07,CAN,CAN,74,195,2008,2,4,34,1,3.85
2024-2025,Jake Oettinger,DAL,G,16.0,32.0,4.0,3.0,13.0,51.0,Starter,58,0.909,2.59,161.08,147,26,1998-12-18,USA,USA,77,220,2017,1,26,26,1,4.0
2024-2025,Jakub Dobes,MTL,G,26.0,31.0,10.0,25.0,53.0,42.0,Backup,16,0.909,2.74,46.81,40,24,2001-05-27,CZE,,76,205,2020,5,12,136,1,0.925
2024-2025,James Reimer,"ANA, BUF",G,37.0,54.0,18.0,16.0,27.0,60.0,Backup,24,0.896,3.04,71.53,69,37,1988-03-15,CAN,CAN,75,205,2006,4,6,99,1,1.0
2024-2025,Jeremy Swayman,BOS,G,24.0,10.0,45.0,1.0,50.0,31.0,Starter,58,0.892,3.11,160.56,176,26,1998-11-24,USA,USA,74,194,2017,4,18,111,8,8.25
2024-2025,Joel Blomqvist,PIT,G,65.0,68.0,48.0,67.0,68.0,4.0,Backup,15,0.885,3.81,41.15,49,23,2002-01-10,FIN,,74,183,2020,2,21,52,2,0.887
2024-2025,Joel Hofer,STL,G,40.0,18.0,68.0,2.0,60.0,50.0,Backup,31,0.904,2.64,68.65,74,25,2000-07-30,CAN,CAN,77,179,2018,4,14,107,1,0.775
2024-2025,Joey Daccord,SEA,G,29.0,19.0,37.0,37.0,23.0,52.0,Starter,57,0.906,2.75,166.81,151,28,1996-08-19,USA,USA,74,201,2015,7,18,199,1,1.2
2024-2025,John Gibson,ANA,G,30.0,8.0,63.0,7.0,38.0,43.0,Backup,29,0.911,2.77,81.29,72,32,1993-07-14,USA,USA,74,210,2011,2,9,39,3,6.4
2024-2025,Jonas Johansson,TBL,G,54.0,58.0,50.0,61.0,65.0,14.0,Backup,19,0.895,3.13,57.25,58,29,1995-09-19,SWE,SWE,77,220,2014,3,1,61,1,0.775
2024-2025,Jonathan Quick,NYR,G,38.0,48.0,19.0,18.0,54.0,26.0,Backup,24,0.893,3.17,65.23,70,39,1986-01-21,USA,USA,73,220,2005,3,11,72,1,1.275
2024-2025,Joonas Korpisalo,BOS,G,46.0,30.0,53.0,33.0,52.0,40.0,Backup,27,0.893,2.9,73.27,74,31,1994-04-28,FIN,FIN,75,193,2012,3,1,62,4,4.0
2024-2025,Jordan Binnington,STL,G,20.0,20.0,30.0,40.0,21.0,24.0,Starter,56,0.9,2.69,145.59,145,32,1993-07-11,CAN,CAN,74,172,2011,3,27,88,3,6.0
2024-2025,Joseph Woll,TOR,G,27.0,37.0,38.0,54.0,9.0,37.0,1A,42,0.909,2.73,121.69,111,27,1998-07-12,USA,USA,75,203,2016,3,1,62,1,0.767
2024-2025,Justus Annunen,"COL, NSH",G,51.0,56.0,51.0,24.0,66.0,25.0,1B,34,0.883,3.18,79.22,95,25,2000-03-11,FIN,FIN,76,210,-,-,-,-,2,0.838
2024-2025,Juuse Saros,NSH,G,33.0,43.0,3.0,35.0,41.0,16.0,Starter,58,0.895,2.98,155.14,167,30,1995-04-19,FIN,FIN,71,180,2013,4,8,99,1,5.0
2024-2025,Karel Vejmelka,UTA,G,36.0,27.0,24.0,23.0,24.0,56.0,Starter,58,0.904,2.58,156.75,145,29,1996-05-25,CZE,CZE,76,224,2015,5,24,145,1,2.725
2024-2025,Kevin Lankinen,VAN,G,17.0,16.0,33.0,50.0,11.0,17.0,Starter,51,0.902,2.62,133.55,132,30,1995-04-28,FIN,FIN,74,190,-,-,-,-,1,0.875
2024-2025,Linus Ullmark,OTT,G,3.0,4.0,9.0,5.0,17.0,8.0,1A,44,0.909,2.72,123.16,112,32,1993-07-31,SWE,SWE,77,212,2012,6,12,163,1,5.0
2024-2025,Logan Thompson,WSH,G,7.0,6.0,27.0,38.0,4.0,20.0,1A,43,0.91,2.49,129.87,105,28,1997-02-25,CAN,CAN,76,205,-,-,-,-,1,0.767
2024-2025,Lukas Dostal,ANA,G,32.0,25.0,47.0,41.0,10.0,46.0,Starter,53,0.902,3.12,166.28,156,25,2000-06-22,CZE,CZE,74,174,2018,3,23,85,1,0.813
2024-2025,Mackenzie Blackwood,"COL, SJS",G,15.0,34.0,5.0,12.0,43.0,18.0,Starter,56,0.911,2.55,158.24,137,28,1996-12-09,CAN,CAN,76,225,2015,2,12,42,1,2.35
2024-2025,Marc-Andre Fleury,MIN,G,55.0,39.0,67.0,49.0,25.0,58.0,Backup,26,0.898,2.93,57.62,68,40,1984-11-28,CAN,CAN,74,185,2003,1,1,1,1,2.5
2024-2025,Marcus Hogberg,NYI,G,67.0,65.0,61.0,68.0,30.0,67.0,Backup,15,0.878,3.38,34.29,41,30,1994-11-25,SWE,SWE,77,222,2013,3,17,78,2,0.775
2024-2025,Petr Mrazek,"CHI, DET",G,49.0,52.0,41.0,22.0,34.0,54.0,1B,38,0.891,3.35,104.56,116,33,1992-02-14,CZE,CZE,74,188,2010,5,21,141,2,4.25
2024-2025,Philipp Grubauer,SEA,G,63.0,64.0,21.0,56.0,58.0,57.0,Backup,26,0.875,3.49,68.18,85,33,1991-11-25,DEU,DEU,73,188,2010,4,22,112,2,5.9
2024-2025,Pyotr Kochetkov,CAR,G,12.0,45.0,2.0,26.0,48.0,2.0,1A,47,0.897,2.6,125.2,121,26,1999-06-25,RUS,RUS,75,205,2019,2,5,36,3,2.0
2024-2025,Sam Montembeault,MTL,G,11.0,13.0,13.0,19.0,29.0,33.0,Starter,62,0.901,2.82,191.95,166,28,1996-10-30,CAN,CAN,75,214,2015,3,16,77,3,3.15
2024-2025,Samuel Ersson,PHI,G,64.0,63.0,28.0,57.0,62.0,64.0,1A,47,0.883,3.14,113.08,136,25,1999-10-20,SWE,SWE,74,176,2018,5,19,143,2,1.45
2024-2025,Scott Wedgewood,"COL, NSH",G,28.0,14.0,55.0,44.0,16.0,12.0,Backup,24,0.908,2.32,55.16,53,33,1992-08-14,CAN,CAN,74,205,2010,3,24,84,2,1.5
2024-2025,Sergei Bobrovsky,FLA,G,18.0,15.0,36.0,47.0,7.0,22.0,Starter,54,0.906,2.44,133.18,130,36,1988-09-20,RUS,RUS,74,182,-,-,-,-,2,10.0
2024-2025,Spencer Knight,"CHI, FLA",G,39.0,33.0,58.0,60.0,63.0,3.0,1B,38,0.901,2.72,105.1,100,24,2001-04-19,USA,USA,75,192,2019,1,13,13,2,4.5
2024-2025,Stuart Skinner,EDM,G,23.0,29.0,35.0,14.0,22.0,36.0,Starter,50,0.897,2.79,136.47,135,26,1998-11-01,CAN,CAN,76,206,2017,3,16,78,2,2.6
2024-2025,Thatcher Demko,VAN,G,22.0,9.0,29.0,46.0,15.0,30.0,Backup,23,0.889,2.9,63.55,63,29,1995-12-08,USA,USA,76,192,2014,2,6,36,2,5.0
2024-2025,Tristan Jarry,PIT,G,43.0,44.0,34.0,8.0,40.0,59.0,1B,36,0.892,3.12,95.71,105,30,1995-04-29,CAN,CAN,74,194,2013,2,14,44,4,5.375
2024-2025,Ukko-Pekka Luukkonen,BUF,G,45.0,49.0,32.0,45.0,32.0,47.0,Starter,55,0.887,3.2,151.93,169,26,1999-03-09,FIN,FIN,77,217,2017,2,23,54,5,4.75
2024-2025,Ville Husso,"ANA, DET",G,61.0,40.0,59.0,66.0,39.0,45.0,Backup,13,0.89,3.47,30.76,37,30,1995-02-06,FIN,FIN,75,200,2014,4,4,94,1,4.75
2024-2025,Vitek Vanecek,"FLA, SJS",G,62.0,59.0,25.0,10.0,47.0,66.0,Backup,25,0.884,3.62,71.25,84,29,1996-01-09,CZE,CZE,74,184,2014,2,9,39,1,3.4
2024-2025,Yaroslav Askarov,SJS,G,44.0,50.0,43.0,53.0,59.0,41.0,Backup,13,0.896,3.1,39.23,37,23,2002-06-16,RUS,RUS,75,178,2020,1,11,11,1,0.925
