Season,Player,Team,Position,all_rank,evs_rank,gpk_rank,ldg_rank,mdg_rank,hdg_rank,Role,GP,SV%,GAA,xG Against,Goals Against,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Contract Years,Cap Hit
2017-2018,Aaron Dell,SJS,G,29.0,27.0,32.0,12.0,23.0,54.0,Backup,29,0.913,2.64,66.26,67,36,1989-05-04,CAN,CAN,72,213,-,-,-,-,,
2017-2018,Al Montoya,"EDM, MTL",G,55.0,25.0,67.0,54.0,56.0,38.0,Backup,13,0.893,3.21,30.15,37,40,1985-02-13,USA,USA,74,200,2004,1,6,6,,
2017-2018,Alex Stalock,MIN,G,63.0,63.0,25.0,47.0,59.0,63.0,Backup,28,0.91,2.85,63.0,71,37,1987-07-28,USA,USA,71,170,2005,4,21,112,,
2017-2018,Anders Nilsson,VAN,G,37.0,29.0,49.0,22.0,34.0,36.0,Backup,27,0.901,3.44,70.28,84,35,1990-03-19,SWE,SWE,78,232,2009,3,1,62,,
2017-2018,Andrei Vasilevskiy,TBL,G,31.0,24.0,42.0,57.0,24.0,8.0,Starter,65,0.92,2.62,151.26,167,30,1994-07-25,RUS,RUS,76,220,2012,1,19,19,,
2017-2018,Anton Forsberg,CHI,G,60.0,67.0,55.0,63.0,63.0,53.0,1B,35,0.908,2.97,77.11,85,32,1992-11-27,SWE,SWE,75,193,2011,7,7,188,,
2017-2018,Anton Khudobin,BOS,G,45.0,54.0,34.0,11.0,50.0,55.0,Backup,31,0.913,2.56,74.12,76,39,1986-05-07,KAZ,RUS,71,210,2004,7,13,206,,
2017-2018,Antti Niemi,"FLA, MTL, PIT",G,48.0,30.0,63.0,17.0,38.0,60.0,Backup,24,0.911,3.12,65.03,63,41,1983-08-29,FIN,FIN,74,209,-,-,-,-,,
2017-2018,Antti Raanta,ARI,G,2.0,3.0,23.0,4.0,5.0,9.0,1A,47,0.93,2.26,120.97,97,36,1989-05-12,FIN,FIN,72,195,-,-,-,-,,
2017-2018,Ben Bishop,DAL,G,22.0,23.0,16.0,48.0,46.0,5.0,Starter,53,0.916,2.49,122.49,120,38,1986-11-21,USA,USA,79,210,2005,3,24,85,,
2017-2018,Braden Holtby,WSH,G,15.0,13.0,29.0,1.0,26.0,50.0,Starter,54,0.907,2.99,153.29,153,35,1989-09-16,CAN,CAN,73,215,2008,4,2,93,,
2017-2018,Brian Elliott,PHI,G,28.0,10.0,50.0,16.0,19.0,42.0,1A,43,0.909,2.69,107.92,112,40,1985-04-09,CAN,CAN,74,221,2003,9,30,291,,
2017-2018,Cam Talbot,EDM,G,19.0,26.0,31.0,15.0,22.0,31.0,Starter,67,0.908,3.04,180.04,188,38,1987-07-05,CAN,CAN,76,201,-,-,-,-,,
