Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,zon_rank,plm_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Contract Years,Cap Hit
2023-2024,A.J. Greer,CGY,LW,381.0,149.0,,,399.0,186.0,281.0,336.0,404.0,383.0,431.0,53.0,,419.0,Bottom 6,59,521.06666666667,6,3,28.0,1996-12-14,CAN,CAN,75.0,208.0,2015,2,9,39,,
2023-2024,Adam Erne,EDM,LW,437.0,114.0,296.0,209.0,403.0,121.0,429.0,410.0,136.0,396.0,220.0,19.0,,431.0,Fringe,24,187.65,1,1,30.0,1995-04-20,USA,USA,73.0,212.0,2013,2,3,33,,
2023-2024,Adam Fantilli,CBJ,C,187.0,436.0,225.0,,366.0,439.0,127.0,215.0,190.0,176.0,365.0,231.0,168.0,198.0,Second Line,49,769.8,12,10,20.0,2004-10-12,CAN,,74.0,194.0,2023,1,3,3,,
2023-2024,Adam Henrique,"ANA, EDM",C,171.0,308.0,93.0,119.0,278.0,347.0,230.0,88.0,248.0,190.0,260.0,306.0,44.0,110.0,Second Line,82,1381.6333333333,24,15,35.0,1990-02-06,CAN,CAN,72.0,195.0,2008,3,21,82,,
2023-2024,Adam Lowry,WPG,C,279.0,51.0,272.0,66.0,176.0,76.0,343.0,334.0,417.0,212.0,182.0,86.0,67.0,238.0,Second Line,81,1304.4333333333,12,15,32.0,1993-03-29,USA,USA,78.0,208.0,2011,3,6,67,,
2023-2024,Adam Ruzicka,"ARI, CGY",C,271.0,160.0,210.0,,242.0,111.0,277.0,298.0,117.0,154.0,218.0,317.0,93.0,359.0,Bottom 6,42,421.13333333333,3,4,26.0,1999-05-11,SVK,SVK,76.0,215.0,2017,4,16,109,,
2023-2024,Adrian Kempe,LAK,RW,51.0,228.0,54.0,55.0,107.0,119.0,32.0,36.0,210.0,107.0,216.0,188.0,,42.0,First Line,77,1457.9166666667,28,25,28.0,1996-09-13,SWE,SWE,74.0,200.0,2014,1,29,29,,
2023-2024,Aleksander Barkov,FLA,C,33.0,26.0,19.0,12.0,16.0,29.0,92.0,95.0,208.0,10.0,106.0,289.0,15.0,20.0,First Line,73,1433.4833333333,23,35,29.0,1995-09-02,FIN,FIN,75.0,215.0,2013,1,2,2,,
2023-2024,Alex Barre-Boulet,TBL,C,391.0,442.0,,,296.0,429.0,328.0,237.0,199.0,444.0,410.0,286.0,,404.0,Bottom 6,36,402.8,6,2,28.0,1997-05-21,CAN,CAN,70.0,180.0,-,-,-,-,,
2023-2024,Alex DeBrincat,DET,RW,96.0,289.0,55.0,,222.0,300.0,40.0,79.0,115.0,51.0,50.0,271.0,,54.0,Second Line,82,1467.15,27,26,27.0,1997-12-18,USA,USA,68.0,178.0,2016,2,9,39,,
2023-2024,Alex Iafallo,WPG,LW,218.0,74.0,114.0,64.0,123.0,87.0,202.0,264.0,142.0,229.0,92.0,397.0,,199.0,Bottom 6,82,1255.7,11,10,31.0,1993-12-21,USA,USA,72.0,200.0,-,-,-,-,,
2023-2024,Alex Kerfoot,ARI,C,368.0,312.0,222.0,132.0,269.0,394.0,454.0,402.0,428.0,178.0,405.0,341.0,162.0,241.0,Second Line,82,1429.6,13,21,30.0,1994-08-11,CAN,CAN,71.0,186.0,2012,5,29,150,,
2023-2024,Alex Killorn,ANA,"C, LW",147.0,391.0,149.0,41.0,152.0,277.0,228.0,119.0,206.0,148.0,390.0,256.0,,130.0,First Line,63,1180.1166666667,18,14,35.0,1989-09-14,CAN,CAN,73.0,194.0,2007,3,16,77,,
2023-2024,Alex Laferriere,LAK,RW,299.0,386.0,,,295.0,334.0,183.0,361.0,315.0,397.0,436.0,171.0,,353.0,Bottom 6,81,1070.8333333333,12,7,23.0,2001-10-28,USA,USA,72.0,173.0,2020,3,21,83,,
2023-2024,Alex Newhook,MTL,C,217.0,265.0,174.0,,248.0,267.0,308.0,172.0,266.0,272.0,214.0,326.0,115.0,206.0,Second Line,55,930.95,15,7,24.0,2001-01-28,CAN,CAN,70.0,190.0,2019,1,16,16,,
2023-2024,Alex Ovechkin,WSH,LW,53.0,455.0,46.0,,153.0,413.0,7.0,19.0,1.0,88.0,276.0,126.0,,23.0,First Line,79,1518.4666666667,31,21,39.0,1985-09-17,RUS,RUS,75.0,238.0,2004,1,1,1,,
2023-2024,Alex Tuch,BUF,RW,28.0,180.0,130.0,18.0,82.0,345.0,96.0,89.0,24.0,65.0,238.0,321.0,,43.0,First Line,75,1462.7833333333,22,20,29.0,1996-05-10,USA,USA,76.0,219.0,2014,1,18,18,,
2023-2024,Alexander Barabanov,SJS,LW,287.0,453.0,167.0,,161.0,425.0,338.0,382.0,263.0,197.0,230.0,367.0,,245.0,Second Line,46,730.13333333333,4,3,31.0,1994-06-17,RUS,RUS,70.0,195.0,-,-,-,-,,
2023-2024,Alexander Holtz,NJD,RW,207.0,427.0,230.0,,317.0,356.0,238.0,195.0,205.0,402.0,440.0,370.0,,366.0,Bottom 6,82,954.06666666667,16,6,23.0,2002-01-23,SWE,SWE,72.0,195.0,2020,1,7,7,,
2023-2024,Alexander Nylander,"CBJ, PIT",LW,156.0,462.0,,,92.0,462.0,128.0,72.0,324.0,412.0,429.0,439.0,,171.0,Second Line,28,454.96666666667,11,2,27.0,1998-03-02,CAN,CAN,73.0,192.0,2016,1,8,8,,
2023-2024,Alexander Wennberg,"NYR, SEA",C,420.0,230.0,,,228.0,317.0,465.0,439.0,424.0,391.0,350.0,423.0,166.0,326.0,Second Line,79,1421.1166666667,10,11,30.0,1994-09-22,SWE,SWE,74.0,190.0,2013,1,14,14,,
2023-2024,Alexandre Texier,CBJ,C,250.0,456.0,,97.0,201.0,453.0,336.0,213.0,411.0,239.0,409.0,351.0,,273.0,Bottom 6,78,1184.1,12,11,25.0,1999-09-13,FRA,FRA,73.0,186.0,2017,2,14,45,,
2023-2024,Alexey Toropchenko,STL,RW,397.0,322.0,,92.0,455.0,386.0,330.0,241.0,375.0,423.0,296.0,93.0,,345.0,Bottom 6,82,1026.8,14,5,26.0,1999-06-25,RUS,RUS,78.0,222.0,2017,4,20,113,,
2023-2024,Alexis Lafreniere,NYR,LW,119.0,226.0,160.0,,95.0,185.0,136.0,114.0,33.0,195.0,138.0,186.0,,152.0,Second Line,82,1415.9,28,20,23.0,2001-10-11,CAN,CAN,73.0,195.0,2020,1,1,1,,
