Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,zon_rank,plm_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Contract Years,Cap Hit
2019-2020,Adam Erne,DET,LW,389.0,90.0,,,400.0,42.0,273.0,381.0,274.0,393.0,288.0,25.0,,391.0,Bottom 6,56,661.68333333333,2,3,30,1995-04-20,USA,USA,73,212,2013,2,3,33,,
2019-2020,Adam Gaudette,VAN,C,316.0,389.0,184.0,,338.0,404.0,316.0,206.0,62.0,263.0,348.0,270.0,142.0,286.0,Bottom 6,59,730.63333333333,12,7,28,1996-10-03,USA,USA,73,194,2015,5,28,149,,
2019-2020,Adam Henrique,ANA,C,161.0,225.0,116.0,169.0,251.0,297.0,190.0,79.0,183.0,185.0,189.0,248.0,34.0,127.0,Second Line,71,1197.5666666667,26,11,35,1990-02-06,CAN,CAN,72,195,2008,3,21,82,,
2019-2020,Adam Lowry,WPG,"C, LW",361.0,52.0,,42.0,321.0,85.0,334.0,354.0,396.0,391.0,133.0,36.0,10.0,297.0,Bottom 6,49,733.11666666667,4,3,32,1993-03-29,USA,USA,78,208,2011,3,6,67,,
2019-2020,Adrian Kempe,LAK,"C, LW",268.0,180.0,131.0,159.0,119.0,67.0,182.0,259.0,113.0,187.0,278.0,192.0,117.0,216.0,Second Line,69,1104.8333333333,11,14,28,1996-09-13,SWE,SWE,74,200,2014,1,29,29,,
2019-2020,Aleksander Barkov,FLA,C,72.0,251.0,56.0,96.0,118.0,308.0,167.0,103.0,209.0,25.0,11.0,423.0,23.0,22.0,First Line,66,1320.9833333333,20,22,29,1995-09-02,FIN,FIN,75,215,2013,1,2,2,,
2019-2020,Alex Chiasson,EDM,RW,346.0,276.0,197.0,208.0,284.0,242.0,278.0,143.0,200.0,226.0,335.0,197.0,,226.0,Bottom 6,65,853.03333333333,11,7,34,1990-10-01,CAN,CAN,76,208,2009,2,8,38,,
2019-2020,Alex DeBrincat,CHI,"LW, RW",73.0,403.0,53.0,,232.0,389.0,33.0,35.0,52.0,95.0,59.0,342.0,,67.0,Second Line,70,1224.5666666667,18,19,27,1997-12-18,USA,USA,68,178,2016,2,9,39,,
2019-2020,Alex Galchenyuk,"MIN, PIT",C,242.0,323.0,62.0,,262.0,293.0,115.0,174.0,31.0,82.0,243.0,239.0,199.0,174.0,Bottom 6,59,725.75,8,12,31,1994-02-12,USA,USA,73,194,2012,1,3,3,,
2019-2020,Alex Iafallo,LAK,LW,275.0,132.0,200.0,168.0,247.0,168.0,252.0,234.0,268.0,197.0,182.0,286.0,,160.0,First Line,70,1324.9333333333,17,16,31,1993-12-21,USA,USA,72,200,-,-,-,-,,
2019-2020,Alex Killorn,TBL,"C, LW",74.0,168.0,120.0,55.0,114.0,53.0,208.0,83.0,229.0,149.0,292.0,237.0,,146.0,Second Line,68,1218.9166666667,26,12,35,1989-09-14,CAN,CAN,73,194,2007,3,16,77,,
2019-2020,Alex Nylander,CHI,LW,197.0,427.0,229.0,,261.0,422.0,298.0,284.0,382.0,244.0,327.0,377.0,,329.0,Bottom 6,65,788.78333333333,10,9,27,1998-03-02,CAN,CAN,73,192,2016,1,8,8,,
2019-2020,Alex Ovechkin,WSH,LW,7.0,423.0,42.0,,215.0,391.0,2.0,2.0,77.0,123.0,219.0,88.0,,5.0,First Line,68,1404.1166666667,48,13,39,1985-09-17,RUS,RUS,75,238,2004,1,1,1,,
