Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,zon_rank,plm_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Contract Years,Cap Hit
2018-2019,Adam Erne,TBL,LW,312.0,15.0,,,309.0,7.0,209.0,241.0,125.0,401.0,192.0,25.0,,356.0,Bottom 6,65,685.63333333333,7,6,30,1995-04-20,USA,USA,73,212,2013,2,3,33,,
2018-2019,Adam Gaudette,VAN,C,407.0,399.0,228.0,,420.0,407.0,397.0,392.0,167.0,380.0,328.0,229.0,172.0,424.0,Bottom 6,56,613.15,5,4,28,1996-10-03,USA,USA,73,194,2015,5,28,149,,
2018-2019,Adam Henrique,ANA,C,300.0,149.0,86.0,50.0,280.0,275.0,323.0,145.0,135.0,166.0,163.0,273.0,64.0,135.0,Second Line,82,1349.0,18,15,35,1990-02-06,CAN,CAN,72,195,2008,3,21,82,,
2018-2019,Adam Lowry,WPG,C,222.0,6.0,280.0,28.0,173.0,5.0,344.0,239.0,370.0,309.0,76.0,37.0,6.0,240.0,Bottom 6,78,1141.7833333333,12,5,32,1993-03-29,USA,USA,78,208,2011,3,6,67,,
2018-2019,Adrian Kempe,LAK,C,260.0,227.0,201.0,,160.0,104.0,266.0,230.0,62.0,269.0,312.0,176.0,110.0,276.0,Bottom 6,81,1174.5166666667,12,8,28,1996-09-13,SWE,SWE,74,200,2014,1,29,29,,
2018-2019,Aleksander Barkov,FLA,C,57.0,190.0,81.0,32.0,107.0,277.0,189.0,85.0,322.0,31.0,6.0,432.0,28.0,18.0,First Line,82,1833.0166666667,35,37,29,1995-09-02,FIN,FIN,75,215,2013,1,2,2,,
2018-2019,Alex Chiasson,EDM,RW,327.0,267.0,246.0,194.0,339.0,290.0,363.0,128.0,233.0,226.0,272.0,204.0,,228.0,Second Line,73,1238.8333333333,22,13,34,1990-10-01,CAN,CAN,76,208,2009,2,8,38,,
2018-2019,Alex DeBrincat,CHI,"LW, RW",74.0,422.0,169.0,,216.0,413.0,75.0,10.0,148.0,155.0,253.0,408.0,,76.0,Second Line,82,1451.4,41,17,27,1997-12-18,USA,USA,68,178,2016,2,9,39,,
2018-2019,Alex Galchenyuk,ARI,C,236.0,391.0,55.0,,180.0,395.0,74.0,112.0,9.0,103.0,238.0,308.0,178.0,109.0,Second Line,72,1132.6333333333,19,12,31,1994-02-12,USA,USA,73,194,2012,1,3,3,,
2018-2019,Alex Iafallo,LAK,LW,353.0,223.0,241.0,,321.0,258.0,297.0,320.0,354.0,332.0,330.0,281.0,,242.0,Second Line,82,1380.0333333333,15,10,31,1993-12-21,USA,USA,72,200,-,-,-,-,,
