Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,zon_rank,plm_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Contract Years,Cap Hit
2024-2025,A.J. Greer,FLA,LW,268.0,51.0,,,277.0,41.0,209.0,333.0,221.0,227.0,425.0,25.0,,394.0,Bottom 6,81,777.05,6,10,28,1996-12-14,CAN,CAN,75,208,2015,2,9,39,,
2024-2025,Aatu Raty,VAN,C,294.0,244.0,,,334.0,131.0,383.0,123.0,343.0,406.0,439.0,54.0,156.0,380.0,Bottom 6,33,351.68333333333,7,2,22,2002-11-14,FIN,FIN,74,190,2021,2,20,52,,
2024-2025,Adam Edstrom,NYR,C,427.0,261.0,,,447.0,379.0,417.0,362.0,448.0,418.0,379.0,75.0,,420.0,Bottom 6,51,472.95,5,3,24,2000-10-12,SWE,SWE,79,220,2019,6,6,161,,
2024-2025,Adam Fantilli,CBJ,C,106.0,412.0,195.0,,311.0,407.0,110.0,90.0,79.0,201.0,189.0,224.0,144.0,124.0,Second Line,82,1433.1833333333,31,14,20,2004-10-12,CAN,,74,194,2023,1,3,3,,
2024-2025,Adam Gaudette,OTT,RW,218.0,283.0,221.0,,321.0,235.0,297.0,86.0,92.0,428.0,434.0,243.0,159.0,362.0,Bottom 6,81,844.21666666667,19,4,28,1996-10-03,USA,USA,73,194,2015,5,28,149,,
2024-2025,Adam Henrique,EDM,C,259.0,170.0,134.0,74.0,291.0,285.0,298.0,179.0,315.0,292.0,268.0,275.0,29.0,168.0,Bottom 6,80,1186.1666666667,12,5,35,1990-02-06,CAN,CAN,72,195,2008,3,21,82,,
2024-2025,Adam Klapka,CGY,RW,101.0,128.0,,,349.0,350.0,159.0,126.0,312.0,196.0,448.0,15.0,,312.0,Bottom 6,31,299.21666666667,6,4,24,2000-09-14,CZE,CZE,80,235,-,-,-,-,,
2024-2025,Adam Lowry,WPG,C,258.0,59.0,286.0,64.0,198.0,83.0,326.0,248.0,431.0,235.0,168.0,108.0,62.0,209.0,Bottom 6,73,1126.2666666667,16,8,32,1993-03-29,USA,USA,78,208,2011,3,6,67,,
2024-2025,Adrian Kempe,LAK,RW,34.0,222.0,52.0,44.0,144.0,109.0,33.0,30.0,195.0,54.0,193.0,212.0,,32.0,First Line,81,1551.5833333333,35,27,28,1996-09-13,SWE,SWE,74,200,2014,1,29,29,,
2024-2025,Akil Thomas,LAK,C,443.0,94.0,,,398.0,111.0,425.0,443.0,390.0,438.0,382.0,102.0,,439.0,Bottom 6,25,247.85,1,1,25,2000-01-02,CAN,CAN,72,171,2018,2,20,51,,
2024-2025,Aleksander Barkov,FLA,C,45.0,5.0,16.0,33.0,11.0,8.0,141.0,144.0,149.0,13.0,111.0,252.0,16.0,24.0,First Line,67,1357.2833333333,20,27,29,1995-09-02,FIN,FIN,75,215,2013,1,2,2,6.0,10.0
2024-2025,Alex DeBrincat,DET,RW,64.0,294.0,31.0,,184.0,310.0,29.0,27.0,131.0,47.0,25.0,339.0,,47.0,Second Line,82,1465.4333333333,39,23,27,1997-12-18,USA,USA,68,178,2016,2,9,39,,
2024-2025,Alex Iafallo,WPG,LW,265.0,7.0,75.0,58.0,225.0,21.0,247.0,236.0,231.0,208.0,119.0,335.0,,227.0,Bottom 6,82,1089.05,15,12,31,1993-12-21,USA,USA,72,200,-,-,-,-,,
