Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,zon_rank,plm_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Contract Years,Cap Hit
2021-2022,Adam Brooks,"MTL, VGK, WPG",C,455.0,388.0,,,440.0,401.0,471.0,399.0,348.0,459.0,402.0,363.0,,466.0,Bottom 6,25,223.7,2,1,29,1996-05-06,CAN,CAN,72,179,2016,4,1,92,,
2021-2022,Adam Erne,DET,LW,399.0,271.0,216.0,,419.0,306.0,294.0,332.0,340.0,347.0,334.0,65.0,,311.0,Bottom 6,79,1057.3666666667,6,9,30,1995-04-20,USA,USA,73,212,2013,2,3,33,,
2021-2022,Adam Gaudette,"CHI, OTT",C,308.0,363.0,234.0,,378.0,411.0,105.0,318.0,51.0,297.0,233.0,213.0,204.0,299.0,Bottom 6,58,656.53333333333,5,5,28,1996-10-03,USA,USA,73,194,2015,5,28,149,,
2021-2022,Adam Henrique,ANA,C,99.0,207.0,101.0,,159.0,302.0,155.0,77.0,229.0,147.0,211.0,352.0,25.0,113.0,Second Line,58,1010.3333333333,19,15,35,1990-02-06,CAN,CAN,72,195,2008,3,21,82,,
2021-2022,Adam Lowry,WPG,"C, LW",360.0,201.0,214.0,69.0,349.0,261.0,332.0,301.0,376.0,373.0,63.0,44.0,44.0,271.0,Bottom 6,79,1222.95,13,6,32,1993-03-29,USA,USA,78,208,2011,3,6,67,,
2021-2022,Adam Ruzicka,CGY,C,146.0,256.0,,,256.0,195.0,315.0,185.0,277.0,181.0,435.0,234.0,173.0,375.0,Bottom 6,28,286.26666666667,5,4,26,1999-05-11,SVK,SVK,76,215,2017,4,16,109,,
2021-2022,Adrian Kempe,LAK,"C, LW",161.0,371.0,36.0,84.0,102.0,289.0,52.0,74.0,232.0,217.0,248.0,237.0,223.0,104.0,First Line,78,1449.5333333333,35,8,28,1996-09-13,SWE,SWE,74,200,2014,1,29,29,,
2021-2022,Aleksander Barkov,FLA,C,13.0,48.0,34.0,59.0,11.0,81.0,59.0,12.0,145.0,22.0,116.0,403.0,10.0,6.0,First Line,67,1360.3166666667,39,26,29,1995-09-02,FIN,FIN,75,215,2013,1,2,2,,
2021-2022,Alex Chiasson,VAN,RW,363.0,275.0,47.0,,371.0,224.0,208.0,130.0,193.0,312.0,322.0,186.0,,283.0,Bottom 6,67,778.88333333333,13,7,34,1990-10-01,CAN,CAN,76,208,2009,2,8,38,,
2021-2022,Alex DeBrincat,CHI,LW,101.0,355.0,68.0,,296.0,349.0,50.0,17.0,57.0,113.0,26.0,281.0,,25.0,First Line,82,1710.2166666667,41,19,27,1997-12-18,USA,USA,68,178,2016,2,9,39,,
2021-2022,Alex Formenton,OTT,LW,281.0,424.0,252.0,148.0,385.0,432.0,225.0,189.0,271.0,395.0,288.0,188.0,,260.0,Bottom 6,79,1220.6833333333,18,8,25,1999-09-13,CAN,CAN,75,195,2017,2,16,47,,
2021-2022,Alex Galchenyuk,ARI,C,241.0,461.0,298.0,,284.0,454.0,175.0,335.0,194.0,163.0,445.0,163.0,192.0,272.0,Bottom 6,60,789.21666666667,6,7,31,1994-02-12,USA,USA,73,194,2012,1,3,3,,
