Player,Team,GP,TOI,Shots Against,Saves,Goals Against,SV%,GAA,GSAA,xG Against,HD Shots Against,HD Saves,HD Goals Against,HDSV%,HDGAA,HDGSAA,MD Shots Against,MD Saves,MD Goals Against,MDSV%,MDGAA,MDGSAA,LD Shots Against,LD Saves,LD Goals Against,LDSV%,LDGAA,LDGSAA,Rush Attempts Against,Rebound Attempts Against,Avg. Shot Distance,Avg. Goal Distance
Aaron Dell,BUF,12,43.016666666667,45,33,12,0.733,16.74,-5.92,6.48,16,8,8,0.500,11.16,-4.48,14,11,3,0.786,4.18,-1.02,14,13,1,0.929,1.39,0.00,1,6,27.16,17.67
Adam Huska,NYR,1,5.8333333333333,4,3,1,0.750,10.29,-0.46,0.81,0,0,0,-,0.00,0.00,3,2,1,0.667,10.29,-0.58,1,1,0,1.000,0.00,0.07,0,0,38.00,38.00
Adin Hill,SJS,25,96.633333333333,77,65,12,0.844,7.45,-1.59,8.54,18,13,5,0.722,3.10,-1.04,30,24,6,0.800,3.73,-1.76,29,28,1,0.966,0.62,1.06,1,6,31.57,21.75
Akira Schmid,NJD,6,12.333333333333,5,4,1,0.800,4.86,-0.32,0.65,1,0,1,0.000,4.86,-0.78,2,2,0,1.000,0.00,0.28,2,2,0,1.000,0.00,0.14,0,0,32.80,9.00
Alex Lyon,CAR,2,11.85,11,10,1,0.909,5.06,0.49,1.96,4,3,1,0.750,5.06,-0.12,4,4,0,1.000,0.00,0.57,3,3,0,1.000,0.00,0.21,0,2,23.18,12.00
Alex Nedeljkovic,DET,59,240.46666666667,223,192,31,0.861,7.73,-0.86,30.75,69,56,13,0.812,3.24,2.17,76,63,13,0.829,3.24,-2.26,77,72,5,0.935,1.25,0.48,3,26,28.62,23.90
Alex Stalock,SJS,1,2.5666666666667,2,2,0,1.000,0.00,0.27,0.34,2,2,0,1.000,0.00,0.44,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,1,13.50,-
Alexandar Georgiev,NYR,33,107.21666666667,102,81,21,0.794,11.75,-7.21,13.98,31,22,9,0.710,5.04,-2.19,26,21,5,0.808,2.80,-1.33,45,38,7,0.844,3.92,-3.80,1,16,31.37,27.62
Andrei Vasilevskiy,TBL,63,309.48333333333,270,232,38,0.859,7.37,-1.51,33.87,72,53,19,0.736,3.68,-3.17,87,75,12,0.862,2.33,0.29,111,104,7,0.937,1.36,0.90,2,27,30.47,25.74
Andrew Hammond,"MTL, NJD",11,41.533333333333,41,37,4,0.902,5.78,1.54,6.08,14,10,4,0.714,5.78,-0.92,11,11,0,1.000,0.00,1.55,16,16,0,1.000,0.00,1.14,0,8,29.80,10.75
Anthony Stolarz,ANA,28,125.55,132,121,11,0.917,5.26,6.84,15.81,34,29,5,0.853,2.39,2.47,45,42,3,0.933,1.43,3.36,52,49,3,0.942,1.43,0.70,1,14,30.58,23.82
Anton Forsberg,OTT,46,223.95,243,222,21,0.914,5.63,11.85,30.91,78,66,12,0.846,3.22,5.14,66,60,6,0.909,1.61,3.32,99,96,3,0.970,0.80,4.04,4,33,29.19,20.43
Anton Khudobin,DAL,9,43.333333333333,46,37,9,0.804,12.46,-2.78,4.68,10,6,4,0.600,5.54,-1.80,16,13,3,0.813,4.15,-0.74,20,18,2,0.900,2.77,-0.58,0,1,32.67,27.56
Antti Raanta,CAR,28,136.98333333333,84,73,11,0.869,4.82,0.35,10.98,21,16,5,0.762,2.19,-0.38,27,22,5,0.815,2.19,-1.19,35,34,1,0.971,0.44,1.49,2,9,31.73,20.36
Arvid Soderblom,CHI,3,10.883333333333,25,22,3,0.880,16.54,0.38,2.4,4,3,1,0.750,5.51,-0.12,7,6,1,0.857,5.51,-0.01,13,12,1,0.923,5.51,-0.08,1,3,38.00,31.00
Braden Holtby,DAL,24,106.7,81,67,14,0.827,7.87,-3.05,9.58,13,10,3,0.769,1.69,-0.14,30,21,9,0.700,5.06,-4.76,37,35,2,0.946,1.12,0.63,0,4,33.46,25.29
Brian Elliott,TBL,19,95.55,82,72,10,0.878,6.28,1.08,10.61,29,23,6,0.793,3.77,0.37,26,23,3,0.885,1.88,0.67,27,26,1,0.963,0.63,0.92,0,8,27.16,18.80
Cal Petersen,LAK,37,158.11666666667,140,117,23,0.836,8.73,-4.08,20.92,48,37,11,0.771,4.17,-0.45,48,39,9,0.813,3.42,-2.22,44,41,3,0.932,1.14,0.13,4,26,26.59,20.48
Calvin Pickard,DET,3,11.05,16,12,4,0.750,21.72,-1.84,2.47,7,4,3,0.571,16.29,-1.46,6,5,1,0.833,5.43,-0.15,3,3,0,1.000,0.00,0.21,0,3,22.31,18.00
Cam Talbot,MIN,49,246.55,237,204,33,0.861,8.03,-0.97,27.85,50,35,15,0.700,3.65,-4.01,80,72,8,0.900,1.95,3.30,104,94,10,0.904,2.43,-2.60,2,27,33.47,24.09
Carey Price,MTL,5,24.166666666667,23,21,2,0.913,4.97,1.11,3.21,9,8,1,0.889,2.48,0.98,6,5,1,0.833,2.48,-0.15,8,8,0,1.000,0.00,0.57,0,3,22.43,20.00
