Player,Team,GP,TOI,Shots Against,Saves,Goals Against,SV%,GAA,GSAA,xG Against,HD Shots Against,HD Saves,HD Goals Against,HDSV%,HDGAA,HDGSAA,MD Shots Against,MD Saves,MD Goals Against,MDSV%,MDGAA,MDGSAA,LD Shots Against,LD Saves,LD Goals Against,LDSV%,LDGAA,LDGSAA,Rush Attempts Against,Rebound Attempts Against,Avg. Shot Distance,Avg. Goal Distance
Aaron Dell,NJD,7,24.633333333333,25,18,7,0.720,17.05,-3.61,2.91,9,5,4,0.556,9.74,-1.90,5,2,3,0.400,7.31,-2.29,11,11,0,1.000,0.00,0.74,0,4,34.52,25.57
Adin Hill,ARI,19,67.333333333333,71,65,6,0.915,5.35,3.62,7.99,16,13,3,0.813,2.67,0.73,18,18,0,1.000,0.00,2.56,37,34,3,0.919,2.67,-0.49,0,11,31.69,16.50
Alex Lyon,PHI,6,28.55,28,21,7,0.750,14.71,-3.20,2.85,5,1,4,0.200,8.41,-2.84,6,4,2,0.667,4.20,-1.15,17,16,1,0.941,2.10,0.15,0,1,34.46,21.00
Alex Nedeljkovic,CAR,23,119.68333333333,76,68,8,0.895,4.01,2.30,9.63,18,15,3,0.833,1.50,1.19,25,21,4,0.840,2.01,-0.45,30,29,1,0.967,0.50,1.03,1,9,34.83,19.88
Alexandar Georgiev,NYR,19,73.416666666667,55,49,6,0.891,4.90,1.46,9.29,18,18,0,1.000,0.00,4.19,18,13,5,0.722,4.09,-2.44,19,18,1,0.947,0.82,0.29,2,9,27.65,27.00
Alexei Melnichuk,SJS,3,10.116666666667,8,7,1,0.875,5.93,0.08,1.27,2,2,0,1.000,0.00,0.47,4,3,1,0.750,5.93,-0.43,2,2,0,1.000,0.00,0.14,0,2,25.50,27.00
Andrei Vasilevskiy,TBL,42,241.41666666667,183,161,22,0.880,5.47,2.81,21.42,46,33,13,0.717,3.23,-2.29,56,51,5,0.911,1.24,2.95,79,75,4,0.949,0.99,1.35,1,17,31.86,16.36
Anthony Stolarz,ANA,8,37.966666666667,33,31,2,0.939,3.16,2.47,3.99,11,11,0,1.000,0.00,2.56,3,3,0,1.000,0.00,0.43,19,17,2,0.895,3.16,-0.71,0,6,32.85,39.00
Anton Forsberg,OTT,8,33.55,41,37,4,0.902,7.15,1.56,5.42,16,15,1,0.938,1.79,2.73,9,8,1,0.889,1.79,0.28,16,14,2,0.875,3.58,-0.92,0,7,26.95,22.50
Anton Khudobin,DAL,32,147.93333333333,143,122,21,0.853,8.52,-1.62,17.67,43,31,12,0.721,4.87,-1.99,38,32,6,0.842,2.43,-0.60,60,57,3,0.950,1.22,1.06,2,16,31.43,18.14
Antti Raanta,ARI,12,66.333333333333,69,61,8,0.884,7.24,1.35,9.25,21,16,5,0.762,4.52,-0.11,16,14,2,0.875,1.81,0.27,32,31,1,0.969,0.90,1.17,1,13,32.13,19.75
Braden Holtby,VAN,21,107.53333333333,90,79,11,0.878,6.14,1.20,12.67,25,20,5,0.800,2.79,0.82,36,32,4,0.889,2.23,1.11,29,27,2,0.931,1.12,-0.04,1,16,30.20,19.64
Brian Elliott,PHI,30,118.26666666667,102,87,15,0.853,7.61,-1.17,13.06,30,21,9,0.700,4.57,-2.01,27,25,2,0.926,1.01,1.84,45,41,4,0.911,2.03,-0.95,1,16,31.50,18.73
Cal Petersen,LAK,35,151.91666666667,173,154,19,0.890,7.50,4.45,19.69,36,30,6,0.833,2.37,2.38,49,45,4,0.918,1.58,2.96,88,79,9,0.898,3.55,-3.04,2,20,32.84,29.16
Calvin Pickard,DET,6,16.3,6,6,0,1.000,0.00,0.81,0.95,1,1,0,1.000,0.00,0.23,3,3,0,1.000,0.00,0.43,2,2,0,1.000,0.00,0.14,0,2,29.67,-
Cam Talbot,MIN,33,157.35,143,127,16,0.888,6.10,3.38,16.48,30,25,5,0.833,1.91,1.99,41,32,9,0.780,3.43,-3.18,71,69,2,0.972,0.76,2.81,3,20,34.31,22.31
Carey Price,MTL,25,115.06666666667,126,104,22,0.825,11.47,-4.92,15.67,43,33,10,0.767,5.21,0.01,39,34,5,0.872,2.61,0.54,44,37,7,0.841,3.65,-4.02,0,16,28.76,24.41
Carter Hart,PHI,27,125.76666666667,105,82,23,0.781,10.97,-8.77,14.47,42,28,14,0.667,6.68,-4.22,23,17,6,0.739,2.86,-2.73,39,36,3,0.923,1.43,-0.36,0,17,28.28,17.30
Carter Hutton,BUF,13,48.5,42,37,5,0.881,6.19,0.69,4.78,12,8,4,0.667,4.95,-1.21,10,10,0,1.000,0.00,1.42,19,18,1,0.947,1.24,0.29,0,3,31.88,16.40
Casey DeSmith,PIT,20,93.483333333333,74,62,12,0.838,7.70,-1.97,8.82,28,21,7,0.750,4.49,-0.48,20,17,3,0.850,1.93,-0.16,25,23,2,0.920,1.28,-0.31,1,7,29.84,19.58
Cayden Primeau,MTL,4,12.916666666667,12,10,2,0.833,9.29,-0.37,1.74,3,2,1,0.667,4.65,-0.30,4,4,0,1.000,0.00,0.57,5,4,1,0.800,4.65,-0.66,1,2,28.25,30.00
Chris Driedger,FLA,23,108.76666666667,92,81,11,0.880,6.07,1.47,10.39,15,11,4,0.733,2.21,-0.51,25,21,4,0.840,2.21,-0.45,50,48,2,0.960,1.10,1.39,1,6,34.61,30.18
Christopher Gibson,TBL,2,9.05,7,6,1,0.857,6.63,-0.05,0.6,1,1,0,1.000,0.00,0.23,1,1,0,1.000,0.00,0.14,5,4,1,0.800,6.63,-0.66,0,0,36.43,38.00
Collin Delia,CHI,6,24.216666666667,28,26,2,0.929,4.96,1.80,4.02,7,6,1,0.857,2.48,0.63,11,11,0,1.000,0.00,1.56,10,9,1,0.900,2.48,-0.32,0,4,29.18,29.00
Connor Hellebuyck,WPG,45,196.86666666667,192,169,23,0.880,7.01,3.03,24.07,66,54,12,0.818,3.66,3.37,52,44,8,0.846,2.44,-0.61,71,68,3,0.958,0.91,1.81,0,23,29.58,21.65
Craig Anderson,WSH,4,15.666666666667,7,6,1,0.857,3.83,-0.05,1.02,2,2,0,1.000,0.00,0.47,1,0,1,0.000,3.83,-0.86,4,4,0,1.000,0.00,0.27,0,0,32.86,14.00
Curtis McElhinney,TBL,12,59.833333333333,40,34,6,0.850,6.02,-0.58,5.45,11,10,1,0.909,1.00,1.56,12,11,1,0.917,1.00,0.70,16,13,3,0.813,3.01,-1.92,0,7,33.55,58.67
Dan Vladar,BOS,5,28.933333333333,29,24,5,0.828,10.37,-1.07,2.92,7,4,3,0.571,6.22,-1.37,10,8,2,0.800,4.15,-0.58,12,12,0,1.000,0.00,0.81,0,1,31.24,19.60
Darcy Kuemper,ARI,27,134.05,124,109,15,0.879,6.71,1.81,16.67,34,24,10,0.706,4.48,-2.08,35,32,3,0.914,1.34,1.97,54,52,2,0.963,0.90,1.66,1,20,31.11,19.07
David Rittich,"CGY, TOR",19,77.25,52,42,10,0.808,7.77,-2.95,7.92,16,12,4,0.750,3.11,-0.27,18,14,4,0.778,3.11,-1.44,18,16,2,0.889,1.55,-0.78,1,9,27.94,21.40
Devan Dubnyk,"COL, SJS",22,121.46666666667,113,99,14,0.876,6.92,1.32,11.97,17,14,3,0.824,1.48,0.96,38,31,7,0.816,3.46,-1.60,57,53,4,0.930,1.98,-0.14,1,10,33.60,29.21
Dustin Tokarski,BUF,13,54.483333333333,65,57,8,0.877,8.81,0.81,7.94,20,14,6,0.700,6.61,-1.34,19,18,1,0.947,1.10,1.70,25,24,1,0.960,1.10,0.69,0,8,31.91,20.25
Elvis Merzlikins,CBJ,28,98.083333333333,75,67,8,0.893,4.89,2.17,9.31,19,15,4,0.789,2.45,0.42,27,24,3,0.889,1.84,0.84,28,27,1,0.964,0.61,0.90,0,4,30.53,16.75
Eric Comrie,NJD,1,4.9833333333333,10,8,2,0.800,24.08,-0.64,1.23,3,2,1,0.667,12.04,-0.30,2,2,0,1.000,0.00,0.28,5,4,1,0.800,12.04,-0.66,0,2,32.50,32.00
Filip Gustavsson,OTT,9,44.233333333333,29,26,3,0.897,4.07,0.93,3.84,2,2,0,1.000,0.00,0.47,10,8,2,0.800,2.71,-0.58,17,16,1,0.941,1.36,0.15,0,1,37.03,33.00
Frederik Andersen,TOR,24,116.9,87,69,18,0.793,9.24,-6.21,9.9,23,16,7,0.696,3.59,-1.64,26,17,9,0.654,4.62,-5.31,36,34,2,0.944,1.03,0.44,0,6,33.23,24.00
Hunter Miska,COL,5,21.466666666667,16,12,4,0.750,11.18,-1.83,1.88,5,4,1,0.800,2.80,0.16,1,1,0,1.000,0.00,0.14,10,7,3,0.700,8.39,-2.32,0,1,33.56,31.75
Igor Shesterkin,NYR,35,170.13333333333,145,123,22,0.848,7.76,-2.34,18.1,41,29,12,0.707,4.23,-2.45,41,32,9,0.780,3.17,-3.18,63,62,1,0.984,0.35,3.27,1,15,31.05,20.18
Ilya Samsonov,WSH,19,98.283333333333,70,61,9,0.871,5.49,0.49,8.86,23,18,5,0.783,3.05,0.36,14,11,3,0.786,1.83,-1.01,33,32,1,0.970,0.61,1.23,1,12,32.56,20.33
Ilya Sorokin,NYI,22,77.083333333333,57,51,6,0.895,4.67,1.73,7.81,15,10,5,0.667,3.89,-1.51,13,12,1,0.923,0.78,0.85,29,29,0,1.000,0.00,1.96,0,10,32.77,21.33
Ivan Prosvetov,ARI,3,10.733333333333,6,3,3,0.500,16.77,-2.19,1.08,1,1,0,1.000,0.00,0.23,4,1,3,0.250,16.77,-2.43,1,1,0,1.000,0.00,0.07,0,1,27.83,24.67
Jack Campbell,TOR,22,88.266666666667,69,63,6,0.913,4.08,3.35,9.03,17,14,3,0.824,2.04,0.96,22,21,1,0.955,0.68,2.12,30,28,2,0.933,1.36,0.03,1,11,32.83,29.50
Jacob Markstrom,CGY,43,207.28333333333,173,146,27,0.844,7.82,-3.55,21.56,51,39,12,0.765,3.47,-0.12,66,57,9,0.864,2.61,0.37,55,49,6,0.891,1.74,-2.28,1,15,28.36,20.81
Jake Allen,MTL,29,142.41666666667,129,116,13,0.899,5.48,4.49,14.55,37,32,5,0.865,2.11,3.62,42,36,6,0.857,2.53,-0.03,50,48,2,0.960,0.84,1.39,1,10,31.07,24.46
Jake Oettinger,DAL,29,108.26666666667,81,70,11,0.864,6.10,-0.02,9.64,16,10,6,0.625,3.33,-2.27,25,22,3,0.880,1.66,0.55,39,37,2,0.949,1.11,0.64,0,11,35.42,24.45
James Reimer,CAR,22,143.2,111,95,16,0.856,6.70,-0.95,12.31,34,25,9,0.735,3.77,-1.08,28,24,4,0.857,1.68,-0.02,47,44,3,0.936,1.26,0.18,0,17,32.50,20.50
Jaroslav Halak,BOS,19,98.9,79,73,6,0.924,3.64,4.71,9.14,17,15,2,0.882,1.21,1.96,31,27,4,0.871,2.43,0.40,30,30,0,1.000,0.00,2.03,1,5,34.24,23.50
Jeremy Swayman,BOS,10,52.15,30,27,3,0.900,3.45,1.07,3.05,6,5,1,0.833,1.15,0.40,7,6,1,0.857,1.15,-0.01,16,15,1,0.938,1.15,0.08,1,2,36.97,31.67
Joey Daccord,OTT,8,23.033333333333,22,18,4,0.818,10.42,-1.02,2.95,9,7,2,0.778,5.21,0.10,7,6,1,0.857,2.60,-0.01,6,5,1,0.833,2.60,-0.59,0,2,24.77,21.75
John Gibson,ANA,35,173.8,145,124,21,0.855,7.25,-1.34,18.86,45,34,11,0.756,3.80,-0.52,48,41,7,0.854,2.42,-0.18,52,49,3,0.942,1.04,0.52,0,17,29.06,20.10
Jonas Johansson,"BUF, COL",15,62.8,58,52,6,0.897,5.73,1.86,6.86,17,13,4,0.765,3.82,-0.04,14,13,1,0.929,0.96,0.99,27,26,1,0.963,0.96,0.83,2,8,34.17,27.17
