Player,Team,GP,TOI,Shots Against,Saves,Goals Against,SV%,GAA,GSAA,xG Against,HD Shots Against,HD Saves,HD Goals Against,HDSV%,HDGAA,HDGSAA,MD Shots Against,MD Saves,MD Goals Against,MDSV%,MDGAA,MDGSAA,LD Shots Against,LD Saves,LD Goals Against,LDSV%,LDGAA,LDGSAA,Rush Attempts Against,Rebound Attempts Against,Avg. Shot Distance,Avg. Goal Distance
Malcolm Subban,CBJ,1,5.5,7,6,1,0.857,10.91,-0.03,1.4,3,3,0,1.000,0.00,0.62,1,0,1,0.000,10.91,-0.85,3,3,0,1.000,0.00,0.24,0,1,24.71,20.00
Marc-Andre Fleury,MIN,40,183.46666666667,187,152,35,0.813,11.45,-9.15,26.91,60,42,18,0.700,5.89,-5.53,58,49,9,0.845,2.94,-0.57,69,61,8,0.884,2.62,-2.45,0,41,27.00,20.74
Martin Jones,TOR,22,77.383333333333,85,71,14,0.835,10.86,-2.25,11.34,25,17,8,0.680,6.20,-2.81,25,21,4,0.840,3.10,-0.37,35,33,2,0.943,1.55,0.82,0,11,28.64,19.21
Matt Murray,DAL,1,10.366666666667,7,7,0,1.000,0.00,0.97,1.14,2,2,0,1.000,0.00,0.42,2,2,0,1.000,0.00,0.29,3,3,0,1.000,0.00,0.24,0,2,38.57,-
Matt Tomkins,TBL,6,43.433333333333,39,38,1,0.974,1.38,4.39,5.27,12,12,0,1.000,0.00,2.49,11,10,1,0.909,1.38,0.60,16,16,0,1.000,0.00,1.29,0,9,27.62,37.00
Matt Villalta,ARI,2,4.65,4,3,1,0.750,12.90,-0.45,0.84,0,0,0,-,0.00,0.00,3,2,1,0.667,12.90,-0.56,1,1,0,1.000,0.00,0.08,0,0,21.25,11.00
Michael Hutchinson,DET,1,7.65,11,11,0,1.000,0.00,1.52,1.03,4,4,0,1.000,0.00,0.83,1,1,0,1.000,0.00,0.15,6,6,0,1.000,0.00,0.48,0,1,36.00,-
Nico Daws,NJD,21,81.35,76,63,13,0.829,9.59,-2.50,10.26,26,20,6,0.769,4.43,-0.60,16,15,1,0.938,0.74,1.33,34,28,6,0.824,4.43,-3.26,0,12,31.74,28.31
Petr Mrazek,CHI,56,240.88333333333,201,169,32,0.841,7.97,-4.22,29.59,73,51,22,0.699,5.48,-6.83,57,50,7,0.877,1.74,1.28,70,67,3,0.957,0.75,2.63,1,33,26.24,15.06
Pheonix Copley,LAK,8,44.183333333333,48,44,4,0.917,5.43,2.63,6.95,17,17,0,1.000,0.00,3.53,12,9,3,0.750,4.07,-1.26,19,18,1,0.947,1.36,0.53,0,9,21.48,26.50
Philipp Grubauer,SEA,36,157.53333333333,146,127,19,0.870,7.24,1.18,22.31,35,25,10,0.714,3.81,-2.73,46,42,4,0.913,1.52,2.69,64,59,5,0.922,1.90,0.15,0,30,29.35,20.79
Pyotr Kochetkov,CAR,42,221.65,140,126,14,0.900,3.79,5.35,21.77,56,46,10,0.821,2.71,1.64,32,29,3,0.906,0.81,1.65,51,50,1,0.980,0.27,3.10,2,27,26.69,16.14
Sam Montembeault,MTL,41,224.53333333333,222,196,26,0.883,6.95,4.69,36.72,75,63,12,0.840,3.21,3.58,50,44,6,0.880,1.60,1.27,97,89,8,0.918,2.14,-0.19,0,53,25.99,21.69
Samuel Ersson,PHI,51,222.7,166,143,23,0.861,6.20,-0.06,28.44,54,42,12,0.778,3.23,-0.78,53,44,9,0.830,2.42,-1.30,58,56,2,0.966,0.54,2.67,2,45,27.95,19.83
Scott Wedgewood,DAL,32,130.73333333333,109,93,16,0.853,7.34,-0.93,15.64,24,18,6,0.750,2.75,-1.01,36,28,8,0.778,3.67,-2.77,48,46,2,0.958,0.92,1.86,0,13,31.64,18.25
Semyon Varlamov,NYI,28,114.5,126,108,18,0.857,9.43,-0.58,17.26,35,26,9,0.743,4.72,-1.73,36,30,6,0.833,3.14,-0.77,54,51,3,0.944,1.57,1.35,1,23,30.24,21.17
Sergei Bobrovsky,FLA,58,347.61666666667,280,245,35,0.875,6.04,3.70,36.69,78,62,16,0.795,2.76,0.21,71,61,10,0.859,1.73,0.32,125,116,9,0.928,1.55,1.06,1,46,31.52,23.97
Spencer Martin,"CAR, CBJ",19,85.3,77,63,14,0.818,9.85,-3.36,11.82,33,24,9,0.727,6.33,-2.14,20,18,2,0.900,1.41,0.91,24,21,3,0.875,2.11,-1.07,1,16,25.95,18.50
Stuart Skinner,EDM,59,291.06666666667,247,211,36,0.854,7.42,-1.86,35.63,72,54,18,0.750,3.71,-3.04,83,76,7,0.916,1.44,5.06,91,80,11,0.879,2.27,-3.68,1,43,28.19,22.56
Thatcher Demko,VAN,51,263.98333333333,247,221,26,0.895,5.91,8.14,35.63,74,62,12,0.838,2.73,3.38,74,65,9,0.878,2.05,1.76,97,92,5,0.948,1.14,2.81,0,43,26.76,20.04
Tristan Jarry,PIT,51,231.01666666667,168,144,24,0.857,6.23,-0.78,26.32,46,31,15,0.674,3.90,-5.44,52,46,6,0.885,1.56,1.56,67,64,3,0.955,0.78,2.39,1,33,29.93,17.58
Ukko-Pekka Luukkonen,BUF,54,249.73333333333,231,206,25,0.892,6.01,6.93,31.86,76,66,10,0.868,2.40,5.79,52,46,6,0.885,1.44,1.56,103,94,9,0.913,2.16,-0.71,3,43,29.25,25.48
Ville Husso,DET,19,92.533333333333,94,82,12,0.872,7.78,0.99,16.41,33,29,4,0.879,2.59,2.86,32,27,5,0.844,3.24,-0.35,29,26,3,0.897,1.95,-0.67,0,28,27.10,26.08
Vitek Vanecek,NJD,32,150.03333333333,118,101,17,0.856,6.80,-0.69,19.03,36,25,11,0.694,4.40,-3.52,38,36,2,0.947,0.80,3.52,44,40,4,0.909,1.60,-0.46,0,21,26.45,20.53
Yaroslav Askarov,NSH,2,6,1,1,0,1.000,0.00,0.14,0.47,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,1,1,0,1.000,0.00,0.08,0,3,21.00,-
