Player,Team,GP,TOI,Shots Against,Saves,Goals Against,SV%,GAA,GSAA,xG Against,HD Shots Against,HD Saves,HD Goals Against,HDSV%,HDGAA,HDGSAA,MD Shots Against,MD Saves,MD Goals Against,MDSV%,MDGAA,MDGSAA,LD Shots Against,LD Saves,LD Goals Against,LDSV%,LDGAA,LDGSAA,Rush Attempts Against,Rebound Attempts Against,Avg. Shot Distance,Avg. Goal Distance
Aaron Dell,SJS,4,9.1166666666667,1,1,0,1.000,0.00,0.09,0.29,0,0,0,-,0.00,0.00,1,1,0,1.000,0.00,0.12,0,0,0,-,0.00,0.00,1,1,25.00,-
Adin Hill,VGK,27,95,12,12,0,1.000,0.00,1.09,0.9,1,1,0,1.000,0.00,0.21,1,1,0,1.000,0.00,0.12,5,5,0,1.000,0.00,0.14,5,0,77.92,-
Akira Schmid,NJD,18,66.75,11,11,0,1.000,0.00,1.00,0.78,1,1,0,1.000,0.00,0.21,3,3,0,1.000,0.00,0.37,2,2,0,1.000,0.00,0.05,1,1,87.27,-
Alex Lyon,FLA,15,84.633333333333,15,13,2,0.867,1.42,-0.64,1.03,2,1,1,0.500,0.71,-0.57,4,3,1,0.750,0.71,-0.51,4,4,0,1.000,0.00,0.11,3,0,76.67,17.50
Alex Nedeljkovic,DET,15,85.283333333333,19,16,3,0.842,2.11,-1.28,1.15,5,4,1,0.800,0.70,0.07,5,4,1,0.800,0.70,-0.39,5,4,1,0.800,0.70,-0.86,3,0,52.74,36.67
Alex Stalock,CHI,27,109.18333333333,29,26,3,0.897,1.65,-0.37,2.76,10,7,3,0.700,1.65,-0.86,7,7,0,1.000,0.00,0.85,5,5,0,1.000,0.00,0.14,7,4,52.41,17.67
Alexandar Georgiev,COL,62,306.13333333333,45,43,2,0.956,0.39,2.08,2.82,7,6,1,0.857,0.20,0.50,7,6,1,0.857,0.20,-0.15,8,8,0,1.000,0.00,0.22,11,1,92.16,14.00
Andrei Vasilevskiy,TBL,60,323.65,58,50,8,0.862,1.48,-2.74,5.68,21,15,6,0.714,1.11,-1.51,12,10,2,0.833,0.37,-0.53,10,10,0,1.000,0.00,0.27,7,3,52.69,21.38
Anthony Stolarz,ANA,19,77.5,12,11,1,0.917,0.77,0.09,0.97,3,2,1,0.667,0.77,-0.36,3,3,0,1.000,0.00,0.37,1,1,0,1.000,0.00,0.03,3,0,67.92,5.00
Anton Forsberg,OTT,28,142.81666666667,28,25,3,0.893,1.26,-0.46,2.58,10,8,2,0.800,0.84,0.14,7,6,1,0.857,0.42,-0.15,4,4,0,1.000,0.00,0.11,5,2,57.68,14.33
