Player,Team,GP,TOI,Shots Against,Saves,Goals Against,SV%,GAA,GSAA,xG Against,HD Shots Against,HD Saves,HD Goals Against,HDSV%,HDGAA,HDGSAA,MD Shots Against,MD Saves,MD Goals Against,MDSV%,MDGAA,MDGSAA,LD Shots Against,LD Saves,LD Goals Against,LDSV%,LDGAA,LDGSAA,Rush Attempts Against,Rebound Attempts Against,Avg. Shot Distance,Avg. Goal Distance
Jonathan Quick,LAK,42,205.5,44,44,0,1.000,0.00,3.61,3.11,8,8,0,1.000,0.00,1.76,9,9,0,1.000,0.00,0.74,10,10,0,1.000,0.00,0.34,6,3,77.30,-
Joonas Korpisalo,CBJ,37,183.1,34,29,5,0.853,1.64,-2.21,3.34,18,13,5,0.722,1.64,-1.03,4,4,0,1.000,0.00,0.33,5,5,0,1.000,0.00,0.17,4,3,40.41,10.80
Jordan Binnington,STL,50,221.91666666667,55,51,4,0.927,1.08,0.51,5.13,19,17,2,0.895,0.54,2.19,13,12,1,0.923,0.27,0.07,10,9,1,0.900,0.27,-0.66,8,8,55.22,17.75
Juuse Saros,NSH,40,173.55,34,31,3,0.912,1.04,-0.21,2.26,9,6,3,0.667,1.04,-1.02,4,4,0,1.000,0.00,0.33,8,8,0,1.000,0.00,0.27,3,1,74.59,12.33
Kaapo Kahkonen,MIN,5,20.666666666667,4,4,0,1.000,0.00,0.33,0.08,0,0,0,-,0.00,0.00,1,1,0,1.000,0.00,0.08,0,0,0,-,0.00,0.00,1,0,128.00,-
Kasimir Kaskisuo,TOR,1,4,1,0,1,0.000,15.00,-0.92,0.19,1,0,1,0.000,15.00,-0.78,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,1,0,10.00,10.00
Keith Kinkaid,MTL,6,24.283333333333,6,5,1,0.833,2.47,-0.51,0.53,3,2,1,0.667,2.47,-0.34,1,1,0,1.000,0.00,0.08,0,0,0,-,0.00,0.00,2,1,60.50,23.00
Laurent Brossoit,WPG,19,78.9,18,17,1,0.944,0.76,0.48,1.49,9,8,1,0.889,0.76,0.98,3,3,0,1.000,0.00,0.25,0,0,0,-,0.00,0.00,2,1,56.61,15.00
Linus Ullmark,BUF,34,169.03333333333,33,32,1,0.970,0.35,1.70,2.5,9,8,1,0.889,0.35,0.98,8,8,0,1.000,0.00,0.66,6,6,0,1.000,0.00,0.20,5,0,56.67,7.00
Louis Domingue,"N.J, VAN",17,67.75,15,14,1,0.933,0.89,0.23,1.99,6,5,1,0.833,0.89,0.32,4,4,0,1.000,0.00,0.33,3,3,0,1.000,0.00,0.10,1,1,45.67,16.00
Mackenzie Blackwood,NJD,47,234.85,42,36,6,0.857,1.53,-2.56,3.38,11,8,3,0.727,0.77,-0.58,14,12,2,0.857,0.51,-0.85,4,3,1,0.750,0.26,-0.86,2,3,65.17,22.83
Malcolm Subban,"CHI, VGK",21,87.266666666667,15,14,1,0.933,0.69,0.23,1.26,6,5,1,0.833,0.69,0.32,4,4,0,1.000,0.00,0.33,1,1,0,1.000,0.00,0.03,1,1,58.53,9.00
Marc-Andre Fleury,VGK,49,211.38333333333,24,23,1,0.958,0.28,0.97,1.56,8,7,1,0.875,0.28,0.76,6,6,0,1.000,0.00,0.49,0,0,0,-,0.00,0.00,2,1,70.92,21.00
Marcus Hogberg,OTT,24,104.86666666667,14,13,1,0.929,0.57,0.15,0.77,3,2,1,0.667,0.57,-0.34,1,1,0,1.000,0.00,0.08,3,3,0,1.000,0.00,0.10,3,0,93.21,21.00
Martin Jones,SJS,41,177.3,36,33,3,0.917,1.02,-0.05,2.47,12,10,2,0.833,0.68,0.64,5,4,1,0.800,0.34,-0.59,2,2,0,1.000,0.00,0.07,4,3,80.67,10.33
Matiss Kivlenieks,CBJ,6,17.366666666667,2,2,0,1.000,0.00,0.16,0.17,1,1,0,1.000,0.00,0.22,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,76.00,-
Matt Murray,PIT,38,193.98333333333,36,33,3,0.917,0.93,-0.05,2.55,11,8,3,0.727,0.93,-0.58,9,9,0,1.000,0.00,0.74,5,5,0,1.000,0.00,0.17,8,0,66.92,15.67
Michael Dipietro,VAN,1,1.65,2,2,0,1.000,0.00,0.16,0.2,1,1,0,1.000,0.00,0.22,0,0,0,-,0.00,0.00,1,1,0,1.000,0.00,0.03,0,0,33.00,-
Michael Hutchinson,"COL, TOR",16,63.9,10,9,1,0.900,0.94,-0.18,0.91,2,1,1,0.500,0.94,-0.56,2,2,0,1.000,0.00,0.16,4,4,0,1.000,0.00,0.14,1,1,58.60,12.00
Mike Smith,EDM,39,163.51666666667,31,26,5,0.839,1.83,-2.46,2.36,8,7,1,0.875,0.37,0.76,5,2,3,0.400,1.10,-2.59,7,6,1,0.857,0.37,-0.76,5,0,68.90,22.00
Mikko Koskinen,EDM,38,148,27,24,3,0.889,1.22,-0.79,2.02,5,4,1,0.800,0.41,0.10,8,7,1,0.875,0.41,-0.34,7,6,1,0.857,0.41,-0.76,5,2,56.89,24.00
Oscar Dansk,VGK,1,6.5833333333333,0,0,0,-,0.00,0.00,0,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,-,-
Pavel Francouz,COL,34,168.78333333333,35,35,0,1.000,0.00,2.87,2.12,2,2,0,1.000,0.00,0.44,12,12,0,1.000,0.00,0.99,6,6,0,1.000,0.00,0.20,6,1,80.83,-
Pekka Rinne,NSH,36,192.51666666667,22,18,4,0.818,1.25,-2.20,1.72,6,3,3,0.500,0.93,-1.68,5,4,1,0.800,0.31,-0.59,3,3,0,1.000,0.00,0.10,5,1,71.50,22.00
Petr Mrazek,CAR,40,192.96666666667,25,23,2,0.920,0.62,0.05,1.65,6,5,1,0.833,0.31,0.32,5,4,1,0.800,0.31,-0.59,1,1,0,1.000,0.00,0.03,2,2,85.92,24.50
Philipp Grubauer,COL,36,194.28333333333,34,28,6,0.824,1.85,-3.21,3.07,13,7,6,0.538,1.85,-3.14,2,2,0,1.000,0.00,0.16,5,5,0,1.000,0.00,0.17,8,1,76.88,21.50
Robin Lehner,"CHI, VGK",36,166.78333333333,40,35,5,0.875,1.80,-1.72,3.09,10,6,4,0.600,1.44,-1.80,13,12,1,0.923,0.36,0.07,4,4,0,1.000,0.00,0.14,4,1,63.88,18.20
Ryan Miller,ANA,23,75.966666666667,15,13,2,0.867,1.58,-0.77,1.49,7,6,1,0.857,0.79,0.54,3,3,0,1.000,0.00,0.25,3,2,1,0.667,0.79,-0.90,5,0,45.33,13.00
Sam Montembeault,FLA,14,60.916666666667,10,10,0,1.000,0.00,0.82,0.67,2,2,0,1.000,0.00,0.44,1,1,0,1.000,0.00,0.08,2,2,0,1.000,0.00,0.07,3,0,90.30,-
Semyon Varlamov,NYI,45,182.68333333333,28,25,3,0.893,0.99,-0.71,2.4,9,7,2,0.778,0.66,-0.02,5,4,1,0.800,0.33,-0.59,5,5,0,1.000,0.00,0.17,8,0,62.93,24.33
Sergei Bobrovsky,FLA,50,243.36666666667,53,50,3,0.943,0.74,1.34,4.11,13,12,1,0.923,0.25,1.86,11,10,1,0.909,0.25,-0.10,11,10,1,0.909,0.25,-0.63,4,4,63.28,29.67
Thatcher Demko,VAN,27,129.95,25,24,1,0.960,0.46,1.05,1.74,7,6,1,0.857,0.46,0.54,3,3,0,1.000,0.00,0.25,5,5,0,1.000,0.00,0.17,1,0,77.68,16.00
Thomas Greiss,NYI,31,102.78333333333,14,13,1,0.929,0.58,0.15,1.35,7,6,1,0.857,0.58,0.54,2,2,0,1.000,0.00,0.16,2,2,0,1.000,0.00,0.07,3,1,49.64,16.00
Tristan Jarry,PIT,33,143.68333333333,25,24,1,0.960,0.42,1.05,2.28,7,7,0,1.000,0.00,1.54,6,5,1,0.833,0.42,-0.51,3,3,0,1.000,0.00,0.10,3,2,67.92,28.00
Tuukka Rask,BOS,41,226.33333333333,56,51,5,0.911,1.33,-0.41,4.64,14,10,4,0.714,1.06,-0.92,10,10,0,1.000,0.00,0.82,10,9,1,0.900,0.27,-0.66,13,2,72.07,22.00
