Player,Team,GP,TOI,Shots Against,Saves,Goals Against,SV%,GAA,GSAA,xG Against,HD Shots Against,HD Saves,HD Goals Against,HDSV%,HDGAA,HDGSAA,MD Shots Against,MD Saves,MD Goals Against,MDSV%,MDGAA,MDGSAA,LD Shots Against,LD Saves,LD Goals Against,LDSV%,LDGAA,LDGSAA,Rush Attempts Against,Rebound Attempts Against,Avg. Shot Distance,Avg. Goal Distance
Adin Hill,VGK,50,160.98333333333,151,129,22,0.854,8.20,0.81,21.38,38,32,6,0.842,2.24,2.37,38,28,10,0.737,3.73,-4.02,74,68,6,0.919,2.24,0.86,1,25,29.48,22.68
Akira Schmid,VGK,5,23.3,11,10,1,0.909,2.58,0.66,1.78,5,4,1,0.800,2.58,0.10,3,3,0,1.000,0.00,0.47,3,3,0,1.000,0.00,0.28,0,1,22.09,9.00
Aleksei Kolosov,PHI,17,52.066666666667,52,43,9,0.827,10.37,-1.15,7.8,19,13,6,0.684,6.91,-1.81,11,9,2,0.818,2.30,-0.27,21,20,1,0.952,1.15,0.95,1,9,29.87,18.11
Alex Lyon,DET,30,100.73333333333,95,80,15,0.842,8.93,-0.65,15.36,28,23,5,0.821,2.98,1.17,23,17,6,0.739,3.57,-2.38,44,40,4,0.909,2.38,0.08,0,20,27.48,24.00
Alex Nedeljkovic,PIT,38,157.31666666667,144,124,20,0.861,7.63,1.75,18.42,27,20,7,0.741,2.67,-1.05,56,47,9,0.839,3.43,-0.19,61,57,4,0.934,1.53,1.65,3,23,32.49,22.15
Alexandar Georgiev,"COL, SJS",49,192.96666666667,205,168,37,0.820,11.50,-6.04,33.49,67,55,12,0.821,3.73,2.76,59,51,8,0.864,2.49,1.28,77,60,17,0.779,5.29,-9.86,2,48,26.32,23.51
Andrei Vasilevskiy,TBL,63,279.58333333333,217,190,27,0.876,5.79,5.78,35.32,70,55,15,0.786,3.22,0.42,65,57,8,0.877,1.72,2.22,81,77,4,0.951,0.86,3.51,4,48,27.03,18.63
Anthony Stolarz,TOR,34,188.2,152,132,20,0.868,6.38,2.96,24.17,37,30,7,0.811,2.23,1.15,44,38,6,0.864,1.91,0.92,70,63,7,0.900,2.23,-0.51,0,28,30.05,25.05
Anton Forsberg,OTT,30,123.9,105,85,20,0.810,9.69,-4.14,15.94,30,22,8,0.733,3.87,-1.39,36,29,7,0.806,3.39,-1.34,38,33,5,0.868,2.42,-1.48,3,16,28.82,23.50
Arturs Silovs,VAN,10,45.216666666667,30,26,4,0.867,5.31,0.53,4.12,9,6,3,0.667,3.98,-1.02,3,3,0,1.000,0.00,0.47,17,16,1,0.941,1.33,0.58,1,4,28.90,17.50
Arvid Soderblom,CHI,36,164.81666666667,136,123,13,0.904,4.73,7.54,23.32,45,37,8,0.822,2.91,1.91,35,33,2,0.943,0.73,3.50,56,53,3,0.946,1.09,2.19,2,28,25.51,14.92
Brandon Halverson,TBL,1,2,2,2,0,1.000,0.00,0.30,0.14,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,2,2,0,1.000,0.00,0.19,0,0,32.00,-
Calvin Pickard,EDM,35,130.45,92,75,17,0.815,7.82,-3.10,14.32,17,11,6,0.647,2.76,-2.26,31,25,6,0.806,2.76,-1.12,44,39,5,0.886,2.30,-0.92,2,17,30.48,23.06
Cam Talbot,DET,47,161.96666666667,160,126,34,0.788,12.60,-9.83,24.7,53,35,18,0.660,6.67,-6.33,49,40,9,0.816,3.33,-1.29,58,51,7,0.879,2.59,-1.63,2,24,26.51,19.68
Casey DeSmith,DAL,27,114.05,100,84,16,0.840,8.42,-0.90,15.04,29,24,5,0.828,2.63,1.39,26,22,4,0.846,2.10,0.09,45,38,7,0.844,3.68,-2.83,1,16,30.30,26.50
Cayden Primeau,MTL,11,56.05,46,41,5,0.891,5.35,1.95,7.92,14,13,1,0.929,1.07,2.08,15,14,1,0.933,1.07,1.36,16,13,3,0.813,3.21,-1.52,1,8,31.04,33.60
Charlie Lindgren,WSH,39,194.85,162,143,19,0.883,5.85,5.47,26.62,44,34,10,0.773,3.08,-0.31,33,28,5,0.848,1.54,0.19,84,80,4,0.952,1.23,3.78,2,31,29.49,20.58
Clay Stevenson,WSH,1,3,4,3,1,0.750,20.00,-0.40,0.71,2,2,0,1.000,0.00,0.44,2,1,1,0.500,20.00,-0.69,0,0,0,-,0.00,0.00,0,1,17.50,14.00
Connor Hellebuyck,WPG,63,256.63333333333,214,183,31,0.855,7.25,1.32,36.45,70,58,12,0.829,2.81,3.42,61,52,9,0.852,2.10,0.59,81,71,10,0.877,2.34,-2.49,2,47,28.04,23.45
Connor Ingram,UTA,22,97.483333333333,81,68,13,0.840,8.00,-0.77,16.1,31,27,4,0.871,2.46,2.83,23,17,6,0.739,3.69,-2.38,25,22,3,0.880,1.85,-0.68,2,22,26.77,23.00
