Player,Team,GP,TOI,Shots Against,Saves,Goals Against,SV%,GAA,GSAA,xG Against,HD Shots Against,HD Saves,HD Goals Against,HDSV%,HDGAA,HDGSAA,MD Shots Against,MD Saves,MD Goals Against,MDSV%,MDGAA,MDGSAA,LD Shots Against,LD Saves,LD Goals Against,LDSV%,LDGAA,LDGSAA,Rush Attempts Against,Rebound Attempts Against,Avg. Shot Distance,Avg. Goal Distance
Adin Hill,VGK,35,1655.8833333333,814,742,72,0.912,2.61,0.37,70.63,182,152,30,0.835,1.09,3.53,226,197,29,0.872,1.05,-3.66,369,356,13,0.965,0.47,-1.38,55,153,35.01,20.85
Akira Schmid,NJD,19,755.73333333333,378,340,38,0.899,3.02,-4.39,34.62,109,87,22,0.798,1.75,-1.92,83,72,11,0.867,0.87,-1.69,159,154,5,0.969,0.40,0.01,21,71,34.26,17.18
Alex Lyon,DET,44,2094.2333333333,1105,1007,98,0.911,2.81,0.24,92.28,255,199,56,0.780,1.60,-9.02,305,273,32,0.895,0.92,2.20,499,489,10,0.980,0.29,5.71,45,189,35.69,19.69
Alex Nedeljkovic,PIT,38,1707.4666666667,846,766,80,0.905,2.81,-4.78,74.35,217,166,51,0.765,1.79,-11.02,220,206,14,0.936,0.49,10.67,367,352,15,0.959,0.53,-3.45,47,163,35.05,17.45
Alexandar Georgiev,COL,63,2976.25,1408,1276,132,0.906,2.66,-6.82,121.98,370,297,73,0.803,1.47,-4.83,305,272,33,0.892,0.67,1.20,655,629,26,0.960,0.52,-5.38,80,255,35.61,18.75
Andrei Vasilevskiy,TBL,52,2590.8666666667,1223,1104,119,0.903,2.76,-10.26,105.7,306,245,61,0.801,1.41,-4.62,304,266,38,0.875,0.88,-3.91,549,529,20,0.964,0.46,-2.72,80,221,35.31,20.99
Anthony Stolarz,FLA,27,1220.7666666667,557,524,33,0.941,1.62,16.52,52.91,162,144,18,0.889,0.88,11.85,128,118,10,0.922,0.49,4.35,240,235,5,0.979,0.25,2.56,34,123,34.72,20.03
Anton Forsberg,OTT,30,1304,632,568,64,0.899,2.94,-7.81,56.87,169,136,33,0.805,1.52,-1.86,153,130,23,0.850,1.06,-5.84,270,262,8,0.970,0.37,0.50,41,123,35.59,19.84
Antti Raanta,CAR,24,1055.7833333333,429,381,48,0.888,2.73,-9.86,42.23,132,105,27,0.795,1.53,-2.68,107,88,19,0.822,1.08,-7.00,164,162,2,0.988,0.11,3.16,24,96,34.72,16.35
Arturs Silovs,VAN,4,192.55,66,59,7,0.894,2.18,-1.13,7.57,13,10,3,0.769,0.93,-0.60,14,12,2,0.857,0.62,-0.43,36,34,2,0.944,0.62,-0.87,4,18,35.20,23.43
Arvid Soderblom,CHI,32,1466.8166666667,801,711,90,0.888,3.68,-18.78,73.96,219,170,49,0.776,2.00,-8.65,202,179,23,0.886,0.94,-0.35,345,327,18,0.948,0.74,-7.14,49,151,33.22,18.87
Cal Petersen,PHI,5,212.36666666667,105,90,15,0.857,4.24,-5.66,8.97,22,14,8,0.636,2.26,-3.95,24,22,2,0.917,0.57,0.69,52,47,5,0.904,1.41,-3.36,8,27,40.04,22.13
Calvin Pickard,EDM,24,1149.95,497,458,39,0.922,2.03,5.19,43.5,120,100,20,0.833,1.04,2.11,127,112,15,0.882,0.78,-0.76,228,224,4,0.982,0.21,3.18,33,89,34.93,18.95
Cam Talbot,LAK,54,2602.95,1204,1099,105,0.913,2.42,2.05,101.43,272,218,54,0.801,1.24,-3.89,310,279,31,0.900,0.71,3.76,557,537,20,0.964,0.46,-2.46,63,211,36.11,19.55
Carter Hart,PHI,26,1200.6666666667,610,553,57,0.907,2.85,-2.77,51.02,136,109,27,0.801,1.35,-1.94,153,133,20,0.869,1.00,-2.84,283,273,10,0.965,0.50,-1.09,28,109,36.26,20.74
Casey DeSmith,VAN,29,1384.3333333333,615,563,52,0.915,2.25,2.68,56.06,169,138,31,0.817,1.34,0.14,134,121,13,0.903,0.56,2.03,287,279,8,0.972,0.35,1.04,28,125,34.46,18.58
Cayden Primeau,MTL,23,1091.8666666667,589,544,45,0.924,2.47,7.37,52.7,132,115,17,0.871,0.93,7.32,164,148,16,0.902,0.88,2.39,264,252,12,0.955,0.66,-3.69,42,114,36.40,23.49
Charlie Lindgren,WSH,50,2415.1166666667,1173,1073,100,0.915,2.48,4.29,102.15,305,250,55,0.820,1.37,1.19,273,246,27,0.901,0.67,3.61,531,513,18,0.966,0.45,-1.28,68,195,36.41,21.80
Chris Driedger,SEA,2,104.03333333333,52,49,3,0.942,1.73,1.62,4.63,11,10,1,0.909,0.58,1.03,11,9,2,0.818,1.15,-0.77,28,28,0,1.000,0.00,0.88,7,11,34.58,24.33
Connor Hellebuyck,WPG,60,2972.5,1483,1383,100,0.933,2.02,31.85,129.72,399,338,61,0.847,1.23,12.51,329,300,29,0.912,0.59,7.89,678,668,10,0.985,0.20,11.35,74,292,36.34,18.11
Connor Ingram,ARI,50,2345.3666666667,1149,1055,94,0.918,2.40,8.16,103.9,288,246,42,0.854,1.07,11.06,296,258,38,0.872,0.97,-4.81,516,502,14,0.973,0.36,2.25,63,212,34.35,19.88
Dan Vladar,CGY,20,944.11666666667,486,430,56,0.885,3.56,-12.79,40.86,122,97,25,0.795,1.59,-2.52,123,106,17,0.862,1.08,-3.21,213,200,13,0.939,0.83,-6.29,41,71,36.08,24.54
Daniil Tarasov,CBJ,24,1164.85,664,610,54,0.919,2.78,5.04,53.84,157,139,18,0.885,0.93,10.93,148,122,26,0.824,1.34,-9.40,332,322,10,0.970,0.52,0.45,21,120,35.87,24.30
Darcy Kuemper,WSH,33,1565.15,766,687,79,0.897,3.03,-10.90,72.45,195,152,43,0.779,1.65,-7.07,190,165,25,0.868,0.96,-3.69,345,334,11,0.968,0.42,-0.14,46,151,36.19,20.90
David Rittich,LAK,24,1130.5,481,446,35,0.927,1.86,7.76,44,132,114,18,0.864,0.96,6.32,116,104,12,0.897,0.64,1.01,211,206,5,0.976,0.27,1.64,23,98,34.99,22.51
Devin Cooley,SJS,6,252.93333333333,160,136,24,0.850,5.69,-9.77,15.99,45,32,13,0.711,3.08,-4.71,46,39,7,0.848,1.66,-1.84,59,55,4,0.932,0.95,-2.14,8,43,34.82,20.88
Devon Levi,BUF,23,1085.4,528,482,46,0.913,2.54,0.94,52.82,153,129,24,0.843,1.33,4.19,137,121,16,0.883,0.88,-0.64,219,213,6,0.973,0.33,0.90,23,133,32.39,18.72
Dustin Wolf,CGY,17,803.45,382,344,38,0.901,2.84,-4.04,28.08,78,63,15,0.808,1.12,-0.63,105,88,17,0.838,1.27,-5.23,180,174,6,0.967,0.45,-0.33,32,56,37.18,21.61
Elvis Merzlikins,CBJ,41,1906.0166666667,1052,945,107,0.898,3.37,-13.47,99.43,285,224,61,0.786,1.92,-8.49,262,233,29,0.889,0.91,0.38,459,442,17,0.963,0.54,-2.55,49,226,33.77,19.11
Eric Comrie,BUF,10,429.93333333333,203,179,24,0.882,3.35,-5.95,21.51,66,50,16,0.758,2.23,-3.84,40,35,5,0.875,0.70,-0.51,87,84,3,0.966,0.42,-0.26,18,44,33.70,20.25
Felix Sandstrom,PHI,5,209.01666666667,71,57,14,0.803,4.02,-7.69,7.87,23,17,6,0.739,1.72,-1.76,16,9,7,0.563,2.01,-5.21,28,27,1,0.964,0.29,-0.12,7,20,34.08,20.50
Filip Gustavsson,MIN,45,2056.4666666667,993,898,95,0.904,2.77,-6.71,78.46,228,183,45,0.803,1.31,-2.99,249,222,27,0.892,0.79,0.92,476,453,23,0.952,0.67,-8.01,51,153,35.98,21.25
Frederik Andersen,CAR,16,745.65,336,313,23,0.932,1.85,6.87,26.36,80,70,10,0.875,0.80,4.74,88,78,10,0.886,0.80,-0.13,146,143,3,0.979,0.24,1.60,21,66,36.37,19.87
Georgi Romanov,SJS,2,57.683333333333,30,29,1,0.967,1.04,1.67,3.11,6,5,1,0.833,1.04,0.11,7,7,0,1.000,0.00,0.78,16,16,0,1.000,0.00,0.50,1,5,30.73,7.00
Hunter Shepard,WSH,4,218,119,108,11,0.908,3.03,-0.42,12.18,31,22,9,0.710,2.48,-3.29,28,27,1,0.964,0.28,2.14,56,55,1,0.982,0.28,0.76,3,26,34.96,16.45
Igor Shesterkin,NYR,55,2756.5333333333,1366,1254,112,0.918,2.44,9.45,120.58,357,292,65,0.818,1.41,0.77,340,308,32,0.906,0.70,6.13,606,591,15,0.975,0.33,4.08,105,273,34.53,18.46
Ilya Samsonov,TOR,40,1930.8833333333,879,792,87,0.901,2.70,-8.85,80.54,221,178,43,0.805,1.34,-2.28,216,190,26,0.880,0.81,-1.78,412,394,18,0.956,0.56,-5.03,53,178,35.08,21.59
Ilya Sorokin,NYI,56,2856.5166666667,1531,1410,121,0.921,2.54,15.12,127.6,364,310,54,0.852,1.13,13.06,370,324,46,0.876,0.97,-4.51,729,708,21,0.971,0.44,1.95,93,286,36.25,21.58
Ivan Fedotov,PHI,3,109.15,52,42,10,0.808,5.50,-5.38,4.54,10,5,5,0.500,2.75,-3.16,19,14,5,0.737,2.75,-2.87,20,20,0,1.000,0.00,0.63,3,7,35.85,17.50
Ivan Prosvetov,COL,11,411.7,211,191,20,0.905,2.91,-1.24,19.54,58,45,13,0.776,1.89,-2.31,59,54,5,0.915,0.73,1.62,87,85,2,0.977,0.29,0.74,9,41,31.50,17.60
Jack Campbell,EDM,5,217.8,128,112,16,0.875,4.41,-4.62,11.38,37,23,14,0.622,3.86,-7.18,42,40,2,0.952,0.55,2.71,45,45,0,1.000,0.00,1.42,5,17,29.62,10.31
Jacob Markstrom,CGY,48,2363.95,1128,1032,96,0.915,2.44,4.29,107.66,323,281,42,0.870,1.07,17.51,281,246,35,0.875,0.89,-3.49,474,455,19,0.960,0.48,-4.08,78,217,33.25,22.78
Jake Allen,"MTL, NJD",34,1660.6,897,812,85,0.905,3.07,-5.25,82.92,217,179,38,0.825,1.37,1.98,266,234,32,0.880,1.16,-2.17,382,367,15,0.961,0.54,-2.97,41,183,33.79,20.72
Jake Oettinger,DAL,54,2592.4666666667,1192,1082,110,0.908,2.55,-4.02,102.6,303,238,65,0.785,1.50,-9.18,278,247,31,0.888,0.72,0.18,555,541,14,0.975,0.32,3.47,76,197,35.63,18.17
James Reimer,DET,25,1139.25,586,529,57,0.903,3.00,-4.90,50.77,141,110,31,0.780,1.63,-5.02,154,135,19,0.877,1.00,-1.73,263,256,7,0.973,0.37,1.28,39,95,36.40,19.53
Jeremy Swayman,BOS,44,2104.3833333333,1028,947,81,0.921,2.31,10.40,90.68,259,213,46,0.822,1.31,1.72,235,213,22,0.906,0.63,4.35,477,464,13,0.973,0.37,2.02,84,192,36.19,19.25
Jesper Wallstedt,MIN,3,163.53333333333,82,73,9,0.890,3.30,-1.71,5.19,10,6,4,0.600,1.47,-2.16,24,21,3,0.875,1.10,-0.31,47,45,2,0.957,0.73,-0.52,8,10,38.83,28.11
Jet Greaves,CBJ,9,451.78333333333,266,243,23,0.914,3.05,0.65,22.99,63,48,15,0.762,1.99,-3.39,59,55,4,0.932,0.53,2.62,130,126,4,0.969,0.53,0.09,11,46,36.14,19.39
Jiri Patera,VGK,6,261.58333333333,154,141,13,0.916,2.98,0.69,12.31,36,30,6,0.833,1.38,0.63,37,34,3,0.919,0.69,1.15,72,68,4,0.944,0.92,-1.73,9,28,37.62,25.69
Joel Hofer,STL,30,1370.6833333333,704,649,55,0.922,2.41,7.59,63.68,176,143,33,0.813,1.44,-0.57,173,157,16,0.908,0.70,3.40,328,323,5,0.985,0.22,5.33,31,115,34.05,18.62
Joey Daccord,SEA,50,2429.35,1159,1073,86,0.926,2.12,17.04,96.03,231,182,49,0.788,1.21,-6.44,288,265,23,0.920,0.57,9.30,576,562,14,0.976,0.35,4.13,57,205,37.81,18.98
John Gibson,ANA,46,2119.4,1050,948,102,0.903,2.89,-8.65,99.81,303,252,51,0.832,1.44,4.82,239,202,37,0.845,1.05,-10.20,470,456,14,0.970,0.40,0.80,60,199,34.07,19.49
Jonas Johansson,TBL,26,1244.7666666667,636,567,69,0.892,3.33,-12.45,57.85,172,139,33,0.808,1.59,-1.31,171,147,24,0.860,1.16,-4.82,261,250,11,0.958,0.53,-2.78,41,129,34.20,22.64
Jonathan Quick,NYR,27,1339.1,645,586,59,0.909,2.64,-1.65,61.23,170,140,30,0.824,1.34,1.32,178,157,21,0.882,0.94,-1.04,266,258,8,0.970,0.36,0.37,41,130,33.33,19.46
