Player,Team,GP,TOI,Shots Against,Saves,Goals Against,SV%,GAA,GSAA,xG Against,HD Shots Against,HD Saves,HD Goals Against,HDSV%,HDGAA,HDGSAA,MD Shots Against,MD Saves,MD Goals Against,MDSV%,MDGAA,MDGSAA,LD Shots Against,LD Saves,LD Goals Against,LDSV%,LDGAA,LDGSAA,Rush Attempts Against,Rebound Attempts Against,Avg. Shot Distance,Avg. Goal Distance
Aaron Dell,NJD,7,38.95,3,3,0,1.000,0.00,0.23,0.1,0,0,0,-,0.00,0.00,1,1,0,1.000,0.00,0.10,1,1,0,1.000,0.00,0.04,0,0,87.33,-
Adin Hill,ARI,19,90,12,10,2,0.833,1.33,-1.10,0.71,2,0,2,0.000,1.33,-1.62,2,2,0,1.000,0.00,0.19,4,4,0,1.000,0.00,0.15,2,0,71.17,17.50
Alex Lyon,PHI,6,26.2,7,6,1,0.857,2.29,-0.47,0.68,3,2,1,0.667,2.29,-0.44,0,0,0,-,0.00,0.00,2,2,0,1.000,0.00,0.07,1,1,60.14,13.00
Alex Nedeljkovic,CAR,23,94.883333333333,19,18,1,0.947,0.63,0.43,2.47,8,7,1,0.875,0.63,0.51,4,4,0,1.000,0.00,0.38,6,6,0,1.000,0.00,0.22,1,2,28.89,5.00
Alexandar Georgiev,NYR,19,87.95,9,7,2,0.778,1.36,-1.32,0.81,3,1,2,0.333,1.36,-1.44,0,0,0,-,0.00,0.00,3,3,0,1.000,0.00,0.11,1,0,50.67,10.00
Alexei Melnichuk,SJS,3,6,1,1,0,1.000,0.00,0.08,0.1,0,0,0,-,0.00,0.00,1,1,0,1.000,0.00,0.10,0,0,0,-,0.00,0.00,0,0,26.00,-
Andrei Vasilevskiy,TBL,42,203.31666666667,30,28,2,0.933,0.59,0.26,1.96,8,7,1,0.875,0.30,0.51,9,8,1,0.889,0.30,-0.14,6,6,0,1.000,0.00,0.22,4,1,60.37,15.00
Anthony Stolarz,ANA,8,28.883333333333,3,3,0,1.000,0.00,0.23,0,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,1,0,162.33,-
Anton Forsberg,OTT,8,27.683333333333,4,4,0,1.000,0.00,0.30,0.13,1,1,0,1.000,0.00,0.19,0,0,0,-,0.00,0.00,1,1,0,1.000,0.00,0.04,1,0,93.75,-
Anton Khudobin,DAL,32,150.38333333333,26,23,3,0.885,1.20,-1.05,1.4,3,2,1,0.667,0.40,-0.44,3,2,1,0.667,0.40,-0.71,7,6,1,0.857,0.40,-0.74,4,1,92.38,27.33
Antti Raanta,ARI,12,47.366666666667,6,6,0,1.000,0.00,0.45,0.48,0,0,0,-,0.00,0.00,4,4,0,1.000,0.00,0.38,2,2,0,1.000,0.00,0.07,1,0,37.83,-
Braden Holtby,VAN,21,100.43333333333,16,14,2,0.875,1.19,-0.80,1.76,5,3,2,0.600,1.19,-1.06,7,7,0,1.000,0.00,0.67,1,1,0,1.000,0.00,0.04,3,1,46.06,16.50
Brian Elliott,PHI,30,134.3,19,17,2,0.895,0.89,-0.57,1.35,5,5,0,1.000,0.00,0.94,3,2,1,0.667,0.45,-0.71,5,4,1,0.800,0.45,-0.82,3,0,65.95,29.50
Cal Petersen,LAK,35,160.23333333333,37,34,3,0.919,1.12,-0.22,1.84,7,4,3,0.571,1.12,-1.68,6,6,0,1.000,0.00,0.57,6,6,0,1.000,0.00,0.22,4,2,90.84,8.00
