Player,Team,GP,TOI,Shots Against,Saves,Goals Against,SV%,GAA,GSAA,xG Against,HD Shots Against,HD Saves,HD Goals Against,HDSV%,HDGAA,HDGSAA,MD Shots Against,MD Saves,MD Goals Against,MDSV%,MDGAA,MDGSAA,LD Shots Against,LD Saves,LD Goals Against,LDSV%,LDGAA,LDGSAA,Rush Attempts Against,Rebound Attempts Against,Avg. Shot Distance,Avg. Goal Distance
Aaron Dell,BUF,12,467.01666666667,297,272,25,0.916,3.21,0.60,22.56,87,74,13,0.851,1.67,2.33,73,67,6,0.918,0.77,0.74,123,117,6,0.951,0.77,-2.07,11,30,34.95,24.92
Adam Huska,NYR,1,26.116666666667,33,27,6,0.818,13.78,-3.16,2.13,9,5,4,0.556,9.19,-2.41,7,6,1,0.857,2.30,-0.35,15,14,1,0.933,2.30,-0.52,0,3,34.67,19.33
Adin Hill,SJS,25,1154.5,547,502,45,0.918,2.34,2.15,42.47,132,111,21,0.841,1.09,2.26,155,141,14,0.910,0.73,0.31,224,214,10,0.955,0.52,-2.85,34,52,36.43,23.64
Akira Schmid,NJD,6,207.36666666667,104,88,16,0.846,4.63,-7.04,7.45,23,17,6,0.739,1.74,-1.95,38,29,9,0.763,2.60,-5.49,38,37,1,0.974,0.29,0.21,2,12,36.79,23.50
Alex Lyon,CAR,2,101.21666666667,52,47,5,0.904,2.96,-0.52,5.31,11,7,4,0.636,2.37,-2.06,23,22,1,0.957,0.59,1.12,17,17,0,1.000,0.00,0.54,1,8,28.27,14.20
Alex Nedeljkovic,DET,59,2734.45,1521,1381,140,0.908,3.07,-8.90,125.41,450,370,80,0.822,1.76,-0.71,400,362,38,0.905,0.83,-1.08,621,601,20,0.968,0.44,-0.17,63,164,32.61,20.15
Alex Stalock,SJS,1,40.983333333333,25,19,6,0.760,8.78,-3.85,2.12,9,4,5,0.444,7.32,-3.41,3,3,0,1.000,0.00,0.28,13,12,1,0.923,1.46,-0.58,0,3,34.88,16.17
Alexandar Georgiev,NYR,33,1530.3333333333,715,652,63,0.912,2.47,-1.37,62.83,198,162,36,0.818,1.41,-1.11,196,178,18,0.908,0.71,0.09,296,287,9,0.970,0.35,0.45,42,88,33.34,19.73
Andrei Vasilevskiy,TBL,63,3111.0833333333,1532,1417,115,0.925,2.22,17.05,125.61,421,348,73,0.827,1.41,1.18,459,433,26,0.943,0.50,16.37,599,583,16,0.973,0.31,3.13,78,150,33.25,19.83
Andrew Hammond,"MTL, NJD",11,494.2,263,232,31,0.882,3.76,-8.33,22.48,69,57,12,0.826,1.46,0.16,82,72,10,0.878,1.21,-2.43,102,93,9,0.912,1.09,-5.74,7,31,34.10,26.23
