Player,Team,GP,TOI,Shots Against,Saves,Goals Against,SV%,GAA,GSAA,xG Against,HD Shots Against,HD Saves,HD Goals Against,HDSV%,HDGAA,HDGSAA,MD Shots Against,MD Saves,MD Goals Against,MDSV%,MDGAA,MDGSAA,LD Shots Against,LD Saves,LD Goals Against,LDSV%,LDGAA,LDGSAA,Rush Attempts Against,Rebound Attempts Against,Avg. Shot Distance,Avg. Goal Distance
Aaron Dell,SJS,4,19.9,16,14,2,0.875,6.03,0.23,2.77,9,9,0,1.000,0.00,1.90,3,1,2,0.333,6.03,-1.57,4,4,0,1.000,0.00,0.31,0,3,21.13,27.50
Adin Hill,VGK,27,72.766666666667,71,62,9,0.873,7.42,0.90,9.47,19,17,2,0.895,1.65,2.01,15,11,4,0.733,3.30,-1.84,35,32,3,0.914,2.47,-0.25,1,10,31.73,25.56
Akira Schmid,NJD,18,54.416666666667,55,47,8,0.855,8.82,-0.33,7.41,14,11,3,0.786,3.31,-0.04,14,12,2,0.857,2.21,0.01,25,22,3,0.880,3.31,-1.03,0,5,30.91,18.63
Alex Lyon,FLA,15,82.283333333333,85,77,8,0.906,5.83,3.86,13.86,35,31,4,0.886,2.92,3.39,21,21,0,1.000,0.00,3.02,27,23,4,0.852,2.92,-1.88,0,20,26.48,25.13
Alex Nedeljkovic,DET,15,64.966666666667,64,53,11,0.828,10.16,-2.07,7.04,15,9,6,0.600,5.54,-2.83,18,16,2,0.889,1.85,0.59,31,28,3,0.903,2.77,-0.56,1,3,32.67,22.18
Alex Stalock,CHI,27,118.46666666667,114,101,13,0.886,6.58,2.90,14.72,31,24,7,0.774,3.55,-0.45,40,35,5,0.875,2.53,0.75,43,42,1,0.977,0.51,2.38,1,17,28.83,19.85
Alexandar Georgiev,COL,62,295.48333333333,289,246,43,0.851,8.73,-2.69,43.13,123,94,29,0.764,5.89,-3.02,72,64,8,0.889,1.62,2.35,91,85,6,0.934,1.22,1.16,3,59,26.82,16.79
Andrei Vasilevskiy,TBL,60,326.3,315,280,35,0.889,6.44,8.94,44.27,96,77,19,0.802,3.49,1.28,101,89,12,0.881,2.21,2.52,117,113,4,0.966,0.74,5.20,2,51,28.64,20.83
Anthony Stolarz,ANA,19,70.866666666667,77,66,11,0.857,9.31,-0.26,12.04,29,25,4,0.862,3.39,2.13,24,20,4,0.833,3.39,-0.55,24,21,3,0.875,2.54,-1.11,0,19,25.84,26.91
Anton Forsberg,OTT,28,158.03333333333,156,134,22,0.859,8.35,-0.24,22.96,47,35,12,0.745,4.56,-2.07,61,55,6,0.902,2.28,2.77,48,44,4,0.917,1.52,-0.22,5,25,27.97,21.32
Anton Khudobin,CHI,1,5.5166666666667,5,3,2,0.600,21.75,-1.30,0.71,2,1,1,0.500,10.88,-0.58,1,1,0,1.000,0.00,0.14,2,1,1,0.500,10.88,-0.84,0,0,24.60,27.50
Antti Raanta,CAR,27,165.05,120,103,17,0.858,6.18,-0.26,16.94,37,28,9,0.757,3.27,-1.18,50,42,8,0.840,2.91,-0.81,32,32,0,1.000,0.00,2.52,1,20,28.13,22.18
Arturs Silovs,VAN,5,17.983333333333,20,18,2,0.900,6.67,0.79,2.8,6,5,1,0.833,3.34,0.27,4,4,0,1.000,0.00,0.58,9,8,1,0.889,3.34,-0.29,0,5,38.90,29.00
Arvid Soderblom,CHI,15,48.4,50,40,10,0.800,12.40,-3.03,5.93,14,10,4,0.714,4.96,-1.04,20,17,3,0.850,3.72,-0.12,16,13,3,0.813,3.72,-1.74,0,7,27.90,22.90
Brian Elliott,TBL,22,92.5,84,66,18,0.786,11.68,-6.28,13.52,35,25,10,0.714,6.49,-2.61,19,15,4,0.789,2.59,-1.27,29,25,4,0.862,2.59,-1.72,0,14,25.14,18.89
Cal Petersen,LAK,10,36.883333333333,36,25,11,0.694,17.89,-5.98,4.84,9,5,4,0.556,6.51,-2.10,14,10,4,0.714,6.51,-1.99,13,10,3,0.769,4.88,-1.98,0,6,28.42,25.73
Cam Talbot,OTT,36,169.01666666667,166,145,21,0.873,7.45,2.15,24.99,54,45,9,0.833,3.19,2.41,50,40,10,0.800,3.55,-2.81,61,59,2,0.967,0.71,2.80,3,33,29.12,25.81
Carter Hart,PHI,55,249.86666666667,233,194,39,0.833,9.36,-6.50,35.51,85,70,15,0.824,3.60,2.95,60,48,12,0.800,2.88,-3.37,88,76,12,0.864,2.88,-5.08,3,46,27.89,24.46
Casey DeSmith,PIT,38,163.75,188,165,23,0.878,8.43,3.22,24.09,60,49,11,0.817,4.03,1.67,53,47,6,0.887,2.20,1.62,75,69,6,0.920,2.20,-0.10,1,28,29.89,21.83
Cayden Primeau,MTL,3,11.566666666667,10,9,1,0.900,5.19,0.39,1.08,3,2,1,0.667,5.19,-0.37,3,3,0,1.000,0.00,0.43,3,3,0,1.000,0.00,0.24,0,0,32.60,8.00
Charlie Lindgren,WSH,31,120.78333333333,109,95,14,0.872,6.95,1.20,16.06,35,27,8,0.771,3.97,-0.61,27,23,4,0.852,1.99,-0.12,45,43,2,0.956,0.99,1.54,1,19,30.12,19.00
Collin Delia,VAN,20,89.4,83,68,15,0.819,10.07,-3.42,14,30,22,8,0.733,5.37,-1.66,22,19,3,0.864,2.01,0.16,31,27,4,0.871,2.68,-1.56,1,18,26.51,21.93
