Player,Team,GP,TOI,Shots Against,Saves,Goals Against,SV%,GAA,GSAA,xG Against,HD Shots Against,HD Saves,HD Goals Against,HDSV%,HDGAA,HDGSAA,MD Shots Against,MD Saves,MD Goals Against,MDSV%,MDGAA,MDGSAA,LD Shots Against,LD Saves,LD Goals Against,LDSV%,LDGAA,LDGSAA,Rush Attempts Against,Rebound Attempts Against,Avg. Shot Distance,Avg. Goal Distance
Adin Hill,VGK,35,1968.8166666667,979,890,89,0.909,2.71,5.62,94.14,227,190,37,0.837,1.13,6.13,276,241,35,0.873,1.07,-2.30,430,413,17,0.960,0.52,-0.55,59,186,34.83,21.22
Akira Schmid,NJD,19,914.15,457,409,48,0.895,3.15,-3.83,43.77,124,100,24,0.806,1.58,-0.44,103,87,16,0.845,1.05,-3.80,199,191,8,0.960,0.53,-0.38,25,79,34.95,19.10
Alex Lyon,DET,44,2498.85,1325,1198,127,0.904,3.05,1.06,122.67,320,250,70,0.781,1.68,-9.19,354,311,43,0.879,1.03,-1.06,589,575,14,0.976,0.34,8.54,54,225,35.89,20.43
Alex Nedeljkovic,PIT,38,2060.4666666667,1040,938,102,0.902,2.97,-1.48,98,264,203,61,0.769,1.78,-10.84,284,264,20,0.930,0.58,13.65,434,413,21,0.952,0.61,-4.39,56,192,35.75,18.53
Alexandar Georgiev,COL,63,3637.95,1770,1588,182,0.897,3.00,-10.93,176.67,509,409,100,0.804,1.65,-3.28,389,341,48,0.877,0.79,-1.91,773,739,34,0.956,0.56,-4.42,95,336,34.87,18.52
Andrei Vasilevskiy,TBL,52,3062.8666666667,1477,1329,148,0.900,2.90,-5.25,141.46,385,313,72,0.813,1.41,1.16,371,323,48,0.871,0.94,-4.04,645,617,28,0.957,0.55,-3.32,96,263,35.00,21.79
Anthony Stolarz,FLA,27,1506.45,684,633,51,0.925,2.03,15.11,72.53,213,183,30,0.859,1.19,10.47,152,139,13,0.914,0.52,5.01,282,274,8,0.972,0.32,2.79,38,146,34.51,19.33
Anton Forsberg,OTT,30,1569.75,764,680,84,0.890,3.21,-10.16,76.03,205,163,42,0.795,1.61,-3.05,197,169,28,0.858,1.07,-4.66,313,299,14,0.955,0.54,-2.02,47,142,35.75,20.06
Antti Raanta,CAR,24,1265.1833333333,493,430,63,0.872,2.99,-15.35,50.92,156,122,34,0.782,1.61,-4.36,125,102,23,0.816,1.09,-8.19,180,174,6,0.967,0.28,0.89,29,108,35.30,16.95
Arturs Silovs,VAN,4,243.21666666667,84,74,10,0.881,2.47,-1.88,9.48,16,12,4,0.750,0.99,-0.96,18,16,2,0.889,0.49,0.13,47,43,4,0.915,0.99,-2.20,6,18,34.58,26.60
Arvid Soderblom,CHI,32,1744.3333333333,943,829,114,0.879,3.92,-22.86,93.56,263,201,62,0.764,2.13,-12.03,238,209,29,0.878,1.00,-0.80,402,379,23,0.943,0.79,-7.62,53,177,32.94,19.03
Cal Petersen,PHI,5,276.91666666667,132,114,18,0.864,3.90,-5.24,12.6,30,21,9,0.700,1.95,-3.30,34,31,3,0.912,0.65,1.03,59,53,6,0.898,1.30,-3.74,9,32,39.52,22.28
