Player,Team,GP,TOI,Shots Against,Saves,Goals Against,SV%,GAA,GSAA,xG Against,HD Shots Against,HD Saves,HD Goals Against,HDSV%,HDGAA,HDGSAA,MD Shots Against,MD Saves,MD Goals Against,MDSV%,MDGAA,MDGSAA,LD Shots Against,LD Saves,LD Goals Against,LDSV%,LDGAA,LDGSAA,Rush Attempts Against,Rebound Attempts Against,Avg. Shot Distance,Avg. Goal Distance
Matt Murray,TOR,2,103.81666666667,49,43,6,0.878,3.47,-1.50,3.75,8,7,1,0.875,0.58,0.49,20,16,4,0.800,2.31,-1.67,21,20,1,0.952,0.58,-0.26,5,9,34.47,26.33
Matt Villalta,UTA,1,48.816666666667,23,21,2,0.913,2.46,0.11,2.36,7,6,1,0.857,1.23,0.31,4,3,1,0.750,1.23,-0.53,11,11,0,1.000,0.00,0.39,2,5,36.39,7.00
Nico Daws,NJD,6,219.1,91,84,7,0.923,1.92,1.36,8.43,24,22,2,0.917,0.55,2.48,21,17,4,0.810,1.10,-1.55,44,43,1,0.977,0.27,0.54,8,19,33.21,25.00
Nikita Tolopilo,VAN,2,64.633333333333,19,17,2,0.895,1.86,-0.25,1.47,1,1,0,1.000,0.00,0.19,8,7,1,0.875,0.93,-0.07,9,8,1,0.889,0.93,-0.68,1,0,38.89,25.00
Nikke Kokko,SEA,1,25.95,5,3,2,0.600,4.62,-1.54,0.4,1,0,1,0.000,2.31,-0.81,3,2,1,0.667,2.31,-0.65,1,1,0,1.000,0.00,0.04,0,0,32.40,16.00
Olivier Rodrigue,EDM,2,62.233333333333,27,23,4,0.852,3.86,-1.52,2.34,7,5,2,0.714,1.93,-0.69,13,11,2,0.846,1.93,-0.48,7,7,0,1.000,0.00,0.25,2,2,27.59,17.00
Petr Mrazek,"CHI, DET",38,1760.3833333333,887,798,89,0.900,3.03,-7.49,80.57,240,193,47,0.804,1.60,-2.17,214,186,28,0.869,0.95,-3.06,398,384,14,0.965,0.48,-0.03,75,189,34.95,20.33
Pheonix Copley,LAK,1,19.033333333333,6,6,0,1.000,0.00,0.55,0.22,1,1,0,1.000,0.00,0.19,1,1,0,1.000,0.00,0.12,3,3,0,1.000,0.00,0.11,1,0,46.83,-
Philipp Grubauer,SEA,26,1270.1333333333,589,516,73,0.876,3.45,-18.87,53.95,143,112,31,0.783,1.46,-4.29,164,138,26,0.841,1.23,-6.89,262,246,16,0.939,0.76,-6.80,38,108,34.37,20.51
Pyotr Kochetkov,CAR,47,2352.65,983,884,99,0.899,2.52,-8.66,94.57,285,240,45,0.842,1.15,8.23,269,231,38,0.859,0.97,-6.65,373,357,16,0.957,0.41,-2.91,68,205,34.22,21.37
Sam Montembeault,MTL,62,2954.4666666667,1380,1253,127,0.908,2.58,-0.18,146.1,382,314,68,0.822,1.38,3.35,345,310,35,0.899,0.71,5.21,577,553,24,0.958,0.49,-3.74,130,304,35.32,20.75
Samuel Ersson,PHI,47,2210.9333333333,967,859,108,0.888,2.93,-19.13,84.51,231,184,47,0.797,1.28,-3.86,251,214,37,0.853,1.00,-7.75,425,401,24,0.944,0.65,-9.08,87,172,36.80,22.75
Scott Wedgewood,"COL, NSH",24,1152.1,494,455,39,0.921,2.03,6.40,44.18,123,106,17,0.862,0.89,5.97,144,132,12,0.917,0.62,4.78,203,193,10,0.951,0.52,-2.87,56,88,36.41,21.67
Sebastian Cossa,DET,1,37,12,10,2,0.833,3.24,-0.90,1.31,5,3,2,0.600,3.24,-1.07,2,2,0,1.000,0.00,0.23,5,5,0,1.000,0.00,0.18,0,3,29.83,8.50
Semyon Varlamov,NYI,10,515.8,223,202,21,0.906,2.44,-0.51,20.64,65,57,8,0.877,0.93,4.14,55,47,8,0.855,0.93,-1.59,85,80,5,0.941,0.58,-2.02,16,37,35.12,21.00
Sergei Bobrovsky,FLA,54,2672.35,1123,1031,92,0.918,2.07,11.20,95.86,269,224,45,0.833,1.01,5.24,254,226,28,0.890,0.63,1.60,518,499,19,0.963,0.43,-0.81,69,194,39.55,20.37
Spencer Knight,"CHI, FLA",38,1913,872,795,77,0.912,2.42,3.14,83.04,230,198,32,0.861,1.00,10.96,232,202,30,0.871,0.94,-2.96,374,359,15,0.960,0.47,-1.87,45,160,34.93,22.49
