Player,Team,GP,TOI,Shots Against,Saves,Goals Against,SV%,GAA,GSAA,xG Against,HD Shots Against,HD Saves,HD Goals Against,HDSV%,HDGAA,HDGSAA,MD Shots Against,MD Saves,MD Goals Against,MDSV%,MDGAA,MDGSAA,LD Shots Against,LD Saves,LD Goals Against,LDSV%,LDGAA,LDGSAA,Rush Attempts Against,Rebound Attempts Against,Avg. Shot Distance,Avg. Goal Distance
Aaron Dell,SJS,4,170.26666666667,86,79,7,0.919,2.47,0.55,8.43,29,25,4,0.862,1.41,0.96,24,21,3,0.875,1.06,-0.61,30,30,0,1.000,0.00,0.97,5,16,30.64,16.43
Adin Hill,VGK,27,1323.1333333333,639,586,53,0.917,2.40,3.10,55.44,152,124,28,0.816,1.27,-1.98,186,165,21,0.887,0.95,-2.49,268,264,4,0.985,0.18,4.68,27,95,35.08,17.34
Akira Schmid,NJD,18,780.18333333333,341,317,24,0.930,1.85,5.94,30.53,85,70,15,0.824,1.15,-0.45,95,86,9,0.905,0.69,0.45,148,148,0,1.000,0.00,4.79,10,53,35.50,16.63
Alex Lyon,FLA,15,726.26666666667,388,355,33,0.915,2.73,1.06,36.67,130,110,20,0.846,1.65,2.25,93,87,6,0.935,0.50,3.25,148,141,7,0.953,0.58,-2.21,19,72,32.13,19.36
Alex Nedeljkovic,DET,15,682.38333333333,381,347,34,0.911,2.99,-0.55,33.11,111,92,19,0.829,1.67,0.00,102,95,7,0.931,0.62,3.15,152,144,8,0.947,0.70,-3.08,31,67,35.03,22.32
Alex Stalock,CHI,27,1247.6833333333,659,601,58,0.912,2.79,-0.15,52.58,166,135,31,0.813,1.49,-2.59,192,179,13,0.932,0.63,6.10,273,259,14,0.949,0.67,-5.16,32,82,34.47,21.69
Alexandar Georgiev,COL,62,3093.2333333333,1571,1460,111,0.929,2.15,26.92,127.11,420,368,52,0.876,1.01,19.89,365,328,37,0.899,0.72,-0.69,708,686,22,0.969,0.43,0.93,83,216,35.19,22.05
Andrei Vasilevskiy,TBL,60,2944.5,1502,1386,116,0.923,2.36,15.86,127.67,418,361,57,0.864,1.16,14.55,411,370,41,0.900,0.84,-0.11,617,599,18,0.971,0.37,1.98,70,214,33.97,21.20
Anthony Stolarz,ANA,19,670.9,405,366,39,0.904,3.49,-3.44,38.59,135,116,19,0.859,1.70,4.11,108,98,10,0.907,0.89,0.75,144,134,10,0.931,0.89,-5.34,16,74,31.41,23.18
Anton Forsberg,OTT,28,1170.3666666667,632,578,54,0.915,2.77,1.48,56.09,165,136,29,0.824,1.49,-0.76,170,154,16,0.906,0.82,0.91,254,245,9,0.965,0.46,-0.78,38,113,35.34,20.31
