Player,Team,GP,TOI,Shots Against,Saves,Goals Against,SV%,GAA,GSAA,xG Against,HD Shots Against,HD Saves,HD Goals Against,HDSV%,HDGAA,HDGSAA,MD Shots Against,MD Saves,MD Goals Against,MDSV%,MDGAA,MDGSAA,LD Shots Against,LD Saves,LD Goals Against,LDSV%,LDGAA,LDGSAA,Rush Attempts Against,Rebound Attempts Against,Avg. Shot Distance,Avg. Goal Distance
Adin Hill,VGK,50,179.85,25,23,2,0.920,0.67,0.32,3.09,6,5,1,0.833,0.33,0.30,7,6,1,0.857,0.33,0.04,4,4,0,1.000,0.00,0.22,6,5,67.36,19.00
Akira Schmid,VGK,5,18.7,2,2,0,1.000,0.00,0.19,0.2,0,0,0,-,0.00,0.00,2,2,0,1.000,0.00,0.30,0,0,0,-,0.00,0.00,0,0,26.00,-
Aleksei Kolosov,PHI,17,48.966666666667,11,9,2,0.818,2.45,-0.98,0.81,4,2,2,0.500,2.45,-1.14,1,1,0,1.000,0.00,0.15,3,3,0,1.000,0.00,0.16,0,0,54.82,9.00
Ales Stezka,SEA,1,2,2,1,1,0.500,30.00,-0.81,0.1,0,0,0,-,0.00,0.00,1,0,1,0.000,30.00,-0.85,0,0,0,-,0.00,0.00,0,0,87.50,17.00
Alex Lyon,DET,30,130.2,12,12,0,1.000,0.00,1.11,1.98,2,2,0,1.000,0.00,0.43,4,4,0,1.000,0.00,0.59,3,3,0,1.000,0.00,0.16,3,4,60.83,-
Alex Nedeljkovic,PIT,38,160.98333333333,34,32,2,0.941,0.75,1.16,2.79,10,9,1,0.900,0.37,1.16,6,5,1,0.833,0.37,-0.11,10,10,0,1.000,0.00,0.55,4,4,61.91,20.50
Alexandar Georgiev,"COL, SJS",49,185.83333333333,29,22,7,0.759,2.26,-4.31,2.12,4,2,2,0.500,0.65,-1.14,13,8,5,0.615,1.61,-3.07,3,3,0,1.000,0.00,0.16,8,1,67.52,18.86
Andrei Vasilevskiy,TBL,63,293.83333333333,42,35,7,0.833,1.43,-3.10,3.37,7,4,3,0.571,0.61,-1.49,12,9,3,0.750,0.61,-1.22,12,11,1,0.917,0.20,-0.34,5,4,62.74,23.14
Anthony Stolarz,TOR,34,156.45,33,31,2,0.939,0.77,1.06,3.01,8,7,1,0.875,0.38,0.73,8,7,1,0.875,0.38,0.19,3,3,0,1.000,0.00,0.16,8,3,82.85,20.50
Anton Forsberg,OTT,30,142.58333333333,19,18,1,0.947,0.42,0.76,1.47,7,7,0,1.000,0.00,1.51,6,5,1,0.833,0.42,-0.11,2,2,0,1.000,0.00,0.11,4,1,49.00,30.00
Arturs Silovs,VAN,10,46.033333333333,6,4,2,0.667,2.61,-1.44,0.68,2,0,2,0.000,2.61,-1.57,4,4,0,1.000,0.00,0.59,0,0,0,-,0.00,0.00,0,0,20.83,15.50
Arvid Soderblom,CHI,36,107.4,18,16,2,0.889,1.12,-0.33,1.8,8,6,2,0.750,1.12,-0.27,2,2,0,1.000,0.00,0.30,0,0,0,-,0.00,0.00,4,3,85.17,15.00
Brandon Halverson,TBL,1,3.3833333333333,2,2,0,1.000,0.00,0.19,0.07,0,0,0,-,0.00,0.00,1,1,0,1.000,0.00,0.15,0,0,0,-,0.00,0.00,2,0,105.00,-
Calvin Pickard,EDM,35,144.11666666667,26,24,2,0.923,0.83,0.41,2.15,3,2,1,0.667,0.42,-0.35,4,3,1,0.750,0.42,-0.41,5,5,0,1.000,0.00,0.27,7,1,83.81,13.50
Cam Talbot,DET,47,191.43333333333,31,25,6,0.806,1.88,-3.12,2.22,6,3,3,0.500,0.94,-1.70,7,6,1,0.857,0.31,0.04,9,7,2,0.778,0.63,-1.51,5,1,65.81,14.83
