Player,Team,GP,TOI,Shots Against,Saves,Goals Against,SV%,GAA,GSAA,xG Against,HD Shots Against,HD Saves,HD Goals Against,HDSV%,HDGAA,HDGSAA,MD Shots Against,MD Saves,MD Goals Against,MDSV%,MDGAA,MDGSAA,LD Shots Against,LD Saves,LD Goals Against,LDSV%,LDGAA,LDGSAA,Rush Attempts Against,Rebound Attempts Against,Avg. Shot Distance,Avg. Goal Distance
Adin Hill,VGK,35,161.45,31,26,5,0.839,1.86,-2.13,2.6,7,3,4,0.429,1.49,-2.41,10,10,0,1.000,0.00,1.39,6,5,1,0.833,0.37,-0.82,3,3,62.06,19.80
Akira Schmid,NJD,19,79.833333333333,7,7,0,1.000,0.00,0.65,0.41,1,1,0,1.000,0.00,0.23,2,2,0,1.000,0.00,0.28,1,1,0,1.000,0.00,0.03,3,0,82.29,-
Alex Lyon,DET,44,227.33333333333,50,45,5,0.900,1.32,-0.36,3.54,10,8,2,0.800,0.53,0.26,6,4,2,0.667,0.53,-1.16,19,18,1,0.947,0.26,-0.44,9,3,64.84,23.60
Alex Nedeljkovic,PIT,38,195.15,36,34,2,0.944,0.61,1.34,3.56,9,7,2,0.778,0.61,0.04,8,8,0,1.000,0.00,1.12,3,3,0,1.000,0.00,0.09,9,5,75.56,10.00
Alexandar Georgiev,COL,63,337.63333333333,53,48,5,0.906,0.89,-0.09,6.31,22,17,5,0.773,0.89,-0.02,6,6,0,1.000,0.00,0.84,7,7,0,1.000,0.00,0.20,15,7,66.81,9.60
Andrei Vasilevskiy,TBL,52,224.41666666667,39,35,4,0.897,1.07,-0.38,3.95,10,8,2,0.800,0.53,0.26,11,9,2,0.818,0.53,-0.47,7,7,0,1.000,0.00,0.20,15,4,63.28,19.00
Anthony Stolarz,FLA,27,136.93333333333,22,19,3,0.864,1.31,-0.96,1.31,5,3,2,0.600,0.88,-0.87,4,3,1,0.750,0.44,-0.44,5,5,0,1.000,0.00,0.15,4,0,71.09,21.00
Anton Forsberg,OTT,30,140.11666666667,23,22,1,0.957,0.43,1.13,1.58,4,3,1,0.750,0.43,-0.09,6,6,0,1.000,0.00,0.84,4,4,0,1.000,0.00,0.12,5,2,76.70,5.00
Antti Raanta,CAR,24,118.66666666667,13,11,2,0.846,1.01,-0.79,1.33,5,3,2,0.600,1.01,-0.87,1,1,0,1.000,0.00,0.14,1,1,0,1.000,0.00,0.03,5,1,86.85,11.50
Arturs Silovs,VAN,4,23.833333333333,1,1,0,1.000,0.00,0.09,0.45,1,1,0,1.000,0.00,0.23,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,2,0,20.00,-
Arvid Soderblom,CHI,32,133.96666666667,13,13,0,1.000,0.00,1.21,1.43,3,3,0,1.000,0.00,0.68,3,3,0,1.000,0.00,0.42,2,2,0,1.000,0.00,0.06,3,1,77.23,-
Cal Petersen,PHI,5,35.383333333333,5,5,0,1.000,0.00,0.46,0.43,1,1,0,1.000,0.00,0.23,1,1,0,1.000,0.00,0.14,1,1,0,1.000,0.00,0.03,1,0,75.80,-
Calvin Pickard,EDM,24,104.71666666667,11,11,0,1.000,0.00,1.02,1.14,2,2,0,1.000,0.00,0.45,1,1,0,1.000,0.00,0.14,5,5,0,1.000,0.00,0.15,7,0,59.82,-
Cam Talbot,LAK,54,248.73333333333,41,38,3,0.927,0.72,0.80,2.98,8,5,3,0.625,0.72,-1.19,8,8,0,1.000,0.00,1.12,8,8,0,1.000,0.00,0.23,8,3,76.24,11.00
Carter Hart,PHI,26,132.48333333333,28,28,0,1.000,0.00,2.60,1.88,5,5,0,1.000,0.00,1.13,8,8,0,1.000,0.00,1.12,4,4,0,1.000,0.00,0.12,5,2,80.82,-
Casey DeSmith,VAN,29,146.51666666667,23,21,2,0.913,0.82,0.13,1.82,8,6,2,0.750,0.82,-0.19,3,3,0,1.000,0.00,0.42,3,3,0,1.000,0.00,0.09,6,1,81.35,15.00
Cayden Primeau,MTL,23,120.43333333333,19,17,2,0.895,1.00,-0.24,1.66,3,2,1,0.667,0.50,-0.32,5,4,1,0.800,0.50,-0.30,4,4,0,1.000,0.00,0.12,5,1,74.47,22.50
Charlie Lindgren,WSH,50,223.06666666667,41,37,4,0.902,1.08,-0.20,3.55,9,8,1,0.889,0.27,1.04,9,7,2,0.778,0.54,-0.75,12,11,1,0.917,0.27,-0.65,10,4,58.32,27.25
Chris Driedger,SEA,2,6.25,0,0,0,-,0.00,0.00,0,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,-,-
Connor Hellebuyck,WPG,60,316.45,41,37,4,0.902,0.76,-0.20,3.39,5,5,0,1.000,0.00,1.13,12,8,4,0.667,0.76,-2.33,7,7,0,1.000,0.00,0.20,14,1,75.59,26.00
Connor Ingram,ARI,50,214.75,36,33,3,0.917,0.84,0.34,3.17,7,5,2,0.714,0.56,-0.41,10,9,1,0.900,0.28,0.39,3,3,0,1.000,0.00,0.09,11,2,80.92,13.33
Dan Vladar,CGY,20,99.233333333333,15,14,1,0.933,0.60,0.39,1.6,2,2,0,1.000,0.00,0.45,6,5,1,0.833,0.60,-0.16,3,3,0,1.000,0.00,0.09,4,2,60.80,35.00
Daniil Tarasov,CBJ,24,104.78333333333,18,16,2,0.889,1.15,-0.33,1.33,5,4,1,0.800,0.57,0.13,6,5,1,0.833,0.57,-0.16,1,1,0,1.000,0.00,0.03,3,0,62.83,25.50
Darcy Kuemper,WSH,33,138.01666666667,26,26,0,1.000,0.00,2.41,1.98,7,7,0,1.000,0.00,1.59,5,5,0,1.000,0.00,0.70,2,2,0,1.000,0.00,0.06,10,0,86.27,-
David Rittich,LAK,24,107.18333333333,16,15,1,0.938,0.56,0.48,1.65,5,4,1,0.800,0.56,0.13,4,4,0,1.000,0.00,0.56,2,2,0,1.000,0.00,0.06,2,2,64.94,5.00
Devin Cooley,SJS,6,21.416666666667,7,7,0,1.000,0.00,0.65,0.23,1,1,0,1.000,0.00,0.23,1,1,0,1.000,0.00,0.14,2,2,0,1.000,0.00,0.06,0,0,92.43,-
Devon Levi,BUF,23,106.16666666667,23,19,4,0.826,2.26,-1.87,2.95,6,4,2,0.667,1.13,-0.64,9,7,2,0.778,1.13,-0.75,4,4,0,1.000,0.00,0.12,9,2,50.17,17.00
Dustin Wolf,CGY,17,71.75,13,13,0,1.000,0.00,1.21,0.84,5,5,0,1.000,0.00,1.13,1,1,0,1.000,0.00,0.14,2,2,0,1.000,0.00,0.06,4,0,77.54,-
Elvis Merzlikins,CBJ,41,178.6,35,33,2,0.943,0.67,1.25,2.42,7,6,1,0.857,0.34,0.59,5,5,0,1.000,0.00,0.70,8,7,1,0.875,0.34,-0.77,12,0,84.43,25.50
Eric Comrie,BUF,10,47.216666666667,7,6,1,0.857,1.27,-0.35,0.8,1,1,0,1.000,0.00,0.23,6,5,1,0.833,1.27,-0.16,0,0,0,-,0.00,0.00,0,0,24.43,35.00
Felix Sandstrom,PHI,5,29.983333333333,4,4,0,1.000,0.00,0.37,0.24,0,0,0,-,0.00,0.00,3,3,0,1.000,0.00,0.42,0,0,0,-,0.00,0.00,1,0,56.00,-
