Player,Team,GP,TOI,Shots Against,Saves,Goals Against,SV%,GAA,GSAA,xG Against,HD Shots Against,HD Saves,HD Goals Against,HDSV%,HDGAA,HDGSAA,MD Shots Against,MD Saves,MD Goals Against,MDSV%,MDGAA,MDGSAA,LD Shots Against,LD Saves,LD Goals Against,LDSV%,LDGAA,LDGSAA,Rush Attempts Against,Rebound Attempts Against,Avg. Shot Distance,Avg. Goal Distance
Aaron Dell,BUF,12,55.35,13,12,1,0.923,1.08,0.08,0.66,2,1,1,0.500,1.08,-0.59,1,1,0,1.000,0.00,0.09,4,4,0,1.000,0.00,0.10,2,0,73.08,9.00
Adam Huska,NYR,1,7.75,2,2,0,1.000,0.00,0.17,0.13,0,0,0,-,0.00,0.00,2,2,0,1.000,0.00,0.18,0,0,0,-,0.00,0.00,0,0,30.50,-
Adin Hill,SJS,25,108.35,24,20,4,0.833,2.22,-2.01,1.15,5,2,3,0.400,1.66,-1.97,5,4,1,0.800,0.55,-0.54,5,5,0,1.000,0.00,0.13,3,0,75.50,18.25
Akira Schmid,NJD,6,16.283333333333,5,3,2,0.600,7.37,-1.59,0.78,4,2,2,0.500,7.37,-1.17,0,0,0,-,0.00,0.00,1,1,0,1.000,0.00,0.03,1,2,19.80,14.00
Alex Lyon,CAR,2,9.2,2,2,0,1.000,0.00,0.17,0.41,0,0,0,-,0.00,0.00,1,1,0,1.000,0.00,0.09,0,0,0,-,0.00,0.00,2,0,92.00,-
Alex Nedeljkovic,DET,59,246.11666666667,53,46,7,0.868,1.71,-2.61,3.97,10,7,3,0.700,0.73,-0.94,18,14,4,0.778,0.98,-2.35,7,7,0,1.000,0.00,0.18,9,1,67.13,19.00
Alex Stalock,SJS,1,2.5666666666667,1,1,0,1.000,0.00,0.08,0.19,1,1,0,1.000,0.00,0.21,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,11.00,-
Alexandar Georgiev,NYR,33,107.48333333333,15,14,1,0.933,0.56,0.24,1.24,5,4,1,0.800,0.56,0.03,4,4,0,1.000,0.00,0.37,0,0,0,-,0.00,0.00,2,2,71.87,5.00
Andrei Vasilevskiy,TBL,63,320.15,58,56,2,0.966,0.37,2.81,5.43,18,17,1,0.944,0.19,2.72,18,17,1,0.944,0.19,0.65,9,9,0,1.000,0.00,0.23,4,3,52.76,18.00
Andrew Hammond,"MTL, NJD",11,48.766666666667,10,7,3,0.700,3.69,-2.17,1.29,6,4,2,0.667,2.46,-0.76,1,1,0,1.000,0.00,0.09,1,1,0,1.000,0.00,0.03,3,1,38.90,29.33
Anthony Stolarz,ANA,28,107.38333333333,25,23,2,0.920,1.12,0.07,2.12,7,5,2,0.714,1.12,-0.56,7,7,0,1.000,0.00,0.64,4,4,0,1.000,0.00,0.10,8,1,54.32,11.50
Anton Forsberg,OTT,46,211.21666666667,32,31,1,0.969,0.28,1.65,2.05,7,6,1,0.857,0.28,0.44,8,8,0,1.000,0.00,0.73,7,7,0,1.000,0.00,0.18,6,1,65.91,7.00
Anton Khudobin,DAL,9,32.183333333333,4,4,0,1.000,0.00,0.33,0.25,1,1,0,1.000,0.00,0.21,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,1,0,100.25,-
Antti Raanta,CAR,28,108.05,15,13,2,0.867,1.11,-0.76,1.06,4,2,2,0.500,1.11,-1.17,1,1,0,1.000,0.00,0.09,2,2,0,1.000,0.00,0.05,8,0,96.60,29.00
Arvid Soderblom,CHI,3,13.516666666667,4,3,1,0.750,4.44,-0.67,0.34,1,0,1,0.000,4.44,-0.79,1,1,0,1.000,0.00,0.09,2,2,0,1.000,0.00,0.05,0,0,22.50,13.00
Braden Holtby,DAL,24,108.36666666667,27,26,1,0.963,0.55,1.24,1.88,7,6,1,0.857,0.55,0.44,6,6,0,1.000,0.00,0.55,3,3,0,1.000,0.00,0.08,6,1,72.67,8.00
Brian Elliott,TBL,19,88.133333333333,12,11,1,0.917,0.68,-0.01,1.13,5,4,1,0.800,0.68,0.03,1,1,0,1.000,0.00,0.09,1,1,0,1.000,0.00,0.03,3,0,73.25,12.00
Cal Petersen,LAK,37,180.28333333333,39,35,4,0.897,1.33,-0.77,2.84,11,9,2,0.818,0.67,0.27,7,5,2,0.714,0.67,-1.36,8,8,0,1.000,0.00,0.21,4,2,67.10,18.75
Calvin Pickard,DET,3,12.4,0,0,0,-,0.00,0.00,0,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,-,-
Cam Talbot,MIN,49,229.43333333333,50,48,2,0.960,0.52,2.14,3.16,11,10,1,0.909,0.26,1.27,11,10,1,0.909,0.26,0.01,11,11,0,1.000,0.00,0.28,12,0,69.94,18.50
Carey Price,MTL,5,22.233333333333,2,1,1,0.500,2.70,-0.83,0.48,2,1,1,0.500,2.70,-0.59,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,1,7.00,9.00
Carter Hart,PHI,45,221.8,38,33,5,0.868,1.35,-1.85,3.01,9,8,1,0.889,0.27,0.86,9,6,3,0.667,0.81,-2.17,6,5,1,0.833,0.27,-0.85,5,3,73.68,22.60
Carter Hutton,ARI,3,13.533333333333,2,2,0,1.000,0.00,0.17,0.09,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,1,0,145.50,-
Casey DeSmith,PIT,26,107,27,25,2,0.926,1.12,0.24,2.18,8,7,1,0.875,0.56,0.65,5,4,1,0.800,0.56,-0.54,5,5,0,1.000,0.00,0.13,5,1,62.63,19.50
Cayden Primeau,MTL,12,36.133333333333,10,10,0,1.000,0.00,0.83,0.92,4,4,0,1.000,0.00,0.83,1,1,0,1.000,0.00,0.09,2,2,0,1.000,0.00,0.05,1,2,61.40,-
Charlie Lindgren,STL,5,21.15,3,3,0,1.000,0.00,0.25,0.03,0,0,0,-,0.00,0.00,1,1,0,1.000,0.00,0.09,0,0,0,-,0.00,0.00,1,0,116.00,-
Chris Driedger,SEA,27,97.083333333333,21,19,2,0.905,1.24,-0.26,1.21,4,3,1,0.750,0.62,-0.17,4,3,1,0.750,0.62,-0.63,4,4,0,1.000,0.00,0.10,3,0,75.19,20.00
Collin Delia,CHI,8,31.616666666667,5,4,1,0.800,1.90,-0.59,0.36,1,0,1,0.000,1.90,-0.79,3,3,0,1.000,0.00,0.28,0,0,0,-,0.00,0.00,0,0,55.00,8.00
Connor Hellebuyck,WPG,66,341.21666666667,73,68,5,0.932,0.88,1.05,6.22,15,11,4,0.733,0.70,-0.90,26,25,1,0.962,0.18,1.39,7,7,0,1.000,0.00,0.18,16,3,69.68,12.20
Connor Ingram,NSH,3,19.533333333333,4,4,0,1.000,0.00,0.33,0.23,1,1,0,1.000,0.00,0.21,2,2,0,1.000,0.00,0.18,1,1,0,1.000,0.00,0.03,0,0,35.00,-
Cory Schneider,NYI,1,4.35,0,0,0,-,0.00,0.00,0,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,-,-
Craig Anderson,BUF,31,142.85,29,27,2,0.931,0.84,0.40,3.24,10,8,2,0.800,0.84,0.06,4,4,0,1.000,0.00,0.37,7,7,0,1.000,0.00,0.18,3,4,56.14,11.00
Dan Vladar,CGY,23,91.55,15,13,2,0.867,1.31,-0.76,1.24,6,4,2,0.667,1.31,-0.76,3,3,0,1.000,0.00,0.28,1,1,0,1.000,0.00,0.03,4,0,60.47,16.50
Daniil Tarasov,CBJ,4,6.6166666666667,6,6,0,1.000,0.00,0.50,0.21,1,1,0,1.000,0.00,0.21,1,1,0,1.000,0.00,0.09,1,1,0,1.000,0.00,0.03,0,1,89.50,-
Darcy Kuemper,COL,57,298.4,44,43,1,0.977,0.20,2.65,4.04,10,9,1,0.900,0.20,1.06,9,9,0,1.000,0.00,0.83,3,3,0,1.000,0.00,0.08,8,4,89.45,8.00
David Rittich,NSH,17,61.083333333333,10,9,1,0.900,0.98,-0.17,1.11,2,1,1,0.500,0.98,-0.59,2,2,0,1.000,0.00,0.18,4,4,0,1.000,0.00,0.10,3,0,57.80,7.00
Dustin Tokarski,BUF,29,123.21666666667,29,27,2,0.931,0.97,0.40,2.47,11,10,1,0.909,0.49,1.27,7,7,0,1.000,0.00,0.64,4,3,1,0.750,0.49,-0.90,5,2,57.17,31.50
Elvis Merzlikins,CBJ,59,247.03333333333,40,36,4,0.900,0.97,-0.68,4.8,12,10,2,0.833,0.49,0.48,7,5,2,0.714,0.49,-1.36,13,13,0,1.000,0.00,0.33,7,2,52.00,15.50
Eric Comrie,WPG,19,57.833333333333,12,10,2,0.833,2.07,-1.01,1.4,5,3,2,0.600,2.07,-0.97,0,0,0,-,0.00,0.00,2,2,0,1.000,0.00,0.05,2,1,61.00,8.50
Erik Kallgren,TOR,14,65.8,17,16,1,0.941,0.91,0.41,1.3,5,5,0,1.000,0.00,1.03,2,2,0,1.000,0.00,0.18,6,5,1,0.833,0.91,-0.85,3,2,59.18,65.00
