Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
Adin Hill,VGK,G,28,1996-05-11,Comox,BC,CAN,CAN,76,215,2015,ARI,3,15,76
Akira Schmid,NJD,G,24,2000-05-12,Bern,,CHE,CHE,77,205,2018,N.J,5,12,136
Alex Lyon,DET,G,32,1992-12-09,Baudette,MN,USA,USA,73,201,-,-,-,-,-
Alex Nedeljkovic,PIT,G,29,1996-01-07,Parma,OH,USA,USA,72,208,2014,CAR,2,7,37
Alexandar Georgiev,COL,G,29,1996-02-10,Moscow,,RUS,RUS,73,178,-,-,-,-,-
Andrei Vasilevskiy,TBL,G,30,1994-07-25,Tyumen,,RUS,RUS,76,220,2012,T.B,1,19,19
Anthony Stolarz,FLA,G,31,1994-01-20,Edison,NJ,USA,USA,78,243,2012,PHI,2,15,45
Anton Forsberg,OTT,G,32,1992-11-27,Harnosand,,SWE,SWE,75,193,2011,CBJ,7,7,188
Antti Raanta,CAR,G,35,1989-05-12,Rauma,,FIN,FIN,72,195,-,-,-,-,-
Arturs Silovs,VAN,G,24,2001-03-22,,,LVA,LVA,76,203,2019,VAN,6,1,156
Arvid Soderblom,CHI,G,25,1999-08-19,Goteborg,,SWE,SWE,75,180,-,-,-,-,-
Cal Petersen,PHI,G,30,1994-10-19,Waterloo,IA,USA,USA,74,185,2013,BUF,5,8,129
Calvin Pickard,EDM,G,32,1992-04-15,Moncton,NB,CAN,CAN,73,210,2010,COL,2,19,49
Cam Talbot,LAK,G,37,1987-07-05,Caledonia,ON,CAN,CAN,76,201,-,-,-,-,-
Carter Hart,PHI,G,26,1998-08-13,Sherwood Park,AB,CAN,CAN,74,181,2016,PHI,2,18,48
Casey DeSmith,VAN,G,33,1991-08-13,Rochester,NH,USA,USA,72,181,-,-,-,-,-
Cayden Primeau,MTL,G,25,1999-08-11,Farmington Hills,MI,USA,USA,74,199,2017,MTL,7,13,199
Charlie Lindgren,WSH,G,31,1993-12-18,Lakeville,MN,USA,USA,74,179,-,-,-,-,-
Chris Driedger,SEA,G,30,1994-05-18,Winnipeg,MB,CAN,CAN,76,208,2012,OTT,3,15,76
Connor Hellebuyck,WPG,G,31,1993-05-19,Commerce,MI,USA,USA,76,216,2012,WPG,5,9,130
Connor Ingram,ARI,G,28,1997-03-31,Saskatoon,SK,CAN,CAN,74,196,2016,T.B,3,27,88
Dan Vladar,CGY,G,27,1997-08-20,Prague,,CZE,CZE,77,209,2015,BOS,3,14,75
