Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
Aaron Dell,NJD,G,35,1989-05-04,Airdrie,AB,CAN,CAN,72,213,-,-,-,-,-
Adin Hill,ARI,G,28,1996-05-11,Comox,BC,CAN,CAN,76,215,2015,ARI,3,15,76
Alex Lyon,PHI,G,32,1992-12-09,Baudette,MN,USA,USA,73,201,-,-,-,-,-
Alex Nedeljkovic,CAR,G,29,1996-01-07,Parma,OH,USA,USA,72,208,2014,CAR,2,7,37
Alexandar Georgiev,NYR,G,29,1996-02-10,Moscow,,RUS,RUS,73,178,-,-,-,-,-
Alexei Melnichuk,SJS,G,26,1998-06-29,St. Petersburg,,RUS,RUS,74,201,-,-,-,-,-
Andrei Vasilevskiy,TBL,G,30,1994-07-25,Tyumen,,RUS,RUS,76,220,2012,T.B,1,19,19
Anthony Stolarz,ANA,G,31,1994-01-20,Edison,NJ,USA,USA,78,243,2012,PHI,2,15,45
Anton Forsberg,OTT,G,32,1992-11-27,Harnosand,,SWE,SWE,75,193,2011,CBJ,7,7,188
Anton Khudobin,DAL,G,38,1986-05-07,Ust-Kamenogorsk,,KAZ,RUS,71,210,2004,MIN,7,13,206
Antti Raanta,ARI,G,35,1989-05-12,Rauma,,FIN,FIN,72,195,-,-,-,-,-
Artyom Zagidulin,CGY,G,29,1995-08-08,Magnitogorsk,,RUS,RUS,74,180,-,-,-,-,-
Braden Holtby,VAN,G,35,1989-09-16,Lloydminster,SK,CAN,CAN,73,215,2008,WSH,4,2,93
Brian Elliott,PHI,G,39,1985-04-09,Newmarket,ON,CAN,CAN,74,221,2003,OTT,9,30,291
Cal Petersen,LAK,G,30,1994-10-19,Waterloo,IA,USA,USA,74,185,2013,BUF,5,8,129
Calvin Pickard,DET,G,32,1992-04-15,Moncton,NB,CAN,CAN,73,210,2010,COL,2,19,49
Cam Talbot,MIN,G,37,1987-07-05,Caledonia,ON,CAN,CAN,76,201,-,-,-,-,-
Carey Price,MTL,G,37,1987-08-16,Anahim Lake,BC,CAN,CAN,75,217,2005,MTL,1,5,5
Carter Hart,PHI,G,26,1998-08-13,Sherwood Park,AB,CAN,CAN,74,181,2016,PHI,2,18,48
