Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
Carter Hutton,BUF,G,39,1985-12-19,Thunder Bay,ON,CAN,CAN,72,211,-,-,-,-,-
Casey DeSmith,PIT,G,33,1991-08-13,Rochester,NH,USA,USA,72,181,-,-,-,-,-
Cayden Primeau,MTL,G,25,1999-08-11,Farmington Hills,MI,USA,USA,74,199,2017,MTL,7,13,199
Chris Driedger,FLA,G,30,1994-05-18,Winnipeg,MB,CAN,CAN,76,208,2012,OTT,3,15,76
Christopher Gibson,TBL,G,32,1992-12-27,Karkkila,,FIN,FIN,74,217,2011,L.A,2,19,49
Collin Delia,CHI,G,30,1994-06-20,Rancho Cucamonga,CA,USA,USA,74,208,-,-,-,-,-
Connor Hellebuyck,WPG,G,31,1993-05-19,Commerce,MI,USA,USA,76,216,2012,WPG,5,9,130
Craig Anderson,WSH,G,43,1981-05-21,Park Ridge,IL,USA,USA,74,187,2001,CHI,3,10,73
Curtis McElhinney,TBL,G,41,1983-05-23,London,ON,CAN,CAN,74,210,2002,CGY,6,10,176
Dan Vladar,BOS,G,27,1997-08-20,Prague,,CZE,CZE,77,209,2015,BOS,3,14,75
Darcy Kuemper,ARI,G,34,1990-05-05,Saskatoon,SK,CAN,CAN,77,215,2009,MIN,6,10,161
David Rittich,"CGY, TOR",G,32,1992-08-19,Jihlava,,CZE,CZE,76,205,-,-,-,-,-
Devan Dubnyk,"COL, SJS",G,38,1986-05-04,Regina,SK,CAN,CAN,78,224,2004,EDM,1,14,14
Dustin Tokarski,BUF,G,35,1989-09-16,Watson,SK,CAN,CAN,72,198,2008,T.B,5,1,122
Elvis Merzlikins,CBJ,G,30,1994-04-13,Riga,,LVA,LVA,75,183,2014,CBJ,3,16,76
Eric Comrie,NJD,G,29,1995-07-06,Edmonton,AB,CAN,CAN,73,183,2013,WPG,2,29,59
Filip Gustavsson,OTT,G,26,1998-06-07,Skellefteå,,SWE,SWE,74,184,2016,PIT,2,25,55
Frederik Andersen,TOR,G,35,1989-10-02,Herning,,DNK,DNK,76,238,2012,ANA,3,26,87
Hunter Miska,COL,G,29,1995-07-07,North Branch,MN,USA,USA,73,175,-,-,-,-,-
Igor Shesterkin,NYR,G,29,1995-12-30,Moscow,,RUS,RUS,73,189,2014,NYR,4,28,118
Ilya Samsonov,WSH,G,28,1997-02-22,Magnitogorsk,,RUS,RUS,75,214,2015,WSH,1,22,22
Ilya Sorokin,NYI,G,29,1995-08-04,Mezhdurechensk,,RUS,RUS,75,195,2014,NYI,3,18,78
Ivan Prosvetov,ARI,G,26,1999-03-05,Moscow,,RUS,RUS,77,195,2018,ARI,4,21,114
Jack Campbell,TOR,G,33,1992-01-09,Port Huron,MI,USA,USA,75,207,2010,DAL,1,11,11
Jacob Markstrom,CGY,G,35,1990-01-31,Gavle,,SWE,SWE,78,207,2008,FLA,2,1,31
Jake Allen,MTL,G,34,1990-08-07,Fredericton,NB,CAN,CAN,74,195,2008,STL,2,4,34
Jake Oettinger,DAL,G,26,1998-12-18,Lakeville,MN,USA,USA,77,220,2017,DAL,1,26,26
James Reimer,CAR,G,37,1988-03-15,Morweena,MB,CAN,CAN,75,205,2006,TOR,4,6,99
Jaroslav Halak,BOS,G,39,1985-05-13,Bratislava,,SVK,SVK,71,189,2003,MTL,9,10,271
Jeremy Swayman,BOS,G,26,1998-11-24,Anchorage,AK,USA,USA,74,194,2017,BOS,4,18,111
Joey Daccord,OTT,G,28,1996-08-19,Boston,MA,USA,USA,74,201,2015,OTT,7,18,199
John Gibson,ANA,G,31,1993-07-14,Pittsburgh,PA,USA,USA,74,210,2011,ANA,2,9,39
Jonas Johansson,"BUF, COL",G,29,1995-09-19,Gavle,,SWE,SWE,77,220,2014,BUF,3,1,61
Jonathan Bernier,DET,G,36,1988-08-07,Laval,QC,CAN,CAN,72,185,2006,L.A,1,11,11
Jonathan Quick,LAK,G,39,1986-01-21,Milford,CT,USA,USA,73,220,2005,L.A,3,11,72
Joonas Korpisalo,CBJ,G,30,1994-04-28,Pori,,FIN,FIN,75,193,2012,CBJ,3,1,62
Jordan Binnington,STL,G,31,1993-07-11,Richmond Hill,ON,CAN,CAN,74,172,2011,STL,3,27,88
Josef Korenar,SJS,G,27,1998-01-31,Pelhrimov,,CZE,,73,185,-,-,-,-,-
Juuse Saros,NSH,G,29,1995-04-19,Forssa,,FIN,FIN,71,180,2013,NSH,4,8,99
Kaapo Kahkonen,MIN,G,28,1996-08-16,Helsinki,,FIN,FIN,74,217,2014,MIN,4,19,109
Kasimir Kaskisuo,NSH,G,31,1993-10-02,Vantaa,,FIN,FIN,75,203,-,-,-,-,-
Keith Kinkaid,NYR,G,35,1989-07-04,Farmingville,NY,USA,USA,74,195,-,-,-,-,-
Kevin Lankinen,CHI,G,29,1995-04-28,Helsinki,,FIN,FIN,74,190,-,-,-,-,-
Laurent Brossoit,WPG,G,32,1993-03-23,Port Alberni,BC,CAN,CAN,75,215,2011,CGY,6,13,164
Linus Ullmark,BUF,G,31,1993-07-31,Lugnvik,,SWE,SWE,77,212,2012,BUF,6,12,163
Logan Thompson,VGK,G,28,1997-02-25,Calgary,AB,CAN,CAN,76,205,-,-,-,-,-
Louis Domingue,CGY,G,33,1992-03-06,St-Hyacinthe,QC,CAN,CAN,75,208,2010,PHX,5,18,138
Mackenzie Blackwood,NJD,G,28,1996-12-09,Thunder Bay,ON,CAN,CAN,76,225,2015,N.J,2,12,42
Malcolm Subban,CHI,G,31,1993-12-21,Toronto,ON,CAN,CAN,74,215,2012,BOS,1,24,24
Marc-Andre Fleury,VGK,G,40,1984-11-28,Sorel,QC,CAN,CAN,74,185,2003,PIT,1,1,1
Marcus Hogberg,OTT,G,30,1994-11-25,Orebro,,SWE,SWE,77,222,2013,OTT,3,17,78
Martin Jones,SJS,G,35,1990-01-10,North Vancouver,BC,CAN,CAN,76,203,-,-,-,-,-
Matiss Kivlenieks,CBJ,G,28,1996-08-26,Riga,,LVA,USA,74,183,-,-,-,-,-
Matt Murray,OTT,G,30,1994-05-25,Thunder Bay,ON,CAN,CAN,77,203,2012,PIT,3,22,83
Maxime Lagace,PIT,G,32,1993-01-12,Saint-Augustin,QC,CAN,CAN,74,190,-,-,-,-,-
Michael Houser,BUF,G,32,1992-09-13,Youngstown,OH,USA,USA,73,185,-,-,-,-,-
Michael Hutchinson,TOR,G,35,1990-03-02,Barrie,ON,CAN,CAN,75,201,2008,BOS,3,16,77
Mike Smith,EDM,G,43,1982-03-22,Kingston,ON,CAN,CAN,77,220,2001,DAL,5,30,161
Mikko Koskinen,EDM,G,36,1988-07-18,Vantaa,,FIN,FIN,79,202,2009,NYI,2,1,31
Oscar Dansk,VGK,G,31,1994-02-28,Stockholm,,SWE,SWE,75,204,2012,CBJ,2,1,31
Pekka Rinne,NSH,G,42,1982-11-03,Kempele,,FIN,FIN,77,217,2004,NSH,8,31,258
Petr Mrazek,CAR,G,33,1992-02-14,Ostrava,,CZE,CZE,74,188,2010,DET,5,21,141
Philipp Grubauer,COL,G,33,1991-11-25,Rosenheim,,DEU,DEU,73,188,2010,WSH,4,22,112
Robin Lehner,VGK,G,33,1991-07-24,Gothenburg,,SWE,SWE,76,250,2009,OTT,2,16,46
Ryan Miller,ANA,G,44,1980-07-17,East Lansing,MI,USA,USA,75,170,1999,BUF,5,12,138
Scott Wedgewood,NJD,G,32,1992-08-14,Brampton,ON,CAN,CAN,74,205,2010,N.J,3,24,84
Semyon Varlamov,NYI,G,36,1988-04-27,Samara,,RUS,RUS,74,206,2006,WSH,1,23,23
Sergei Bobrovsky,FLA,G,36,1988-09-20,Novokuznetsk,,RUS,RUS,74,182,-,-,-,-,-
Spencer Knight,FLA,G,23,2001-04-19,Stamford,CT,USA,USA,75,192,2019,FLA,1,13,13
Stuart Skinner,EDM,G,26,1998-11-01,Edmonton,AB,CAN,CAN,76,206,2017,EDM,3,16,78
Thatcher Demko,VAN,G,29,1995-12-08,San Diego,CA,USA,USA,76,192,2014,VAN,2,6,36
Thomas Greiss,DET,G,39,1986-01-29,Fussen,,DEU,DEU,74,219,2004,S.J,3,29,94
Tristan Jarry,PIT,G,29,1995-04-29,Surrey,BC,CAN,CAN,74,194,2013,PIT,2,14,44
Troy Grosenick,LAK,G,35,1989-08-27,Brookfield,WI,USA,USA,73,181,-,-,-,-,-
Tuukka Rask,BOS,G,38,1987-03-10,Savonlinna,,FIN,FIN,75,176,2005,TOR,1,21,21
Ukko-Pekka Luukkonen,BUF,G,26,1999-03-09,Espoo,,FIN,FIN,77,217,2017,BUF,2,23,54
Veini Vehvilainen,CBJ,G,28,1997-02-13,Jyvaskyla,,FIN,FIN,72,181,2018,CBJ,6,18,173
Ville Husso,STL,G,30,1995-02-06,Helsinki,,FIN,FIN,75,200,2014,STL,4,4,94
Vitek Vanecek,WSH,G,29,1996-01-09,Havlickuv Brod,,CZE,CZE,74,184,2014,WSH,2,9,39
